validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,chuvisco,vnt_rajada,nevoa_seca,pancada,nevoeiro
"['06:00', '20/04']",20/04 06:00,120,2,,9999,,,,,,4000,5,13,13,1024,100,,,,,
"['07:00', '20/04']",20/04 07:00,140,4,,9999,,,,,,4500,5,13,13,1023,100,,,,,
"['08:00', '20/04']",20/04 08:00,140,4,,9999,,,,,,2000,5,13,13,1022,100,,,,,
"['09:00', '20/04']",20/04 09:00,130,4,,9999,,,,,,1300,5,12,12,1023,100,,,,,
"['10:00', '20/04']",20/04 10:00,130,2,,8000,,,,,,900,5,13,13,1023,100,,,,,
"['10:25', '20/04']",20/04 10:25,120,2,,9999,,,,,,NIL,3,13,13,1024,100,,,,,
"['11:00', '20/04']",20/04 11:00,70,2,,9999,,,,,,1700,5,14,14,1024,100,,,,,
"['12:00', '20/04']",20/04 12:00,30,4,,9999,,,,,,1500,5,16,13,1024,82,,,,,
"['13:00', '20/04']",20/04 13:00,20,5,,9999,,,,,,1800,5,17,12,1025,72,,,,,
"['14:00', '20/04']",20/04 14:00,70,6,,9999,,,,,,2300,5,18,12,1024,68,,,,,
"['15:00', '20/04']",20/04 15:00,50,3,,9999,,,,,,3000,5,20,12,1024,60,,,,,
"['16:00', '20/04']",20/04 16:00,30,7,,9999,,,,,,3300,5,21,11,1023,53,,,,,
"['17:00', '20/04']",20/04 17:00,40,4,,9999,,,,,,3500,5,22,10,1022,46,,,,,
"['18:00', '20/04']",20/04 18:00,280,3,,9999,,,,,,NIL,3,23,09,1021,41,,,,,
"['19:00', '20/04']",20/04 19:00,40,4,,9999,,,,,,NIL,3,22,09,1021,43,,,,,
"['20:00', '20/04']",20/04 20:00,80,8,,9999,,,,,,NIL,3,20,13,1021,64,,,,,
"['21:00', '20/04']",20/04 21:00,80,7,,9999,,,,,,NIL,2,17,14,1021,83,,,,,
"['22:00', '20/04']",20/04 22:00,80,5,,9999,,,,,,NIL,3,16,16,1021,100,,,,,
"['23:00', '20/04']",20/04 23:00,100,3,,9999,,,,,,NIL,3,16,16,1022,100,,,,,
"['00:00', '21/04']",21/04 00:00,100,3,,9999,,,,,,600,5,15,15,1022,100,,,,,
"['01:00', '21/04']",21/04 01:00,100,4,,9999,NIL,NIL,,,NIL,600,5,16,16,1022,100,,,,,
"['02:00', '21/04']",21/04 02:00,60,4,,9999,NIL,NIL,,,NIL,600,5,16,16,1022,100,,,,,
"['03:00', '21/04']",21/04 03:00,100,3,,9999,NIL,NIL,,,NIL,1300,5,15,15,1022,100,,,,,
"['04:00', '21/04']",21/04 04:00,100,2,,9999,NIL,NIL,,,NIL,1000,5,15,15,1022,100,,,,,
"['05:00', '21/04']",21/04 05:00,VRB,2,,9999,NIL,NIL,,,NIL,600,5,15,15,1022,100,,,,,
"['06:00', '21/04']",21/04 06:00,130,3,,4000,NIL,NIL,,,1,500,5,14,14,1021,100,,,,,
"['07:00', '21/04']",21/04 07:00,340,1,,4500,2000,45,,,1,NIL,3,14,14,1021,100,,,,,
"['08:00', '21/04']",21/04 08:00,320,5,,2000,NIL,NIL,,,1,200,8,14,14,1021,100,,,,,
"['09:00', '21/04']",21/04 09:00,50,2,,4000,NIL,NIL,,,1,400,5,14,14,1021,100,,,,,
"['10:00', '21/04']",21/04 10:00,VRB,1,,3000,NIL,NIL,,,1,400,5,14,14,1022,100,,,,,
"['11:00', '21/04']",21/04 11:00,20,3,,5000,NIL,NIL,,,1,900,8,14,14,1022,100,,,,,
"['12:00', '21/04']",21/04 12:00,330,3,,9999,NIL,NIL,,,NIL,900,5,15,14,1023,94,,,,,
"['12:45', '21/04']",21/04 12:45,360,4,,9999,NIL,NIL,,,NIL,NIL,3,17,12,1023,72,,,,,
"['13:00', '21/04']",21/04 13:00,340,3,,9999,NIL,NIL,,,NIL,NIL,3,17,12,1023,72,,,,,
"['14:00', '21/04']",21/04 14:00,350,2,,9999,NIL,NIL,,,NIL,NIL,3,20,12,1022,60,,,,,
"['15:00', '21/04']",21/04 15:00,320,4,,9999,NIL,NIL,,,NIL,2500,5,21,10,1022,49,,,,,
"['16:00', '21/04']",21/04 16:00,210,5,,9999,NIL,NIL,,,NIL,4000,5,22,10,1020,46,,,,,
"['17:00', '21/04']",21/04 17:00,260,5,,9999,NIL,NIL,,,NIL,4500,5,23,10,1019,44,,,,,
"['18:00', '21/04']",21/04 18:00,230,5,,9999,NIL,NIL,,,NIL,4500,5,24,09,1019,38,,,,,
"['19:00', '21/04']",21/04 19:00,190,4,,9999,NIL,NIL,,,NIL,4500,5,24,09,1019,38,,,,,
"['20:00', '21/04']",21/04 20:00,100,6,,9999,NIL,NIL,,,NIL,NIL,3,21,13,1019,60,,,,,
"['21:00', '21/04']",21/04 21:00,120,6,,9999,NIL,NIL,,,NIL,NIL,2,18,13,1019,73,,,,,
"['22:00', '21/04']",21/04 22:00,100,5,,9999,NIL,NIL,,,NIL,NIL,NIL,16,14,1020,88,,,,,
"['23:00', '21/04']",21/04 23:00,90,4,,9999,NIL,NIL,,,NIL,NIL,NIL,15,15,1020,100,,,,,
"['00:00', '22/04']",22/04 00:00,90,4,,9999,NIL,NIL,,,NIL,NIL,NIL,15,15,1021,100,,,,,
"['01:00', '22/04']",22/04 01:00,90,3,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,14,14,1021,100,,,,,NIL
"['02:00', '22/04']",22/04 02:00,150,3,NIL,9999,NIL,NIL,,,NIL,900,5,14,14,1021,100,,,,,NIL
"['03:00', '22/04']",22/04 03:00,120,2,NIL,9999,NIL,NIL,,,NIL,900,5,14,14,1021,100,,,,,NIL
"['04:00', '22/04']",22/04 04:00,30,3,NIL,4500,2100,90,,,NIL,400,5,14,14,1021,100,,,,,1
"['05:00', '22/04']",22/04 05:00,50,4,NIL,900,NIL,NIL,,,NIL,NIL,NIL,12,12,1020,100,,,,,1
"['05:15', '22/04']",22/04 05:15,70,3,NIL,600,NIL,NIL,,,NIL,NIL,NIL,12,12,1020,100,,,,,1
"['06:00', '22/04']",22/04 06:00,280,2,NIL,700,NIL,NIL,,,NIL,NIL,NIL,13,13,1020,100,,,,,1
"['07:00', '22/04']",22/04 07:00,40,4,NIL,700,NIL,NIL,,,NIL,NIL,NIL,13,13,1020,100,,,,,1
"['07:20', '22/04']",22/04 07:20,200,2,NIL,1500,NIL,NIL,,,NIL,400,5,13,13,1020,100,,,,,1
"['08:00', '22/04']",22/04 08:00,20,2,NIL,3000,NIL,NIL,,,1,700,5,13,13,1020,100,,,,,NIL
"['09:00', '22/04']",22/04 09:00,150,2,NIL,5000,NIL,NIL,,,1,700,5,13,13,1020,100,,,,,NIL
