validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['18:00', '18/03']",18/03 18:00,80,5,,75,9999,8000,8,28,22,1008,70,NIL,,,,NIL,,,,
"['19:00', '18/03']",18/03 19:00,100,6,,NIL,9999,4700,8,27,22,1008,74,NIL,,,,NIL,,,,
"['20:00', '18/03']",18/03 20:00,110,7,,NIL,9999,4800,8,27,23,1007,79,NIL,,,,NIL,,,,
"['21:00', '18/03']",18/03 21:00,100,7,,NIL,9999,7000,5,26,24,1007,89,NIL,,,,NIL,,,,
"['22:00', '18/03']",18/03 22:00,110,6,,NIL,9999,3500,5,26,24,1007,89,NIL,,,,NIL,,,,
"['23:00', '18/03']",18/03 23:00,110,4,,110,9999,4800,8,25,24,1007,94,NIL,,,,NIL,,,,
"['00:00', '19/03']",19/03 00:00,90,5,,NIL,9000,NIL,3,25,24,1008,94,NIL,,,,NIL,,,,
"['01:00', '19/03']",19/03 01:00,70,4,NIL,NIL,7000,7000,5,24,24,1008,100,,,,,NIL,,,,
"['02:00', '19/03']",19/03 02:00,VRB,1,NIL,NIL,7000,NIL,NIL,24,24,1007,100,,,,,NIL,,,,
"['03:00', '19/03']",19/03 03:00,300,4,NIL,NIL,5000,NIL,NIL,24,24,1007,100,,,,,1,,,,
"['04:00', '19/03']",19/03 04:00,260,5,NIL,NIL,9000,NIL,3,24,24,1007,100,,,,,NIL,,,,
"['05:00', '19/03']",19/03 05:00,260,3,NIL,NIL,9000,NIL,3,23,23,1007,100,,,,,NIL,,,,
"['06:00', '19/03']",19/03 06:00,280,4,NIL,NIL,8000,7000,5,23,23,1007,100,,,,,NIL,,,,
"['07:00', '19/03']",19/03 07:00,270,5,NIL,NIL,9999,7000,5,23,23,1007,100,,,,,NIL,,,,
"['08:00', '19/03']",19/03 08:00,270,8,NIL,NIL,9999,7000,5,23,23,1007,100,,,,,NIL,,,,
