validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuvisco,nevoa_umida,pancada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro
"['20:00', '17/02']",17/02 20:00,140,7,NIL,9999,NIL,1,NIL,3,26,22,1015,79,,,NIL,,NIL,NIL,,
"['21:00', '17/02']",17/02 21:00,140,9,NIL,9999,NIL,NIL,NIL,NIL,26,21,1015,74,,,NIL,,NIL,NIL,,
"['22:00', '17/02']",17/02 22:00,130,6,NIL,9999,NIL,NIL,NIL,NIL,25,21,1015,79,,,NIL,,NIL,NIL,,
"['23:00', '17/02']",17/02 23:00,150,7,NIL,9999,NIL,NIL,NIL,NIL,24,21,1016,83,,,NIL,,NIL,NIL,,
"['00:00', '18/02']",18/02 00:00,120,5,115,9999,NIL,NIL,NIL,NIL,23,21,1017,89,,,NIL,,NIL,NIL,,
"['01:00', '18/02']",18/02 01:00,100,4,NIL,9999,NIL,NIL,NIL,NIL,23,21,1018,89,,,,,,,,
"['02:00', '18/02']",18/02 02:00,VRB,2,NIL,9000,NIL,NIL,NIL,NIL,23,21,1018,89,,,,,,,,
"['02:00', '18/02']",18/02 02:00,VRB,2,NIL,9999,NIL,NIL,NIL,NIL,23,21,1018,89,,,,,,,,
"['03:00', '18/02']",18/02 03:00,70,4,70,9999,NIL,NIL,NIL,NIL,24,20,1018,78,,,,,,,,
"['04:00', '18/02']",18/02 04:00,50,4,50,9999,NIL,NIL,NIL,NIL,23,20,1017,83,,,,,,,,
"['05:00', '18/02']",18/02 05:00,50,5,55,9999,NIL,NIL,NIL,NIL,23,20,1016,83,,,,,,,,
"['06:00', '18/02']",18/02 06:00,60,5,60,9999,NIL,NIL,NIL,NIL,22,20,1016,88,,,,,,,,
"['07:00', '18/02']",18/02 07:00,30,3,210,9999,NIL,NIL,NIL,NIL,22,20,1017,88,,,,,,,,
"['08:00', '18/02']",18/02 08:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,22,20,1016,88,,,,,,,,
"['09:00', '18/02']",18/02 09:00,30,4,NIL,9999,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,,,
"['10:00', '18/02']",18/02 10:00,320,5,NIL,9999,NIL,NIL,NIL,NIL,23,19,1017,78,,,,,,,,
"['11:00', '18/02']",18/02 11:00,320,5,155,9999,NIL,NIL,NIL,NIL,25,20,1018,74,,,,,,,,
