validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['01:00', '28/07']",28/07 01:00,300,3,,9999,,NIL,20,18,1022,88,,,,,,,,,
"['02:00', '28/07']",28/07 02:00,340,1,,9999,,NIL,19,18,1022,94,,,,,,,,,
"['03:00', '28/07']",28/07 03:00,330,2,,9999,,NIL,18,17,1022,94,,,,,,,,,
"['04:00', '28/07']",28/07 04:00,350,1,,9999,,NIL,18,17,1021,94,,,,,,,,,
"['05:00', '28/07']",28/07 05:00,360,1,,9999,,NIL,17,16,1021,94,,,,,,,,,
"['06:00', '28/07']",28/07 06:00,330,2,,9999,,NIL,16,16,1020,100,,,,,,,,,
"['07:00', '28/07']",28/07 07:00,320,3,,9999,,NIL,16,15,1020,94,,,,,,,,,
"['08:00', '28/07']",28/07 08:00,330,2,,9999,,NIL,16,15,1020,94,,,,,,,,,
"['09:00', '28/07']",28/07 09:00,310,1,,9999,,NIL,16,15,1021,94,,,,,,,,,
"['10:00', '28/07']",28/07 10:00,330,2,,9999,,NIL,17,16,1021,94,,,,,,,,,
"['11:00', '28/07']",28/07 11:00,320,3,,9999,,2,20,17,1022,83,,,,,,,,,
"['12:00', '28/07']",28/07 12:00,330,4,,9999,,2,23,18,1022,73,,,,,,,,,
"['13:00', '28/07']",28/07 13:00,10,9,,9999,,2,25,18,1022,65,,,,,,,,,
"['14:00', '28/07']",28/07 14:00,10,9,,9999,,2,26,18,1021,61,,,,,,,,,
"['15:00', '28/07']",28/07 15:00,20,12,,9999,,2,27,18,1020,58,,,,,,,,,
"['16:00', '28/07']",28/07 16:00,10,13,,9999,,2,28,17,1019,51,,,,,,,,,
"['17:00', '28/07']",28/07 17:00,40,13,,9999,,2,27,20,1018,66,,,,,,,,,
"['18:00', '28/07']",28/07 18:00,40,13,,9999,,2,27,20,1018,66,,,,,,,,,
"['19:00', '28/07']",28/07 19:00,30,13,,9999,,2,26,21,1018,74,,,,,,,,,
"['20:00', '28/07']",28/07 20:00,40,12,,9999,,2,24,20,1018,78,,,,,,,,,
"['21:00', '28/07']",28/07 21:00,40,10,,9999,,NIL,24,20,1018,78,,,,,,,,,
"['22:00', '28/07']",28/07 22:00,30,11,,9999,,NIL,23,19,1019,78,,,,,,,,,
"['23:00', '28/07']",28/07 23:00,10,6,,9999,,NIL,23,19,1020,78,,,,,,,,,
"['00:00', '29/07']",29/07 00:00,20,10,,9999,,NIL,22,19,1020,83,,,,,,,,,
"['01:00', '29/07']",29/07 01:00,10,10,,9999,,NIL,22,19,1020,83,,,,,,,,,
"['02:00', '29/07']",29/07 02:00,360,9,,9999,,NIL,23,19,1020,78,,,,,,,,,
"['03:00', '29/07']",29/07 03:00,10,10,,9999,,NIL,22,19,1020,83,,,,,,,,,
"['04:00', '29/07']",29/07 04:00,10,11,,9999,,NIL,22,19,1019,83,,,,,,,,,
"['05:00', '29/07']",29/07 05:00,300,3,,9999,,NIL,20,18,1019,88,,,,,,,,,
"['06:00', '29/07']",29/07 06:00,300,1,,9999,,NIL,19,17,1019,88,,,,,,,,,
"['07:00', '29/07']",29/07 07:00,300,3,,9999,,NIL,19,17,1018,88,,,,,,,,,
"['08:00', '29/07']",29/07 08:00,290,2,,9999,,NIL,19,17,1018,88,,,,,,,,,
"['09:00', '29/07']",29/07 09:00,240,1,,9999,,NIL,19,17,1019,88,,,,,,,,,
"['10:00', '29/07']",29/07 10:00,360,2,,9999,,NIL,19,18,1019,94,,,,,,,,,
"['11:00', '29/07']",29/07 11:00,320,4,,9999,,NIL,22,18,1020,78,,,,,,,,,
"['12:00', '29/07']",29/07 12:00,10,9,,9999,,NIL,24,18,1020,69,,,,,,,,,
"['13:00', '29/07']",29/07 13:00,30,11,,9999,,NIL,26,19,1020,65,,,,,,,,,
"['14:00', '29/07']",29/07 14:00,20,12,,9999,,NIL,27,19,1019,62,,,,,,,,,
"['15:00', '29/07']",29/07 15:00,30,14,,9999,,NIL,28,19,1018,58,,,,,,,,,
"['16:00', '29/07']",29/07 16:00,30,14,,9999,,NIL,29,18,1017,52,,,,,,,,,
"['17:00', '29/07']",29/07 17:00,10,10,,9999,,NIL,29,19,1017,55,,,,,,,,,
"['18:00', '29/07']",29/07 18:00,70,12,,9999,,NIL,28,20,1017,62,,,,,,,,,
"['19:00', '29/07']",29/07 19:00,60,11,,9999,,NIL,27,20,1018,66,,,,,,,,,
"['20:00', '29/07']",29/07 20:00,60,9,,9999,,2,25,20,1018,74,,,,,,,,,
"['21:00', '29/07']",29/07 21:00,20,4,,9999,,2,24,19,1019,74,,,,,,,,,
