validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['02:00', '26/09']",26/09 02:00,350,3,,9999,,3,22,20,1018,88,,,,,,,,,
"['03:00', '26/09']",26/09 03:00,350,5,,9999,,3,23,20,1018,83,,,,,,,,,
"['04:00', '26/09']",26/09 04:00,10,5,,9999,,3,22,20,1017,88,,,,,,,,,
"['05:00', '26/09']",26/09 05:00,360,5,,9999,,2,22,20,1016,88,,,,,,,,,
"['06:00', '26/09']",26/09 06:00,310,2,,9999,,2,21,19,1016,88,,,,,,,,,
"['07:00', '26/09']",26/09 07:00,20,6,,9999,,2,22,20,1016,88,,,,,,,,,
"['08:00', '26/09']",26/09 08:00,20,7,,9999,,3,22,20,1016,88,,,,,,,,,
"['09:00', '26/09']",26/09 09:00,20,5,,9999,,2,21,19,1016,88,,,,,,,,,
"['10:00', '26/09']",26/09 10:00,330,4,,9999,,2,24,20,1017,78,,,,,,,,,
"['11:00', '26/09']",26/09 11:00,350,9,,9999,,2,26,19,1018,65,,,,,,,,,
"['12:00', '26/09']",26/09 12:00,360,10,,9999,,3,27,19,1018,62,,,,,,,,,
"['13:00', '26/09']",26/09 13:00,340,10,,9999,,3,28,19,1018,58,,,,,,,,,
"['14:00', '26/09']",26/09 14:00,350,11,,9999,,3,29,20,1017,58,,,,,,,,,
"['15:00', '26/09']",26/09 15:00,10,13,,9999,,2,30,19,1016,52,,,,,,,,,
"['16:00', '26/09']",26/09 16:00,60,14,,9999,,2,28,21,1015,66,,,,,,,,,
"['17:00', '26/09']",26/09 17:00,50,15,,9999,,2,28,21,1014,66,,,,,,,,,
"['18:00', '26/09']",26/09 18:00,40,14,,9999,,NIL,28,21,1013,66,,,,,,,,,
"['19:00', '26/09']",26/09 19:00,40,18,,9999,,NIL,27,21,1013,70,,,,,,,,,
"['20:00', '26/09']",26/09 20:00,40,16,,9999,,NIL,26,21,1013,74,,,,,,,,,
"['21:00', '26/09']",26/09 21:00,40,14,,9999,,NIL,24,21,1013,83,,,,,,,,,
"['22:00', '26/09']",26/09 22:00,10,7,,9999,,NIL,24,21,1014,83,,,,,,,,,
"['23:00', '26/09']",26/09 23:00,30,13,,9999,,NIL,24,21,1015,83,,,,,,,,,
"['00:00', '27/09']",27/09 00:00,30,12,,9999,,NIL,24,21,1015,83,,,,,,,,,
"['01:00', '27/09']",27/09 01:00,30,10,,9999,,,23,20,1015,83,,,,,,,,,
"['02:00', '27/09']",27/09 02:00,20,9,,9999,,,24,20,1015,78,,,,,,,,,
"['03:00', '27/09']",27/09 03:00,350,6,,9999,,,23,20,1015,83,,,,,,,,,
"['04:00', '27/09']",27/09 04:00,350,5,,9999,,,23,19,1014,78,,,,,,,,,
"['05:00', '27/09']",27/09 05:00,20,10,,9999,,,22,19,1013,83,,,,,,,,,
"['06:00', '27/09']",27/09 06:00,350,5,,9999,,,22,19,1013,83,,,,,,,,,
"['07:00', '27/09']",27/09 07:00,10,7,,9999,,,22,19,1013,83,,,,,,,,,
"['08:00', '27/09']",27/09 08:00,10,5,,9999,,,21,19,1013,88,,,,,,,,,
"['09:00', '27/09']",27/09 09:00,340,4,,9999,,,21,19,1013,88,,,,,,,,,
"['10:00', '27/09']",27/09 10:00,20,10,,9999,,,23,19,1014,78,,,,,,,,,
"['11:00', '27/09']",27/09 11:00,350,7,,9999,,,24,19,1014,74,,,,,,,,,
"['12:00', '27/09']",27/09 12:00,20,12,,9999,,,26,19,1014,65,,,,,,,,,
"['13:00', '27/09']",27/09 13:00,20,13,,9999,,,29,19,1014,55,,,,,,,,,
"['14:00', '27/09']",27/09 14:00,20,13,,9999,,,30,20,1013,55,,,,,,,,,
"['15:00', '27/09']",27/09 15:00,10,12,,9999,,,32,19,1012,46,,,,,,,,,
"['16:00', '27/09']",27/09 16:00,20,13,,9999,,,33,18,1011,41,,,,,,,,,
"['17:00', '27/09']",27/09 17:00,20,14,,9999,,,33,18,1010,41,,,,,,,,,
"['18:00', '27/09']",27/09 18:00,70,13,,9999,,,30,22,1010,62,,,,,,,,,
"['19:00', '27/09']",27/09 19:00,50,16,,9999,,,28,21,1009,66,,,,,,,,,
"['20:00', '27/09']",27/09 20:00,40,16,,9999,,,26,22,1010,79,,,,,,,,,
"['21:00', '27/09']",27/09 21:00,50,17,,9999,,,25,21,1011,79,,,,,,,,,
"['22:00', '27/09']",27/09 22:00,40,15,,9999,,,25,22,1012,83,,,,,,,,,
"['23:00', '27/09']",27/09 23:00,20,9,,9999,,,25,21,1012,79,,,,,,,,,
"['00:00', '28/09']",28/09 00:00,20,13,,9999,,,25,21,1013,79,,,,,,,,,
"['01:00', '28/09']",28/09 01:00,20,15,,9999,,,24,21,1012,83,,,,,,,,,
"['02:00', '28/09']",28/09 02:00,30,15,,9999,,,25,21,1012,79,,,,,,,,,
"['03:00', '28/09']",28/09 03:00,30,17,,9999,,,24,21,1011,83,,,,,,,,,
"['04:00', '28/09']",28/09 04:00,30,17,,9999,,,24,21,1010,83,,,,,,,,,
"['05:00', '28/09']",28/09 05:00,320,5,,9999,,,23,20,1010,83,,,,,,,,,
"['06:00', '28/09']",28/09 06:00,10,9,,9999,,,23,19,1010,78,,,,,,,,,
"['07:00', '28/09']",28/09 07:00,20,12,,9999,,,23,19,1010,78,,,,,,,,,
"['08:00', '28/09']",28/09 08:00,20,10,,9999,,,22,19,1010,83,,,,,,,,,
"['09:00', '28/09']",28/09 09:00,360,7,,9999,,,22,19,1010,83,,,,,,,,,
"['10:00', '28/09']",28/09 10:00,20,9,,9999,,,24,19,1011,74,,,,,,,,,
"['11:00', '28/09']",28/09 11:00,20,11,,9999,,,26,20,1012,70,,,,,,,,,
"['12:00', '28/09']",28/09 12:00,20,10,,9999,,,28,20,1012,62,,,,,,,,,
"['13:00', '28/09']",28/09 13:00,30,12,,9999,,,30,21,1012,59,,,,,,,,,
"['14:00', '28/09']",28/09 14:00,50,11,,9999,,,30,22,1012,62,,,,,,,,,
"['15:00', '28/09']",28/09 15:00,70,13,,9999,,,31,22,1012,59,,,,,,,,,
"['16:00', '28/09']",28/09 16:00,50,16,,9999,,,30,22,1010,62,,,,,,,,,
"['17:00', '28/09']",28/09 17:00,50,16,,9999,,,29,23,1010,70,,,,,,,,,
"['18:00', '28/09']",28/09 18:00,40,18,,9999,,,29,23,1009,70,,,,,,,,,
"['19:00', '28/09']",28/09 19:00,50,15,,9999,,,28,22,1009,70,,,,,,,,,
"['20:00', '28/09']",28/09 20:00,50,14,,9999,,,27,22,1010,74,,,,,,,,,
"['21:00', '28/09']",28/09 21:00,60,13,,9999,,,26,22,1011,79,,,,,,,,,
"['22:00', '28/09']",28/09 22:00,60,11,,9999,,,25,22,1013,83,,,,,,,,,
"['23:00', '28/09']",28/09 23:00,30,12,,9999,,,25,22,1013,83,,,,,,,,,
"['00:00', '29/09']",29/09 00:00,20,11,,9999,,,25,21,1014,79,,,,,,,,,
"['01:00', '29/09']",29/09 01:00,20,10,,9999,NIL,NIL,25,21,1015,79,,,,,,,,,
"['02:00', '29/09']",29/09 02:00,30,10,,9999,NIL,NIL,25,21,1015,79,,,,,,,,,
"['03:00', '29/09']",29/09 03:00,20,9,,9999,NIL,NIL,25,22,1015,83,,,,,,,,,
"['04:00', '29/09']",29/09 04:00,20,10,,9999,NIL,NIL,24,21,1014,83,,,,,,,,,
"['05:00', '29/09']",29/09 05:00,10,9,,9999,NIL,NIL,24,21,1013,83,,,,,,,,,
"['06:00', '29/09']",29/09 06:00,360,7,,9999,NIL,NIL,25,21,1013,79,,,,,,,,,
"['07:00', '29/09']",29/09 07:00,360,8,,9999,NIL,NIL,24,20,1013,78,,,,,,,,,
"['08:00', '29/09']",29/09 08:00,10,8,,9999,NIL,NIL,24,20,1013,78,,,,,,,,,
"['09:00', '29/09']",29/09 09:00,20,9,,9999,NIL,NIL,24,20,1014,78,,,,,,,,,
"['10:00', '29/09']",29/09 10:00,20,10,,9999,NIL,NIL,25,21,1015,79,,,,,,,,,
"['11:00', '29/09']",29/09 11:00,30,9,,9999,NIL,NIL,26,21,1016,74,,,,,,,,,
"['12:00', '29/09']",29/09 12:00,360,6,,9999,NIL,NIL,28,21,1016,66,,,,,,,,,
"['13:00', '29/09']",29/09 13:00,20,5,,9999,NIL,NIL,30,21,1017,59,,,,,,,,,
"['14:00', '29/09']",29/09 14:00,60,9,,9999,NIL,NIL,30,22,1016,62,,,,,,,,,
"['15:00', '29/09']",29/09 15:00,70,11,,9999,NIL,NIL,30,22,1016,62,,,,,,,,,
"['16:00', '29/09']",29/09 16:00,80,12,,9999,NIL,NIL,29,22,1015,66,,,,,,,,,
"['17:00', '29/09']",29/09 17:00,80,11,,9999,NIL,NIL,29,22,1015,66,,,,,,,,,
"['18:00', '29/09']",29/09 18:00,60,12,,9999,NIL,NIL,28,22,1015,70,,,,,,,,,
"['19:00', '29/09']",29/09 19:00,70,12,,9999,NIL,NIL,28,22,1016,70,,,,,,,,,
"['20:00', '29/09']",29/09 20:00,60,9,,9999,NIL,NIL,26,22,1016,79,,,,,,,,,
"['21:00', '29/09']",29/09 21:00,50,7,,9999,NIL,NIL,26,22,1016,79,,,,,,,,,
"['22:00', '29/09']",29/09 22:00,40,7,,9999,3300,5,25,22,1017,83,,,,,,,,,
"['23:00', '29/09']",29/09 23:00,30,7,,9999,3300,5,25,22,1017,83,,,,,,,,,
"['00:00', '30/09']",30/09 00:00,30,7,,9999,3300,5,25,22,1018,83,,,,,,,,,
"['01:00', '30/09']",30/09 01:00,30,7,,9999,3700,5,25,22,1019,83,,,,,,,,,
"['02:00', '30/09']",30/09 02:00,30,7,,9999,2500,5,25,22,1019,83,,,,,,,,,
"['03:00', '30/09']",30/09 03:00,360,6,,9999,2000,5,25,22,1018,83,,,,,,,,,
"['04:00', '30/09']",30/09 04:00,360,4,,9999,NIL,3,24,22,1018,89,,,,,,,,,
"['05:00', '30/09']",30/09 05:00,10,5,,9999,NIL,3,24,22,1017,89,,,,,,,,,
"['06:00', '30/09']",30/09 06:00,20,7,,9999,NIL,2,24,22,1017,89,,,,,,,,,
"['07:00', '30/09']",30/09 07:00,10,5,,9999,NIL,2,23,21,1017,89,,,,,,,,,
"['08:00', '30/09']",30/09 08:00,340,3,,9999,NIL,2,23,21,1017,89,,,,,,,,,
"['09:00', '30/09']",30/09 09:00,340,3,,9999,NIL,2,23,21,1018,89,,,,,,,,,
"['10:00', '30/09']",30/09 10:00,10,5,,9999,NIL,NIL,25,22,1018,83,,,,,,,,,
"['11:00', '30/09']",30/09 11:00,360,8,,9999,2000,5,26,22,1019,79,,,,,,,,,
"['12:00', '30/09']",30/09 12:00,10,10,,9999,NIL,3,27,21,1019,70,,,,,,,,,
"['13:00', '30/09']",30/09 13:00,30,12,,9999,NIL,3,29,21,1018,62,,,,,,,,,
"['14:00', '30/09']",30/09 14:00,30,9,,9999,NIL,3,29,21,1018,62,,,,,,,,,
"['15:00', '30/09']",30/09 15:00,70,14,,9999,NIL,NIL,28,22,1017,70,,,,,,,,,
"['16:00', '30/09']",30/09 16:00,50,14,,9999,NIL,NIL,29,22,1015,66,,,,,,,,,
"['17:00', '30/09']",30/09 17:00,50,16,,9999,NIL,NIL,29,22,1014,66,,,,,,,,,
"['18:00', '30/09']",30/09 18:00,50,14,,9999,NIL,NIL,29,22,1013,66,,,,,,,,,
"['19:00', '30/09']",30/09 19:00,50,13,,9999,NIL,NIL,28,22,1014,70,,,,,,,,,
"['20:00', '30/09']",30/09 20:00,50,15,,9999,NIL,NIL,26,21,1014,74,,,,,,,,,
"['21:00', '30/09']",30/09 21:00,40,15,,9999,NIL,NIL,25,22,1015,83,,,,,,,,,
"['22:00', '30/09']",30/09 22:00,30,13,,9999,NIL,NIL,25,22,1015,83,,,,,,,,,
"['23:00', '30/09']",30/09 23:00,30,14,,9999,NIL,NIL,25,22,1016,83,,,,,,,,,
"['00:00', '01/10']",01/10 00:00,20,11,,9999,NIL,NIL,NIL,NIL,1017,0,,,,,,,,,
"['00:00', '01/10']",01/10 00:00,20,11,,9999,NIL,NIL,25,22,1017,83,,,,,,,,,
"['01:00', '01/10']",01/10 01:00,10,9,,9999,NIL,NIL,24,22,1017,89,,,,,,,,,
"['02:00', '01/10']",01/10 02:00,10,10,,9999,NIL,2,24,22,1017,89,,,,,,,,,
"['03:00', '01/10']",01/10 03:00,20,10,,9999,NIL,NIL,24,22,1016,89,,,,,,,,,
"['04:00', '01/10']",01/10 04:00,20,9,,9999,2300,5,24,22,1016,89,,,,,,,,,
"['05:00', '01/10']",01/10 05:00,20,9,,9999,NIL,3,24,22,1015,89,,,,,,,,,
"['06:00', '01/10']",01/10 06:00,20,9,,9999,NIL,3,24,21,1015,83,,,,,,,,,
"['07:00', '01/10']",01/10 07:00,20,9,,9999,2700,5,24,21,1015,83,,,,,,,,,
"['08:00', '01/10']",01/10 08:00,20,9,,9999,2700,5,24,22,1015,89,,,,,,,,,
"['09:00', '01/10']",01/10 09:00,20,8,,9999,3000,5,24,22,1016,89,,,,,,,,,
"['10:00', '01/10']",01/10 10:00,10,9,,9999,NIL,3,25,22,1016,83,,,,,,,,,
"['11:00', '01/10']",01/10 11:00,10,11,,9999,NIL,3,26,20,1017,70,,,,,,,,,
"['12:00', '01/10']",01/10 12:00,360,10,,9999,NIL,3,28,21,1016,66,,,,,,,,,
"['13:00', '01/10']",01/10 13:00,360,14,,9999,NIL,NIL,29,20,1016,58,,,,,,,,,
"['14:00', '01/10']",01/10 14:00,20,12,,9999,NIL,NIL,30,21,1015,59,,,,,,,,,
"['15:00', '01/10']",01/10 15:00,50,14,,9999,NIL,NIL,30,22,1014,62,,,,,,,,,
"['16:00', '01/10']",01/10 16:00,50,17,,9999,NIL,NIL,29,22,1013,66,,,,,,,,,
"['17:00', '01/10']",01/10 17:00,50,18,,9999,NIL,NIL,29,22,1012,66,,,,,,,,,
"['18:00', '01/10']",01/10 18:00,40,20,,9999,NIL,NIL,28,22,1011,70,,,,,,,,,
"['19:00', '01/10']",01/10 19:00,40,18,,9999,NIL,NIL,28,22,1011,70,,,,,,,,,
"['20:00', '01/10']",01/10 20:00,50,15,,9999,NIL,NIL,26,21,1011,74,,,,,,,,,
"['21:00', '01/10']",01/10 21:00,50,16,,9999,NIL,NIL,25,21,1012,79,,,,,,,,,
"['22:00', '01/10']",01/10 22:00,40,15,,9999,NIL,NIL,25,22,1013,83,,,,,,,,,
"['23:00', '01/10']",01/10 23:00,20,15,,9999,NIL,NIL,25,22,1014,83,,,,,,,,,
"['00:00', '02/10']",02/10 00:00,20,14,,9999,NIL,NIL,25,21,1014,79,,,,,,,,,
"['01:00', '02/10']",02/10 01:00,30,13,,9999,NIL,2,24,22,1015,89,,,,,,,,,
"['02:00', '02/10']",02/10 02:00,20,10,,9999,NIL,2,25,22,1015,83,,,,,,,,,
"['03:00', '02/10']",02/10 03:00,20,11,,9999,2500,5,25,21,1014,79,,,,,,,,,
"['04:00', '02/10']",02/10 04:00,10,12,,9999,2500,5,25,25,1014,100,,,,,,,,,
"['05:00', '02/10']",02/10 05:00,20,11,,9999,2500,5,25,21,1014,79,,,,,,,,,
"['06:00', '02/10']",02/10 06:00,10,10,,9999,2500,5,25,21,1013,79,,,,,,,,,
"['07:00', '02/10']",02/10 07:00,10,9,,9999,NIL,3,25,20,1014,74,,,,,,,,,
"['08:00', '02/10']",02/10 08:00,360,9,,9999,NIL,3,24,20,1014,78,,,,,,,,,
"['09:00', '02/10']",02/10 09:00,10,8,,9999,NIL,2,25,20,1015,74,,,,,,,,,
"['10:00', '02/10']",02/10 10:00,10,11,,9999,NIL,NIL,26,20,1015,70,,,,,,,,,
"['11:00', '02/10']",02/10 11:00,10,13,,9999,NIL,NIL,27,20,1015,66,,,,,,,,,
"['12:00', '02/10']",02/10 12:00,10,16,,9999,NIL,NIL,28,20,1015,62,,,,,,,,,
"['13:00', '02/10']",02/10 13:00,10,14,,9999,NIL,NIL,30,20,1014,55,,,,,,,,,
"['14:00', '02/10']",02/10 14:00,20,15,,9999,NIL,NIL,31,20,1013,52,,,,,,,,,
"['15:00', '02/10']",02/10 15:00,20,14,,9999,NIL,NIL,32,20,1013,49,,,,,,,,,
"['16:00', '02/10']",02/10 16:00,50,13,,9999,NIL,NIL,32,21,1012,52,,,,,,,,,
"['17:00', '02/10']",02/10 17:00,60,17,,9999,NIL,NIL,31,22,1011,59,,,,,,,,,
"['18:00', '02/10']",02/10 18:00,50,17,,9999,NIL,NIL,30,21,1010,59,,,,,,,,,
"['19:00', '02/10']",02/10 19:00,50,16,,9999,NIL,NIL,29,22,1010,66,,,,,,,,,
"['20:00', '02/10']",02/10 20:00,50,17,,9999,NIL,NIL,27,22,1010,74,,,,,,,,,
"['21:00', '02/10']",02/10 21:00,50,15,,9999,NIL,NIL,25,22,1011,83,,,,,,,,,
"['22:00', '02/10']",02/10 22:00,40,16,,9999,NIL,NIL,25,22,1011,83,,,,,,,,,
"['23:00', '02/10']",02/10 23:00,30,13,,9999,NIL,NIL,25,21,1012,79,,,,,,,,,
"['00:00', '03/10']",03/10 00:00,20,13,,9999,NIL,NIL,25,21,1013,79,,,,,,,,,
"['01:00', '03/10']",03/10 01:00,20,14,NIL,9999,,,25,22,1013,83,NIL,,,,,,,,
"['02:00', '03/10']",03/10 02:00,10,12,NIL,9999,,,24,21,1013,83,NIL,,,,,,,,
"['03:00', '03/10']",03/10 03:00,10,10,NIL,9999,,,24,21,1013,83,NIL,,,,,,,,
"['04:00', '03/10']",03/10 04:00,20,12,NIL,9999,,,24,21,1012,83,NIL,,,,,,,,
"['05:00', '03/10']",03/10 05:00,20,10,NIL,9999,,,24,21,1012,83,NIL,,,,,,,,
"['06:00', '03/10']",03/10 06:00,20,10,NIL,9999,,,24,20,1012,78,NIL,,,,,,,,
"['07:00', '03/10']",03/10 07:00,10,13,NIL,9999,,,24,20,1011,78,NIL,,,,,,,,
"['08:00', '03/10']",03/10 08:00,10,9,NIL,9999,,,23,20,1012,83,NIL,,,,,,,,
"['09:00', '03/10']",03/10 09:00,30,12,NIL,9999,,,23,20,1013,83,NIL,,,,,,,,
"['09:40', '03/10']",03/10 09:40,10,19,29,9999,,,24,20,1013,78,NIL,,,,,,,,
"['10:00', '03/10']",03/10 10:00,10,18,28,9999,,,25,19,1013,69,NIL,,,,,,,,
"['11:00', '03/10']",03/10 11:00,360,12,NIL,9999,,,27,19,1013,62,185,,,,,,,,
"['12:00', '03/10']",03/10 12:00,20,13,NIL,9999,,,28,20,1013,62,NIL,,,,,,,,
"['13:00', '03/10']",03/10 13:00,20,13,NIL,9999,,,31,20,1012,52,NIL,,,,,,,,
"['14:00', '03/10']",03/10 14:00,10,11,NIL,9999,,,32,21,1012,52,NIL,,,,,,,,
"['15:00', '03/10']",03/10 15:00,20,10,NIL,9999,,,33,22,1011,53,NIL,,,,,,,,
"['16:00', '03/10']",03/10 16:00,70,15,NIL,9999,,,33,22,1011,53,NIL,,,,,,,,
"['17:00', '03/10']",03/10 17:00,60,18,NIL,9999,,,30,22,1010,62,NIL,,,,,,,,
"['18:00', '03/10']",03/10 18:00,40,17,NIL,9999,,,29,22,1010,66,NIL,,,,,,,,
"['19:00', '03/10']",03/10 19:00,50,15,NIL,9999,,,28,23,1010,74,NIL,,,,,,,,
"['20:00', '03/10']",03/10 20:00,40,14,NIL,9999,,,27,22,1011,74,NIL,,,,,,,,
"['21:00', '03/10']",03/10 21:00,40,11,NIL,9999,,,26,22,1011,79,NIL,,,,,,,,
"['22:00', '03/10']",03/10 22:00,40,8,NIL,9999,,,25,22,1012,83,NIL,,,,,,,,
"['23:00', '03/10']",03/10 23:00,50,4,NIL,9999,,,25,22,1013,83,NIL,,,,,,,,
"['00:00', '04/10']",04/10 00:00,30,4,NIL,9999,,,25,22,1014,83,NIL,,,,,,,,
"['01:00', '04/10']",04/10 01:00,120,2,,9999,NIL,2,25,22,1014,83,,,,,,,,,
"['02:00', '04/10']",04/10 02:00,170,9,,9999,NIL,2,25,22,1016,83,,,,,,,,,
"['03:00', '04/10']",04/10 03:00,160,8,,9999,NIL,3,24,22,1015,89,,,,,,,,,
"['04:00', '04/10']",04/10 04:00,0,0,,9999,2500,5,24,22,1015,89,,,,,,,,,
"['05:00', '04/10']",04/10 05:00,320,3,,9999,NIL,3,23,22,1014,94,,,,,,,,,
"['06:00', '04/10']",04/10 06:00,270,3,,9999,2500,5,23,22,1014,94,,,,,,,,,
"['07:00', '04/10']",04/10 07:00,0,0,,9999,2500,5,22,22,1014,100,,,,,,,,,
"['08:00', '04/10']",04/10 08:00,310,2,,9999,NIL,2,23,22,1015,94,,,,,,,,,
"['09:00', '04/10']",04/10 09:00,0,0,,9000,2500,5,23,22,1015,94,,,,,,,,,
"['10:00', '04/10']",04/10 10:00,300,3,,9999,2800,8,24,22,1016,89,,,,,,,,,
"['11:00', '04/10']",04/10 11:00,210,11,,9999,2800,5,26,23,1017,84,,,,,,,,,
"['12:00', '04/10']",04/10 12:00,210,14,,9999,3500,5,26,23,1018,84,,,,,,,,,
"['13:00', '04/10']",04/10 13:00,200,13,,9999,3500,5,27,23,1018,79,,,,,,,,,
"['14:00', '04/10']",04/10 14:00,180,12,,9999,4000,5,27,23,1018,79,,,,,,,,,
"['15:00', '04/10']",04/10 15:00,170,10,,9999,6000,5,28,23,1017,74,,,,,,,,,
"['16:00', '04/10']",04/10 16:00,160,9,,9999,6000,5,27,23,1016,79,,,,,,,,,
"['17:00', '04/10']",04/10 17:00,170,12,,9999,NIL,2,27,23,1016,79,,,,,,,,,
"['18:00', '04/10']",04/10 18:00,160,11,,9999,NIL,2,27,23,1015,79,,,,,,,,,
"['19:00', '04/10']",04/10 19:00,170,9,,9999,NIL,2,26,23,1015,84,,,,,,,,,
"['20:00', '04/10']",04/10 20:00,170,9,,9999,NIL,2,25,23,1016,89,,,,,,,,,
"['21:00', '04/10']",04/10 21:00,170,7,,9999,NIL,3,25,23,1016,89,,,,,,,,,
"['22:00', '04/10']",04/10 22:00,180,8,,9999,NIL,3,25,23,1017,89,,,,,,,,,
"['23:00', '04/10']",04/10 23:00,190,5,,9999,NIL,3,25,23,1018,89,,,,,,,,,
"['00:00', '05/10']",05/10 00:00,190,8,,9999,NIL,3,25,23,1018,89,,,,,,,,,
"['01:00', '05/10']",05/10 01:00,180,8,,9999,NIL,3,25,22,1019,83,,,,,,,,,
"['02:00', '05/10']",05/10 02:00,170,6,,9999,7000,5,25,22,1018,83,,,,,,,,,
"['03:00', '05/10']",05/10 03:00,170,5,,9999,7000,5,24,22,1019,89,,,,,,,,,
"['04:00', '05/10']",05/10 04:00,180,5,,9999,4000,8,24,23,1018,94,,,,,,,,,
"['05:00', '05/10']",05/10 05:00,160,5,,9999,4000,8,24,23,1017,94,,,,,,,,,
"['06:00', '05/10']",05/10 06:00,140,6,,9999,8000,8,24,23,1017,94,,,,,,,,,
"['07:00', '05/10']",05/10 07:00,120,5,,9999,3500,8,24,22,1017,89,,,,,,,,,
"['08:00', '05/10']",05/10 08:00,200,2,,9999,3500,5,24,22,1017,89,,,,,,,,,
"['09:00', '05/10']",05/10 09:00,0,0,,9999,2000,5,24,22,1017,89,,,,,,,,,
"['10:00', '05/10']",05/10 10:00,120,4,,9999,2000,5,25,22,1018,83,,,,,,,,,
"['11:00', '05/10']",05/10 11:00,70,6,,9999,2500,5,26,22,1018,79,,,,,,,,,
"['12:00', '05/10']",05/10 12:00,80,8,,9999,2500,5,26,23,1018,84,,,,,,,,,
"['13:00', '05/10']",05/10 13:00,80,8,,9999,4000,5,27,22,1018,74,,,,,,,,,
"['14:00', '05/10']",05/10 14:00,320,5,,9999,2000,5,26,23,1018,84,,,,,,,,,
"['15:00', '05/10']",05/10 15:00,240,6,,9999,2000,5,26,23,1017,84,,,,,,,,,
"['16:00', '05/10']",05/10 16:00,270,3,,9999,2000,5,27,23,1017,79,,,,,,,,,
"['17:00', '05/10']",05/10 17:00,70,8,,9999,NIL,3,28,22,1016,70,,,,,,,,,
"['18:00', '05/10']",05/10 18:00,60,10,,9999,NIL,2,28,22,1015,70,,,,,,,,,
"['19:00', '05/10']",05/10 19:00,60,11,,9999,NIL,2,27,21,1015,70,,,,,,,,,
"['20:00', '05/10']",05/10 20:00,60,8,,9999,3500,5,26,22,1015,79,,,,,,,,,
"['21:00', '05/10']",05/10 21:00,60,8,,9999,3500,5,25,23,1016,89,,,,,,,,,
"['22:00', '05/10']",05/10 22:00,40,7,,9999,3500,5,25,23,1016,89,,,,,,,,,
"['23:00', '05/10']",05/10 23:00,30,10,,9999,3500,5,25,22,1016,83,,,,,,,,,
"['00:00', '06/10']",06/10 00:00,20,8,,9999,4000,5,25,23,1017,89,,,,,,,,,
"['01:00', '06/10']",06/10 01:00,360,4,,9999,NIL,3,25,22,1017,83,NIL,,,,,,,,
"['02:00', '06/10']",06/10 02:00,360,7,,9999,NIL,3,25,22,1016,83,NIL,,,,,,,,
"['03:00', '06/10']",06/10 03:00,20,6,,9999,NIL,3,24,22,1016,89,NIL,,,,,,,,
"['04:00', '06/10']",06/10 04:00,20,8,,9999,NIL,2,24,22,1015,89,NIL,,,,,,,,
"['05:00', '06/10']",06/10 05:00,10,7,,9999,NIL,2,24,21,1015,83,NIL,,,,,,,,
"['06:00', '06/10']",06/10 06:00,360,7,,9999,NIL,2,24,21,1014,83,NIL,,,,,,,,
"['07:00', '06/10']",06/10 07:00,10,8,,9999,NIL,NIL,24,21,1014,83,NIL,,,,,,,,
"['08:00', '06/10']",06/10 08:00,10,6,,9999,2600,5,24,21,1015,83,180,,,,,,,,
"['09:00', '06/10']",06/10 09:00,360,8,,9999,NIL,NIL,24,20,1014,78,NIL,,,,,,,,
"['10:00', '06/10']",06/10 10:00,10,7,,9999,NIL,NIL,25,21,1015,79,NIL,,,,,,,,
"['11:00', '06/10']",06/10 11:00,10,11,,9999,NIL,NIL,27,21,1015,70,NIL,,,,,,,,
"['12:00', '06/10']",06/10 12:00,10,14,,9999,NIL,2,28,21,1015,66,NIL,,,,,,,,
"['13:00', '06/10']",06/10 13:00,10,15,,9999,NIL,2,29,20,1015,58,NIL,,,,,,,,
"['14:00', '06/10']",06/10 14:00,10,14,,9999,NIL,NIL,31,21,1014,55,NIL,,,,,,,,
"['15:00', '06/10']",06/10 15:00,20,14,,9999,NIL,NIL,32,21,1013,52,NIL,,,,,,,,
"['16:00', '06/10']",06/10 16:00,20,14,,9999,NIL,NIL,33,21,1011,49,NIL,,,,,,,,
"['17:00', '06/10']",06/10 17:00,20,13,,9999,NIL,NIL,34,22,1010,50,NIL,,,,,,,,
"['18:00', '06/10']",06/10 18:00,50,14,,9999,NIL,NIL,31,22,1010,59,NIL,,,,,,,,
"['19:00', '06/10']",06/10 19:00,50,15,,9999,NIL,NIL,29,23,1010,70,NIL,,,,,,,,
"['20:00', '06/10']",06/10 20:00,40,14,,9999,NIL,NIL,28,23,1010,74,NIL,,,,,,,,
"['21:00', '06/10']",06/10 21:00,50,15,,9999,NIL,NIL,27,23,1010,79,NIL,,,,,,,,
"['22:00', '06/10']",06/10 22:00,40,15,,9999,NIL,NIL,26,22,1011,79,NIL,,,,,,,,
"['23:00', '06/10']",06/10 23:00,30,13,,9999,NIL,NIL,26,22,1012,79,NIL,,,,,,,,
"['00:00', '07/10']",07/10 00:00,20,14,,9999,NIL,NIL,26,22,1013,79,NIL,,,,,,,,
"['01:00', '07/10']",07/10 01:00,20,11,,9999,NIL,NIL,26,22,1013,79,,,,NIL,,,,NIL,
"['02:00', '07/10']",07/10 02:00,30,11,,9999,NIL,NIL,25,22,1014,83,,,,NIL,,,,NIL,
