validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['00:00', '01/02']",01/02 00:00,250,2,9999,3,29,23,1012,70,NIL,NIL,,NIL,,,,,,
"['01:00', '01/02']",01/02 01:00,40,3,9999,2,27,24,1012,84,NIL,NIL,,NIL,NIL,,,,,
"['02:00', '01/02']",01/02 02:00,360,8,9999,3,27,25,1012,89,NIL,NIL,,NIL,NIL,,,,,
"['03:00', '01/02']",01/02 03:00,10,7,9999,NIL,27,24,1011,84,NIL,NIL,,NIL,NIL,,,,,
"['04:00', '01/02']",01/02 04:00,330,2,9999,NIL,27,24,1010,84,NIL,NIL,,NIL,NIL,,,,,
"['05:00', '01/02']",01/02 05:00,360,6,9999,NIL,27,24,1010,84,NIL,NIL,,NIL,NIL,,,,,
"['06:00', '01/02']",01/02 06:00,350,7,9999,NIL,26,24,1010,89,NIL,NIL,,NIL,NIL,,,,,
"['07:00', '01/02']",01/02 07:00,30,8,9999,NIL,26,25,1010,94,NIL,NIL,,NIL,NIL,,,,,
"['08:00', '01/02']",01/02 08:00,30,6,9999,2,26,25,1010,94,NIL,NIL,,NIL,NIL,,,,,
"['09:00', '01/02']",01/02 09:00,30,3,9999,3,26,24,1011,89,NIL,NIL,,NIL,NIL,,,,,
"['10:00', '01/02']",01/02 10:00,VRB,1,9999,2,28,24,1012,79,NIL,NIL,,NIL,NIL,,,,,
"['11:00', '01/02']",01/02 11:00,340,4,9999,NIL,28,25,1012,84,NIL,NIL,,NIL,NIL,,,,,
"['12:00', '01/02']",01/02 12:00,360,4,9999,NIL,28,25,1012,84,NIL,NIL,,NIL,NIL,,,,,
"['13:00', '01/02']",01/02 13:00,60,3,9999,NIL,30,25,1012,75,NIL,NIL,,NIL,55,,,,,
"['14:00', '01/02']",01/02 14:00,140,10,9999,NIL,29,26,1012,84,NIL,NIL,,NIL,NIL,,,,,
"['15:00', '01/02']",01/02 15:00,160,12,9999,3,30,24,1011,70,NIL,NIL,,NIL,NIL,,,,,
"['16:00', '01/02']",01/02 16:00,140,12,9999,3,30,26,1011,79,NIL,NIL,,NIL,NIL,,,,,
"['17:00', '01/02']",01/02 17:00,180,18,9999,5,31,24,1010,66,NIL,NIL,,10000,NIL,,,,,
"['18:00', '01/02']",01/02 18:00,170,15,9999,3,30,25,1010,75,NIL,NIL,,NIL,NIL,,,,,
"['19:00', '01/02']",01/02 19:00,160,13,9999,5,29,25,1011,79,NIL,NIL,,10000,NIL,,,,,
"['20:00', '01/02']",01/02 20:00,160,10,9999,5,28,25,1011,84,NIL,NIL,,5000,NIL,,,,,
"['20:30', '01/02']",01/02 20:30,160,8,9999,5,28,25,1011,84,NIL,1,,5000,NIL,,,,,
"['21:00', '01/02']",01/02 21:00,150,7,9999,5,28,25,1011,84,1,1,,5000,NIL,,,,,
"['22:00', '01/02']",01/02 22:00,110,6,9999,5,27,25,1012,89,1,1,,4500,NIL,,,,,
"['23:00', '01/02']",01/02 23:00,90,4,9999,5,27,25,1013,89,NIL,NIL,,4000,NIL,,,,,
"['00:00', '02/02']",02/02 00:00,360,4,9999,5,27,25,1013,89,1,NIL,,4000,NIL,,,,,
