validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,vnt_rajada,chuvisco,pancada,nevoeiro,nevoa_seca
"['03:00', '15/03']",15/03 03:00,300,5,9999,NIL,NIL,22,21,1015,94,,,,,,,,,,,
"['04:00', '15/03']",15/03 04:00,320,3,9999,3000,5,22,21,1015,94,,,,,,,,,,,
"['05:00', '15/03']",15/03 05:00,VRB,2,9999,NIL,3,22,20,1015,88,,,,,,,,,,,
"['06:00', '15/03']",15/03 06:00,210,3,9999,NIL,NIL,21,20,1014,94,,,,,,,,,,,
"['07:00', '15/03']",15/03 07:00,VRB,1,9999,NIL,NIL,22,20,1014,88,,,,,,,,,,,
"['08:00', '15/03']",15/03 08:00,0,0,9999,NIL,NIL,22,21,1014,94,,,,,,,,,,,
"['09:00', '15/03']",15/03 09:00,VRB,2,9999,2000,5,22,21,1014,94,,,,,,,,,,,
"['10:00', '15/03']",15/03 10:00,VRB,1,9999,6000,5,22,21,1015,94,,,,,,,,,,,
"['11:00', '15/03']",15/03 11:00,240,3,9999,NIL,3,23,22,1015,94,,,,,,,,,,,
"['12:00', '15/03']",15/03 12:00,280,5,9999,NIL,2,25,22,1015,83,,,,,,,,,,,
"['13:00', '15/03']",15/03 13:00,300,7,9999,NIL,2,27,21,1014,70,,,,,,,,,,,
"['14:00', '15/03']",15/03 14:00,310,4,9999,NIL,NIL,28,21,1014,66,,,,,,,,,,,
"['15:00', '15/03']",15/03 15:00,110,10,9999,NIL,2,28,23,1013,74,,,,,,,,,,,
"['16:00', '15/03']",15/03 16:00,110,11,9999,NIL,3,28,23,1013,74,,,,,,,,,,,
"['17:00', '15/03']",15/03 17:00,120,13,9999,NIL,2,28,24,1013,79,,,,,,,,,,,
"['18:00', '15/03']",15/03 18:00,120,14,9999,NIL,3,27,23,1013,79,,,,,,,,,,,
"['19:00', '15/03']",15/03 19:00,110,14,9999,NIL,3,26,22,1013,79,,,,,,,,,,,
"['20:00', '15/03']",15/03 20:00,130,12,9999,NIL,3,26,22,1012,79,,,,,,,,,,,
"['21:00', '15/03']",15/03 21:00,120,11,9999,3000,5,26,22,1013,79,,,,,,,,,,,
"['22:00', '15/03']",15/03 22:00,110,10,9999,10000,5,25,22,1013,83,,,,,,,,,,,
"['23:00', '15/03']",15/03 23:00,130,8,9999,7000,5,25,22,1013,83,,,,,,,,,,,
"['01:00', '16/03']",16/03 01:00,120,5,9999,3000,5,25,23,1014,89,NIL,,,,,,,,,,
"['02:00', '16/03']",16/03 02:00,VRB,2,9999,1800,5,25,23,1014,89,NIL,,,,,,,,,,
"['03:00', '16/03']",16/03 03:00,VRB,2,9999,6000,5,25,23,1014,89,NIL,,,,,,,,,,
"['04:00', '16/03']",16/03 04:00,240,2,9999,6000,5,24,23,1014,94,NIL,,,,,,,,,,
"['05:00', '16/03']",16/03 05:00,250,2,9999,1500,5,24,22,1013,89,NIL,,,,,,,,,,
"['06:00', '16/03']",16/03 06:00,240,2,9999,1500,5,24,22,1013,89,NIL,,,,,,,,,,
"['07:00', '16/03']",16/03 07:00,290,5,9999,3000,5,24,22,1012,89,NIL,,,,,,,,,,
