validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['18:00', '07/01']",07/01 18:00,90,5,9999,NIL,3,30,21,1012,59,,NIL,,,,,,,,,
"['19:00', '07/01']",07/01 19:00,120,4,9999,NIL,3,31,20,1011,52,,NIL,,,,,,,,,
"['20:00', '07/01']",07/01 20:00,90,3,9999,NIL,3,31,20,1011,52,,NIL,,,,,,,,,
"['21:00', '07/01']",07/01 21:00,120,4,9999,NIL,2,31,21,1010,55,,NIL,,,,,,,,,
"['22:00', '07/01']",07/01 22:00,90,5,9999,NIL,2,30,21,1010,59,,NIL,,,,,,,,,
"['23:00', '07/01']",07/01 23:00,100,3,9999,NIL,2,28,21,1011,66,,NIL,,,,,,,,,
"['00:00', '08/01']",08/01 00:00,80,3,9999,NIL,NIL,27,21,1012,70,,NIL,,,,,,,,,
"['01:00', '08/01']",08/01 01:00,70,3,9999,NIL,NIL,27,22,1012,74,,,,,,,,,,,
"['02:00', '08/01']",08/01 02:00,30,2,9999,NIL,NIL,27,22,1013,74,,,,,,,,,,,
"['03:00', '08/01']",08/01 03:00,10,1,9999,NIL,NIL,26,22,1013,79,,,,,,,,,,,
"['04:00', '08/01']",08/01 04:00,200,2,9999,NIL,NIL,25,22,1012,83,,,,,,,,,,,
"['05:00', '08/01']",08/01 05:00,180,3,9999,NIL,NIL,25,23,1011,89,,,,,,,,,,,
"['06:00', '08/01']",08/01 06:00,130,2,9999,NIL,NIL,24,22,1011,89,,,,,,,,,,,
"['07:00', '08/01']",08/01 07:00,0,0,9999,NIL,NIL,24,22,1011,89,,,,,,,,,,,
"['08:00', '08/01']",08/01 08:00,170,1,9999,NIL,NIL,24,22,1011,89,,,,,,,,,,,
"['09:00', '08/01']",08/01 09:00,160,1,9999,NIL,2,23,22,1011,94,,,,,,,,,,,
"['10:00', '08/01']",08/01 10:00,130,4,9999,NIL,2,23,22,1012,94,,,,,,,,,,,
"['11:00', '08/01']",08/01 11:00,280,4,9999,NIL,NIL,26,23,1013,84,,,,,,,,,,,
"['12:00', '08/01']",08/01 12:00,260,4,9999,NIL,NIL,29,24,1014,74,,,,,,,,,,,
"['13:00', '08/01']",08/01 13:00,290,5,9999,NIL,NIL,31,23,1014,63,,,,,,,,,,,
"['14:00', '08/01']",08/01 14:00,230,4,9999,NIL,NIL,33,21,1014,49,,,,,,,,,,,
"['15:00', '08/01']",08/01 15:00,130,5,9999,NIL,NIL,35,21,1013,44,,,,,,,,,,,
"['16:00', '08/01']",08/01 16:00,120,5,9999,NIL,2,36,19,1012,37,,,,,,,,,,,
"['17:00', '08/01']",08/01 17:00,290,3,9999,2000,5,37,18,1011,33,,,,,,,,,,,
"['18:00', '08/01']",08/01 18:00,180,6,9999,2000,5,37,18,1009,33,,,,,,,,,,,
"['19:00', '08/01']",08/01 19:00,250,7,9999,2000,5,37,18,1008,33,,,,,,,,,,,
"['20:00', '08/01']",08/01 20:00,260,6,9999,NIL,3,37,18,1007,33,,,,,,,,,,,
