validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoa_umida,chuvisco,nevoeiro,nevoa_seca,fumaca
"['12:00', '29/05']",29/05 12:00,60,6,60,9999,NIL,NIL,,,,18,11,1023,64,,,,,,,,
"['13:00', '29/05']",29/05 13:00,80,8,85,9999,NIL,NIL,,,,20,11,1023,56,,,,,,,,
"['14:00', '29/05']",29/05 14:00,80,7,NIL,9999,NIL,NIL,,,,21,12,1023,56,,,,,,,,
"['15:00', '29/05']",29/05 15:00,90,8,NIL,9999,NIL,NIL,,,,23,11,1022,47,,,,,,,,
"['16:00', '29/05']",29/05 16:00,70,8,NIL,9999,NIL,NIL,,,,24,11,1021,44,,,,,,,,
"['17:00', '29/05']",29/05 17:00,60,8,65,9999,NIL,NIL,,,,25,12,1021,44,,,,,,,,
"['18:00', '29/05']",29/05 18:00,110,10,NIL,9999,NIL,NIL,,,,25,11,1020,41,,,,,,,,
"['19:00', '29/05']",29/05 19:00,80,9,NIL,9999,NIL,NIL,,,,25,11,1020,41,,,,,,,,
"['20:00', '29/05']",29/05 20:00,70,8,NIL,9999,NIL,NIL,,,,25,12,1020,44,,,,,,,,
"['21:00', '29/05']",29/05 21:00,100,7,NIL,9999,1500,315,,,,23,13,1021,53,,,,,,,,
"['22:00', '29/05']",29/05 22:00,100,6,NIL,9999,NIL,NIL,,,,21,13,1021,60,,,,,,,,
"['23:00', '29/05']",29/05 23:00,110,5,NIL,9999,NIL,NIL,,,,20,13,1021,64,,,,,,,,
"['00:00', '30/05']",30/05 00:00,120,5,NIL,9999,NIL,NIL,,,,19,12,1022,64,,,,,,,,
"['01:00', '30/05']",30/05 01:00,100,4,125,9999,,,,,,18,12,1022,68,,,,,,NIL,,
"['02:00', '30/05']",30/05 02:00,90,5,NIL,9999,,,,,,17,12,1022,72,,,,,,NIL,,
"['03:00', '30/05']",30/05 03:00,90,3,NIL,9999,,,,,,16,12,1022,77,,,,,,NIL,,
"['04:00', '30/05']",30/05 04:00,0,0,NIL,9999,,,,,,13,11,1021,88,,,,,,NIL,,
"['05:00', '30/05']",30/05 05:00,160,3,NIL,9999,,,,,,15,11,1021,77,,,,,,NIL,,
"['06:00', '30/05']",30/05 06:00,VRB,1,NIL,9999,,,,,,12,10,1020,88,,,,,,NIL,,
"['07:00', '30/05']",30/05 07:00,280,2,NIL,9999,,,,,,11,09,1021,87,,,,,,NIL,,
"['08:00', '30/05']",30/05 08:00,230,1,NIL,9999,,,,,,11,09,1021,87,,,,,,NIL,,
"['09:00', '30/05']",30/05 09:00,VRB,2,NIL,9999,,,,,,11,09,1022,87,,,,,,NIL,,
"['10:00', '30/05']",30/05 10:00,VRB,2,NIL,9999,,,,,,12,09,1022,82,,,,,,NIL,,
"['11:00', '30/05']",30/05 11:00,290,2,NIL,9999,,,,,,13,10,1023,82,,,,,,1,,
"['12:00', '30/05']",30/05 12:00,50,6,220,9999,,,,,,17,11,1024,68,,,,,,NIL,,
"['13:00', '30/05']",30/05 13:00,60,8,NIL,9999,,,,,,19,12,1024,64,,,,,,NIL,,
"['14:00', '30/05']",30/05 14:00,60,10,60,9999,,,,,,20,12,1023,60,,,,,,NIL,,
"['15:00', '30/05']",30/05 15:00,VRB,6,NIL,9999,,,,,,21,12,1023,56,,,,,,NIL,,
"['16:00', '30/05']",30/05 16:00,80,7,85,9999,,,,,,23,11,1022,47,,,,,,NIL,,
"['17:00', '30/05']",30/05 17:00,VRB,3,NIL,9999,,,,,,24,11,1021,44,,,,,,NIL,,
"['18:00', '30/05']",30/05 18:00,VRB,4,NIL,9999,,,,,,24,10,1020,41,,,,,,NIL,,
"['19:00', '30/05']",30/05 19:00,60,4,NIL,9999,,,,,,24,09,1020,38,,,,,,NIL,,
"['20:00', '30/05']",30/05 20:00,40,3,45,9999,,,,,,24,10,1020,41,,,,,,NIL,,
"['21:00', '30/05']",30/05 21:00,100,6,NIL,9999,,,,,,22,13,1020,57,,,,,,NIL,,
"['22:00', '30/05']",30/05 22:00,120,7,NIL,9999,,,,,,21,11,1021,53,,,,,,NIL,,
"['23:00', '30/05']",30/05 23:00,VRB,2,NIL,9999,,,,,,18,11,1021,64,,,,,,NIL,,
"['00:00', '31/05']",31/05 00:00,90,3,90,9999,,,,,,19,12,1021,64,,,,,,NIL,,
"['01:00', '31/05']",31/05 01:00,80,3,80,9999,,,,,,17,12,1022,72,,,,,,,,
"['02:00', '31/05']",31/05 02:00,VRB,2,NIL,9999,,,,,,15,11,1022,77,,,,,,,,
