validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['23:00', '04/08']",04/08 23:00,170,13,NIL,9999,NIL,,6000,5,23,19,1022,78,NIL,NIL,NIL
"['00:00', '05/08']",05/08 00:00,150,14,NIL,9999,NIL,,6000,5,25,19,1022,69,NIL,NIL,NIL
"['01:00', '05/08']",05/08 01:00,150,12,NIL,9999,NIL,,6000,5,25,19,1022,69,,NIL,
"['02:00', '05/08']",05/08 02:00,140,12,NIL,9999,NIL,,NIL,3,24,19,1025,74,,NIL,
"['03:00', '05/08']",05/08 03:00,160,14,NIL,9999,NIL,,NIL,3,24,18,1022,69,,NIL,
"['04:00', '05/08']",05/08 04:00,160,12,NIL,9999,NIL,,NIL,3,24,18,1021,69,,NIL,
"['05:00', '05/08']",05/08 05:00,160,12,NIL,9999,NIL,,NIL,3,24,18,1021,69,,NIL,
"['06:00', '05/08']",05/08 06:00,160,12,NIL,9999,NIL,,NIL,3,24,18,1023,69,,NIL,
"['07:00', '05/08']",05/08 07:00,160,16,NIL,9999,NIL,,NIL,3,25,17,1020,61,,NIL,
"['08:00', '05/08']",05/08 08:00,150,13,NIL,9999,NIL,,NIL,3,24,20,1020,78,,NIL,
"['09:00', '05/08']",05/08 09:00,160,9,NIL,9999,NIL,,NIL,3,24,20,1021,78,,NIL,
"['10:00', '05/08']",05/08 10:00,150,12,NIL,6000,1,,1700,5,23,20,1021,83,,NIL,
"['11:00', '05/08']",05/08 11:00,100,5,105,8000,NIL,,6000,5,24,22,1022,89,,NIL,
"['12:00', '05/08']",05/08 12:00,130,10,NIL,9999,NIL,,NIL,3,26,21,1022,74,,NIL,
"['13:00', '05/08']",05/08 13:00,110,4,NIL,9999,NIL,,1700,5,26,20,1023,70,,NIL,
"['14:00', '05/08']",05/08 14:00,110,10,NIL,9999,NIL,,6000,5,26,19,1022,65,,NIL,
"['15:00', '05/08']",05/08 15:00,120,10,NIL,9999,NIL,,6000,5,25,21,1022,79,,NIL,
"['16:00', '05/08']",05/08 16:00,110,12,NIL,9999,NIL,,NIL,3,26,19,1021,65,,NIL,
"['17:00', '05/08']",05/08 17:00,110,11,NIL,9999,NIL,,NIL,3,26,20,1020,70,,NIL,
"['18:00', '05/08']",05/08 18:00,110,12,NIL,9999,NIL,,NIL,3,26,20,1020,70,,NIL,
"['19:00', '05/08']",05/08 19:00,130,11,NIL,9999,NIL,,7000,5,26,21,1020,74,,NIL,
"['20:00', '05/08']",05/08 20:00,80,15,NIL,8000,NIL,,1700,5,23,21,1020,89,,25,
"['21:00', '05/08']",05/08 21:00,110,9,NIL,9999,NIL,,7000,5,25,21,1020,79,,NIL,
"['22:00', '05/08']",05/08 22:00,110,12,NIL,9999,NIL,,7000,5,25,19,1020,69,,NIL,
"['23:00', '05/08']",05/08 23:00,120,12,NIL,9999,NIL,,7000,5,25,20,1021,74,,NIL,
"['00:00', '06/08']",06/08 00:00,130,11,NIL,7000,1,,2000,5,25,20,1021,74,,NIL,
"['01:00', '06/08']",06/08 01:00,120,12,,8000,NIL,,2000,5,25,19,1021,69,,NIL,
"['02:00', '06/08']",06/08 02:00,130,10,,9999,NIL,,5000,5,25,20,1021,74,,NIL,
"['03:00', '06/08']",06/08 03:00,120,12,,9999,NIL,,2000,5,25,19,1021,69,,NIL,
"['04:00', '06/08']",06/08 04:00,110,12,,9999,NIL,,6000,5,24,21,1021,83,,NIL,
"['05:00', '06/08']",06/08 05:00,120,11,,9999,NIL,,6000,5,24,20,1020,78,,NIL,
"['06:00', '06/08']",06/08 06:00,120,11,,9999,NIL,,6000,5,24,20,1019,78,,NIL,
"['07:00', '06/08']",06/08 07:00,120,10,,9999,NIL,,NIL,3,24,20,1019,78,,NIL,
"['08:00', '06/08']",06/08 08:00,120,8,,9999,NIL,,NIL,3,24,19,1019,74,,NIL,
"['09:00', '06/08']",06/08 09:00,120,9,,9999,NIL,,NIL,3,24,20,1020,78,,NIL,
"['10:00', '06/08']",06/08 10:00,130,4,,9999,NIL,,NIL,3,22,20,1021,88,,NIL,
"['10:30', '06/08']",06/08 10:30,90,17,,3000,1,,1000,8,22,20,1022,88,,NIL,
"['11:00', '06/08']",06/08 11:00,70,7,,9000,NIL,,1700,5,22,21,1021,94,,NIL,
"['12:00', '06/08']",06/08 12:00,110,13,,9999,NIL,,1700,5,24,19,1022,74,,28,
"['12:15', '06/08']",06/08 12:15,100,11,,8000,NIL,,1700,5,24,19,1022,74,,NIL,
"['13:00', '06/08']",06/08 13:00,110,14,,9999,NIL,,NIL,2,26,21,1022,74,,NIL,
"['14:00', '06/08']",06/08 14:00,100,13,,9999,NIL,,NIL,2,27,20,1022,66,,NIL,
"['15:00', '06/08']",06/08 15:00,90,14,,9999,NIL,,NIL,3,27,20,1022,66,,NIL,
"['16:00', '06/08']",06/08 16:00,100,10,,9999,NIL,,NIL,3,27,20,1021,66,,NIL,
"['17:00', '06/08']",06/08 17:00,100,14,,9999,NIL,,NIL,3,27,20,1020,66,,NIL,
"['18:00', '06/08']",06/08 18:00,100,12,,9999,NIL,,NIL,3,27,20,1020,66,,NIL,
"['19:00', '06/08']",06/08 19:00,90,9,,9999,NIL,,NIL,3,26,21,1020,74,,NIL,
"['20:00', '06/08']",06/08 20:00,100,13,,9999,NIL,,NIL,3,26,20,1020,70,,NIL,
"['21:00', '06/08']",06/08 21:00,100,12,,9999,NIL,,NIL,3,25,20,1020,74,,NIL,
"['22:00', '06/08']",06/08 22:00,100,10,,9999,NIL,,NIL,3,25,20,1020,74,,NIL,
"['23:00', '06/08']",06/08 23:00,110,11,,9999,NIL,,NIL,3,25,19,1021,69,,NIL,
"['00:00', '07/08']",07/08 00:00,110,11,,9999,NIL,,NIL,3,25,20,1022,74,,NIL,
"['01:00', '07/08']",07/08 01:00,100,11,NIL,9999,NIL,,NIL,2,25,20,1021,74,,NIL,
"['02:00', '07/08']",07/08 02:00,100,11,NIL,9999,NIL,,NIL,2,25,19,1022,69,,NIL,
"['02:30', '07/08']",07/08 02:30,100,16,NIL,5000,1,,1500,5,22,19,1021,83,,30,
"['03:00', '07/08']",07/08 03:00,110,8,NIL,9999,1,,2000,5,23,20,1021,83,,NIL,
"['04:00', '07/08']",07/08 04:00,110,12,NIL,9999,NIL,,NIL,3,25,20,1021,74,,NIL,
"['05:00', '07/08']",07/08 05:00,110,17,NIL,8000,1,,1700,5,23,20,1020,83,,NIL,
"['06:00', '07/08']",07/08 06:00,110,13,NIL,9999,NIL,,NIL,3,24,19,1020,74,,NIL,
"['07:00', '07/08']",07/08 07:00,110,14,NIL,9999,NIL,,NIL,3,24,20,1020,78,,NIL,
"['08:00', '07/08']",07/08 08:00,110,14,NIL,9999,NIL,,NIL,3,24,20,1020,78,,NIL,
"['09:00', '07/08']",07/08 09:00,110,15,NIL,9999,NIL,,NIL,3,24,19,1020,74,,NIL,
"['10:00', '07/08']",07/08 10:00,110,14,NIL,9999,NIL,,NIL,3,25,20,1021,74,,NIL,
"['11:00', '07/08']",07/08 11:00,110,15,NIL,9999,NIL,,NIL,3,25,19,1021,69,,NIL,
"['12:00', '07/08']",07/08 12:00,140,13,NIL,9999,NIL,,NIL,3,25,21,1022,79,,NIL,
"['13:00', '07/08']",07/08 13:00,130,13,135,9999,NIL,,NIL,3,26,20,1022,70,,NIL,
"['14:00', '07/08']",07/08 14:00,110,15,NIL,9999,NIL,,NIL,3,27,20,1022,66,,NIL,
"['15:00', '07/08']",07/08 15:00,110,13,NIL,9999,NIL,,NIL,3,27,19,1021,62,,NIL,
"['16:00', '07/08']",07/08 16:00,120,15,NIL,9999,NIL,,NIL,3,27,19,1021,62,,NIL,
"['17:00', '07/08']",07/08 17:00,110,14,120,9999,NIL,,NIL,3,27,20,1020,66,,NIL,
