validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['23:00', '26/07']",26/07 23:00,130,6,,9999,NIL,,NIL,3,25,22,1019,83,NIL,NIL,
"['00:00', '27/07']",27/07 00:00,110,7,,9999,NIL,,6000,5,25,21,1019,79,NIL,NIL,
"['01:00', '27/07']",27/07 01:00,120,7,,9999,NIL,,NIL,3,25,22,1019,83,,,
"['02:00', '27/07']",27/07 02:00,140,6,,9999,NIL,,NIL,3,25,22,1019,83,,,
"['03:00', '27/07']",27/07 03:00,120,5,,9999,NIL,,NIL,3,25,22,1018,83,,,
"['04:00', '27/07']",27/07 04:00,80,12,,9000,NIL,,6000,5,24,22,1018,89,,,
"['05:00', '27/07']",27/07 05:00,100,7,,9999,NIL,,NIL,3,24,21,1018,83,,,
"['06:00', '27/07']",27/07 06:00,110,8,,9999,NIL,,6000,5,24,21,1018,83,,,
"['07:00', '27/07']",27/07 07:00,120,8,,9000,NIL,,1800,5,23,22,1017,94,,,
"['08:00', '27/07']",27/07 08:00,90,5,,9999,NIL,,1800,5,23,22,1017,94,,,
"['09:00', '27/07']",27/07 09:00,80,7,,9000,NIL,,1700,5,24,23,1018,94,,,
"['10:00', '27/07']",27/07 10:00,80,10,,6000,1,,5000,5,23,21,1018,89,,,
"['11:00', '27/07']",27/07 11:00,90,14,,9999,NIL,,6000,5,25,22,1019,83,,,
"['12:00', '27/07']",27/07 12:00,90,17,,9999,NIL,,NIL,3,26,23,1019,84,,,
"['13:00', '27/07']",27/07 13:00,100,17,,9999,NIL,,NIL,3,26,21,1020,74,,,
"['14:00', '27/07']",27/07 14:00,90,15,,9999,NIL,,NIL,3,27,23,1019,79,,,
"['15:00', '27/07']",27/07 15:00,80,17,,9999,NIL,,NIL,3,27,23,1019,79,,,
"['16:00', '27/07']",27/07 16:00,90,18,,9999,NIL,,NIL,2,28,22,1018,70,,,
"['17:00', '27/07']",27/07 17:00,80,18,,9999,NIL,,NIL,3,28,22,1018,70,,,
"['18:00', '27/07']",27/07 18:00,90,19,,9999,NIL,,NIL,3,27,21,1018,70,,,
"['19:00', '27/07']",27/07 19:00,80,18,,9999,NIL,,NIL,3,27,21,1018,70,,,
"['20:00', '27/07']",27/07 20:00,80,15,,9999,NIL,,NIL,3,26,21,1018,74,,,
"['21:00', '27/07']",27/07 21:00,100,12,,9999,NIL,,NIL,3,26,21,1018,74,,,
"['22:00', '27/07']",27/07 22:00,90,12,,9999,NIL,,NIL,3,26,20,1019,70,,,
"['23:00', '27/07']",27/07 23:00,90,12,,9999,NIL,,NIL,3,26,20,1019,70,,,
"['00:00', '28/07']",28/07 00:00,90,11,,9999,NIL,,NIL,3,25,20,1019,74,,,
"['01:00', '28/07']",28/07 01:00,100,10,NIL,9999,NIL,,NIL,3,25,20,1019,74,NIL,,
"['02:00', '28/07']",28/07 02:00,110,8,NIL,9999,NIL,,NIL,3,25,21,1019,79,NIL,,
"['03:00', '28/07']",28/07 03:00,100,9,NIL,9999,NIL,,NIL,2,25,20,1019,74,NIL,,
"['04:00', '28/07']",28/07 04:00,100,9,NIL,9999,NIL,,NIL,2,25,19,1018,69,NIL,,
"['05:00', '28/07']",28/07 05:00,100,8,NIL,9999,NIL,,NIL,3,25,20,1017,74,NIL,,
"['06:00', '28/07']",28/07 06:00,110,11,NIL,9999,NIL,,NIL,3,25,20,1017,74,NIL,,
"['07:00', '28/07']",28/07 07:00,110,9,NIL,9999,NIL,,NIL,3,25,21,1017,79,NIL,,
"['08:00', '28/07']",28/07 08:00,120,9,NIL,9999,NIL,,NIL,3,25,20,1017,74,NIL,,
"['09:00', '28/07']",28/07 09:00,130,9,NIL,9999,NIL,,NIL,3,25,20,1018,74,NIL,,
"['10:00', '28/07']",28/07 10:00,120,10,NIL,9999,NIL,,7000,5,25,20,1018,74,NIL,,
"['11:00', '28/07']",28/07 11:00,110,11,NIL,9999,NIL,,7000,5,26,20,1019,70,NIL,,
"['12:00', '28/07']",28/07 12:00,100,14,NIL,5000,1,,1500,5,25,22,1019,83,NIL,,
"['13:00', '28/07']",28/07 13:00,110,14,NIL,9999,NIL,,7000,5,26,21,1019,74,NIL,,
"['14:00', '28/07']",28/07 14:00,120,11,NIL,8000,NIL,,2000,8,26,21,1019,74,NIL,,
"['14:12', '28/07']",28/07 14:12,110,9,105,5000,NIL,,1300,8,25,21,1019,79,1,,
"['14:44', '28/07']",28/07 14:44,140,12,NIL,8000,NIL,,1700,8,25,21,1019,79,NIL,,
"['15:00', '28/07']",28/07 15:00,150,12,NIL,9999,NIL,,1700,8,25,21,1019,79,NIL,,
"['15:33', '28/07']",28/07 15:33,150,11,NIL,3000,1,,1000,8,24,21,1018,83,1,,
"['16:00', '28/07']",28/07 16:00,170,10,160,5000,NIL,,1500,8,24,21,1018,83,1,,
"['17:00', '28/07']",28/07 17:00,110,13,NIL,9999,NIL,,1700,8,27,20,1017,66,NIL,,
"['18:00', '28/07']",28/07 18:00,110,14,NIL,9999,NIL,,6000,5,27,19,1017,62,NIL,,
"['19:00', '28/07']",28/07 19:00,110,14,NIL,9999,NIL,,6000,5,27,19,1017,62,NIL,,
"['20:00', '28/07']",28/07 20:00,110,14,NIL,9999,NIL,,7000,5,26,19,1017,65,NIL,,
"['21:00', '28/07']",28/07 21:00,100,14,NIL,9999,NIL,,NIL,3,26,18,1017,61,NIL,,
"['22:00', '28/07']",28/07 22:00,100,12,NIL,9999,NIL,,NIL,3,25,62,1018,100,NIL,,
"['23:00', '28/07']",28/07 23:00,100,12,NIL,9999,NIL,,NIL,3,25,20,1018,74,NIL,,
"['00:00', '29/07']",29/07 00:00,110,12,NIL,9999,NIL,,NIL,3,25,20,1019,74,NIL,,
"['01:00', '29/07']",29/07 01:00,100,12,NIL,9999,,,NIL,3,25,20,1019,74,,,
"['02:00', '29/07']",29/07 02:00,110,10,NIL,9999,,,7000,5,25,20,1019,74,,,
"['03:00', '29/07']",29/07 03:00,110,8,NIL,9999,,,NIL,3,25,20,1019,74,,,
"['04:00', '29/07']",29/07 04:00,110,9,NIL,9999,,,NIL,3,25,20,1018,74,,,
"['05:00', '29/07']",29/07 05:00,110,8,NIL,9999,,,NIL,3,25,20,1018,74,,,
"['06:00', '29/07']",29/07 06:00,120,7,NIL,9999,,,NIL,3,25,20,1017,74,,,
"['07:00', '29/07']",29/07 07:00,60,8,NIL,9999,,,NIL,3,25,20,1019,74,,,
"['08:00', '29/07']",29/07 08:00,130,8,NIL,9999,,,NIL,3,25,20,1017,74,,,
"['09:00', '29/07']",29/07 09:00,130,8,NIL,9999,,,NIL,3,25,19,1018,69,,,
"['10:00', '29/07']",29/07 10:00,130,9,NIL,9999,,,NIL,3,25,19,1019,69,,,
"['11:00', '29/07']",29/07 11:00,140,11,NIL,9999,,,NIL,2,26,19,1019,65,,,
"['12:00', '29/07']",29/07 12:00,130,8,NIL,9999,,,NIL,3,26,19,1020,65,,,
"['13:00', '29/07']",29/07 13:00,140,14,NIL,9999,,,NIL,3,27,19,1020,62,,,
"['14:00', '29/07']",29/07 14:00,130,12,NIL,9999,,,NIL,2,27,19,1020,62,,,
"['15:00', '29/07']",29/07 15:00,160,12,NIL,9999,,,NIL,3,27,19,1019,62,,,
"['16:00', '29/07']",29/07 16:00,130,11,NIL,9999,,,NIL,3,27,20,1018,66,,,
"['17:00', '29/07']",29/07 17:00,140,9,135,9999,,,NIL,3,27,19,1018,62,,,
"['18:00', '29/07']",29/07 18:00,150,11,NIL,9999,,,NIL,3,27,19,1017,62,,,
"['19:00', '29/07']",29/07 19:00,150,10,NIL,9999,,,NIL,2,27,19,1017,62,,,
"['20:00', '29/07']",29/07 20:00,150,9,NIL,9999,,,NIL,2,26,19,1018,65,,,
"['21:00', '29/07']",29/07 21:00,150,10,NIL,9999,,,NIL,2,26,18,1018,61,,,
"['22:00', '29/07']",29/07 22:00,150,10,NIL,9999,,,NIL,2,26,18,1018,61,,,
"['23:00', '29/07']",29/07 23:00,150,10,NIL,9999,,,NIL,2,25,19,1019,69,,,
"['00:00', '30/07']",30/07 00:00,140,10,NIL,9999,,,NIL,2,25,17,1019,61,,,
"['01:00', '30/07']",30/07 01:00,140,9,NIL,9999,,,NIL,2,25,17,1019,61,,,
"['02:00', '30/07']",30/07 02:00,140,10,NIL,9999,,,NIL,2,25,17,1019,61,,,
"['03:00', '30/07']",30/07 03:00,140,8,NIL,9999,,,NIL,2,25,17,1019,61,,,
"['04:00', '30/07']",30/07 04:00,140,7,NIL,9999,,,NIL,2,25,16,1018,57,,,
"['05:00', '30/07']",30/07 05:00,130,8,130,9999,,,NIL,2,25,17,1017,61,,,
"['06:00', '30/07']",30/07 06:00,160,7,NIL,9999,,,NIL,2,25,18,1017,65,,,
"['07:00', '30/07']",30/07 07:00,110,6,NIL,9999,,,NIL,3,23,19,1017,78,,,
"['08:00', '30/07']",30/07 08:00,140,9,140,9999,,,NIL,3,24,17,1017,65,,,
"['09:00', '30/07']",30/07 09:00,120,9,NIL,9999,,,6000,5,25,15,1018,54,,,
"['10:00', '30/07']",30/07 10:00,130,8,NIL,9999,,,NIL,3,26,16,1018,54,,,
"['11:00', '30/07']",30/07 11:00,110,9,NIL,9999,,,NIL,3,26,18,1019,61,,,
"['12:00', '30/07']",30/07 12:00,140,10,NIL,9999,,,NIL,3,27,17,1019,54,,,
"['13:00', '30/07']",30/07 13:00,110,9,NIL,9999,,,NIL,3,27,18,1019,58,,,
"['14:00', '30/07']",30/07 14:00,110,10,110,9999,,,NIL,3,27,18,1019,58,,,
"['15:00', '30/07']",30/07 15:00,140,9,NIL,9999,,,NIL,3,27,18,1019,58,,,
"['16:00', '30/07']",30/07 16:00,130,9,130,9999,,,NIL,3,27,18,1018,58,,,
"['17:00', '30/07']",30/07 17:00,160,8,150,9999,,,NIL,3,27,17,1017,54,,,
"['18:00', '30/07']",30/07 18:00,160,10,NIL,9999,,,NIL,3,27,18,1017,58,,,
"['19:00', '30/07']",30/07 19:00,150,10,NIL,9999,,,NIL,3,27,18,1018,58,,,
"['20:00', '30/07']",30/07 20:00,160,11,NIL,9999,,,NIL,3,26,18,1018,61,,,
"['21:00', '30/07']",30/07 21:00,160,9,NIL,9999,,,NIL,3,26,18,1018,61,,,
"['22:00', '30/07']",30/07 22:00,170,10,NIL,9999,,,NIL,3,25,19,1018,69,,,
"['23:00', '30/07']",30/07 23:00,150,8,NIL,9999,,,7000,5,25,20,1019,74,,,
"['00:00', '31/07']",31/07 00:00,150,11,NIL,9999,,,NIL,3,25,19,1019,69,,,
"['01:00', '31/07']",31/07 01:00,160,15,NIL,9999,NIL,,7000,5,25,20,1019,74,,NIL,
"['02:00', '31/07']",31/07 02:00,160,12,NIL,9999,NIL,,7000,5,25,20,1019,74,,NIL,
"['03:00', '31/07']",31/07 03:00,150,12,NIL,9999,NIL,,7000,5,25,20,1019,74,,NIL,
"['04:00', '31/07']",31/07 04:00,150,9,NIL,9999,NIL,,NIL,3,25,19,1018,69,,NIL,
"['05:00', '31/07']",31/07 05:00,150,11,NIL,9999,NIL,,7000,5,25,20,1018,74,,NIL,
"['06:00', '31/07']",31/07 06:00,150,12,NIL,9999,NIL,,NIL,3,25,19,1018,69,,NIL,
"['07:00', '31/07']",31/07 07:00,210,16,NIL,9999,NIL,,7000,5,23,20,1017,83,,NIL,
"['08:00', '31/07']",31/07 08:00,140,11,NIL,9999,NIL,,7000,5,25,21,1018,79,,NIL,
"['09:00', '31/07']",31/07 09:00,140,12,NIL,9999,NIL,,2000,8,25,20,1018,74,,NIL,
"['10:00', '31/07']",31/07 10:00,130,9,130,9999,NIL,,2000,5,25,20,1019,74,,NIL,
"['11:00', '31/07']",31/07 11:00,130,13,130,9999,NIL,,6000,5,25,21,1019,79,,NIL,
"['12:00', '31/07']",31/07 12:00,150,15,140,6000,1,,6000,5,24,22,1020,89,,NIL,
"['13:00', '31/07']",31/07 13:00,130,13,130,9999,NIL,,6000,5,26,20,1020,70,,NIL,
"['14:00', '31/07']",31/07 14:00,120,14,NIL,9999,NIL,,6000,5,27,21,1020,70,,NIL,
"['15:00', '31/07']",31/07 15:00,120,15,NIL,9999,NIL,,6000,5,26,20,1019,70,,NIL,
"['16:00', '31/07']",31/07 16:00,110,16,NIL,9999,NIL,,6000,5,27,20,1019,66,,NIL,
"['17:00', '31/07']",31/07 17:00,120,12,NIL,9999,NIL,,6000,5,26,21,1018,74,,NIL,
"['18:00', '31/07']",31/07 18:00,NIL,NIL,NIL,8000,1,,9000,5,26,21,1018,74,,NIL,
"['19:00', '31/07']",31/07 19:00,130,11,NIL,8000,NIL,,2000,5,24,21,1018,83,,24,
"['20:00', '31/07']",31/07 20:00,130,13,NIL,9999,NIL,,2000,5,25,21,1018,79,,NIL,
"['21:00', '31/07']",31/07 21:00,130,12,NIL,9999,NIL,,NIL,3,25,20,1019,74,,NIL,
"['22:00', '31/07']",31/07 22:00,140,14,NIL,9999,NIL,,2000,5,25,20,1019,74,,NIL,
"['23:00', '31/07']",31/07 23:00,140,16,NIL,5000,1,,1500,8,24,19,1020,74,,31,
"['00:00', '01/08']",01/08 00:00,140,14,NIL,8000,NIL,,2000,5,24,20,1020,78,,NIL,
"['01:00', '01/08']",01/08 01:00,140,12,NIL,9999,NIL,,5000,5,25,20,1021,74,,NIL,
"['02:00', '01/08']",01/08 02:00,150,15,NIL,9999,NIL,,5000,5,25,20,1021,74,,NIL,
"['03:00', '01/08']",01/08 03:00,140,13,140,3000,1,,1800,8,21,19,1020,88,,34,
"['04:00', '01/08']",01/08 04:00,130,12,NIL,9999,NIL,,2000,5,25,19,1020,69,,NIL,
"['05:00', '01/08']",01/08 05:00,120,9,NIL,9999,NIL,,6000,5,24,20,1019,78,,NIL,
"['06:00', '01/08']",01/08 06:00,130,10,NIL,8000,NIL,,6000,5,24,20,1019,78,,NIL,
"['07:00', '01/08']",01/08 07:00,140,9,NIL,9999,NIL,,6000,5,24,20,1019,78,,NIL,
"['08:00', '01/08']",01/08 08:00,140,9,NIL,9999,NIL,,6000,5,24,20,1019,78,,NIL,
"['09:00', '01/08']",01/08 09:00,140,11,NIL,9999,NIL,,6000,5,25,20,1019,74,,NIL,
"['10:00', '01/08']",01/08 10:00,130,9,NIL,9999,NIL,,NIL,2,25,19,1020,69,,NIL,
"['11:00', '01/08']",01/08 11:00,130,12,130,9999,NIL,,NIL,2,26,18,1020,61,,NIL,
"['12:00', '01/08']",01/08 12:00,130,11,135,9999,NIL,,NIL,2,27,19,1021,62,,NIL,
"['13:00', '01/08']",01/08 13:00,140,11,NIL,9999,NIL,,NIL,2,27,19,1021,62,,NIL,
"['14:00', '01/08']",01/08 14:00,140,12,130,9999,NIL,,NIL,2,28,20,1021,62,,NIL,
"['15:00', '01/08']",01/08 15:00,140,12,NIL,9999,NIL,,NIL,2,27,20,1020,66,,NIL,
"['16:00', '01/08']",01/08 16:00,130,12,NIL,9999,NIL,,NIL,2,27,19,1019,62,,NIL,
"['17:00', '01/08']",01/08 17:00,140,12,NIL,9999,NIL,,NIL,3,27,20,1019,66,,NIL,
"['18:00', '01/08']",01/08 18:00,150,11,NIL,9999,NIL,,NIL,3,27,21,1018,70,,NIL,
"['19:00', '01/08']",01/08 19:00,160,13,NIL,9999,NIL,,NIL,3,27,20,1018,66,,NIL,
"['20:00', '01/08']",01/08 20:00,150,12,NIL,9999,NIL,,NIL,3,26,20,1018,70,,NIL,
"['21:00', '01/08']",01/08 21:00,150,12,NIL,9999,NIL,,NIL,3,26,20,1019,70,,NIL,
"['22:00', '01/08']",01/08 22:00,150,13,NIL,9999,NIL,,7000,5,23,21,1019,89,,NIL,
"['23:00', '01/08']",01/08 23:00,150,12,NIL,9999,NIL,,7000,5,24,20,1020,78,,NIL,
"['00:00', '02/08']",02/08 00:00,120,12,NIL,9999,NIL,,6000,5,24,21,1020,83,,NIL,
"['01:00', '02/08']",02/08 01:00,140,11,NIL,9999,NIL,,6000,5,25,19,1020,69,,NIL,NIL
"['01:42', '02/08']",02/08 01:42,170,12,NIL,3000,1,,1700,5,23,21,1021,89,,NIL,1
"['02:00', '02/08']",02/08 02:00,190,8,190,7000,1,,1700,5,22,20,1020,88,,NIL,1
"['03:00', '02/08']",02/08 03:00,160,13,NIL,9999,NIL,,6000,5,25,21,1020,79,,NIL,NIL
"['04:00', '02/08']",02/08 04:00,150,11,NIL,9999,NIL,,7000,5,25,20,1020,74,,NIL,NIL
"['05:00', '02/08']",02/08 05:00,150,11,NIL,9999,NIL,,7000,5,25,19,1019,69,,NIL,NIL
"['06:00', '02/08']",02/08 06:00,160,12,NIL,9999,NIL,,7000,5,25,20,1019,74,,NIL,NIL
"['07:00', '02/08']",02/08 07:00,170,11,NIL,9999,NIL,,NIL,3,26,18,1019,61,,NIL,NIL
"['08:00', '02/08']",02/08 08:00,170,11,NIL,9999,NIL,,NIL,3,25,19,1019,69,,NIL,NIL
"['09:00', '02/08']",02/08 09:00,160,25,NIL,6000,1,,1700,5,23,19,1020,78,,NIL,NIL
"['10:00', '02/08']",02/08 10:00,140,15,NIL,6000,1,,1700,5,23,20,1021,83,,NIL,NIL
"['11:00', '02/08']",02/08 11:00,170,11,NIL,9999,NIL,,NIL,3,25,20,1021,74,,NIL,NIL
"['12:00', '02/08']",02/08 12:00,160,12,NIL,9999,NIL,,NIL,3,26,19,1022,65,,NIL,NIL
"['13:00', '02/08']",02/08 13:00,170,12,NIL,9999,NIL,,NIL,3,27,19,1022,62,,NIL,NIL
"['14:00', '02/08']",02/08 14:00,160,12,NIL,9999,NIL,,NIL,3,27,19,1022,62,,NIL,NIL
"['15:00', '02/08']",02/08 15:00,160,13,NIL,9999,NIL,,NIL,3,28,19,1022,58,,NIL,NIL
"['16:00', '02/08']",02/08 16:00,160,13,NIL,9999,NIL,,NIL,3,27,20,1021,66,,NIL,NIL
"['17:00', '02/08']",02/08 17:00,160,11,NIL,9999,NIL,,NIL,3,27,20,1020,66,,NIL,NIL
"['18:00', '02/08']",02/08 18:00,160,12,NIL,9999,NIL,,2000,5,26,20,1020,70,,NIL,NIL
"['19:00', '02/08']",02/08 19:00,170,12,NIL,9999,NIL,,6000,5,27,19,1020,62,,NIL,NIL
"['20:00', '02/08']",02/08 20:00,170,12,NIL,9999,NIL,,6000,5,24,20,1020,78,,NIL,NIL
"['21:00', '02/08']",02/08 21:00,160,5,NIL,9999,NIL,,6000,5,24,21,1020,83,,NIL,NIL
"['22:00', '02/08']",02/08 22:00,170,12,160,9999,NIL,,6000,5,25,20,1021,74,,NIL,NIL
"['22:10', '02/08']",02/08 22:10,150,13,NIL,3000,1,,1000,5,23,20,1021,83,,25,NIL
"['22:23', '02/08']",02/08 22:23,160,12,NIL,5000,1,,1700,5,24,20,1021,78,,NIL,NIL
"['23:00', '02/08']",02/08 23:00,160,11,NIL,9999,NIL,,6000,5,24,20,1021,78,,NIL,NIL
"['00:00', '03/08']",03/08 00:00,160,13,NIL,7000,1,,2000,5,23,21,1022,89,,NIL,NIL
"['01:00', '03/08']",03/08 01:00,130,12,NIL,7000,1,,2000,8,23,20,1022,83,NIL,NIL,
"['02:00', '03/08']",03/08 02:00,180,10,NIL,8000,NIL,,2000,8,24,21,1022,83,NIL,NIL,
"['03:00', '03/08']",03/08 03:00,170,11,NIL,9000,NIL,,2000,5,24,20,1021,78,NIL,NIL,
"['04:00', '03/08']",03/08 04:00,170,12,NIL,9999,NIL,,2000,5,23,20,1021,83,NIL,NIL,
"['05:00', '03/08']",03/08 05:00,150,13,NIL,9999,NIL,,2000,5,24,19,1020,74,NIL,NIL,
"['06:00', '03/08']",03/08 06:00,160,11,NIL,9000,NIL,,2000,5,24,20,1020,78,NIL,NIL,
"['07:00', '03/08']",03/08 07:00,160,16,NIL,9999,NIL,,2000,5,24,19,1020,74,NIL,NIL,
"['08:00', '03/08']",03/08 08:00,160,16,NIL,9999,NIL,,6000,5,24,20,1020,78,NIL,NIL,
"['09:00', '03/08']",03/08 09:00,160,15,NIL,9999,NIL,,NIL,3,24,20,1021,78,NIL,NIL,
"['10:00', '03/08']",03/08 10:00,140,16,NIL,9999,NIL,,NIL,3,25,19,1021,69,NIL,NIL,
