validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['03:00', '19/03']",19/03 03:00,80,4,NIL,9999,3,26,21,1011,74,,NIL,,,,,,,,
"['04:00', '19/03']",19/03 04:00,90,6,NIL,9999,3,26,21,1011,74,,NIL,,,,,,,,
"['05:00', '19/03']",19/03 05:00,90,5,NIL,9999,3,26,21,1010,74,,NIL,,,,,,,,
"['06:00', '19/03']",19/03 06:00,110,5,NIL,9999,3,26,21,1010,74,,NIL,,,,,,,,
"['07:00', '19/03']",19/03 07:00,320,4,NIL,8000,3,24,21,1010,83,,1,,,,,,,,
"['08:00', '19/03']",19/03 08:00,260,3,NIL,9999,3,23,21,1011,89,,NIL,,,,,,,,
"['09:00', '19/03']",19/03 09:00,180,3,NIL,9999,3,24,22,1011,89,,NIL,,,,,,,,
"['10:00', '19/03']",19/03 10:00,120,7,NIL,9999,3,27,21,1011,70,,NIL,,,,,,,,
"['11:00', '19/03']",19/03 11:00,110,8,105,9999,3,27,21,1012,70,,NIL,,,,,,,,
"['12:00', '19/03']",19/03 12:00,100,9,95,9999,3,28,21,1012,66,,NIL,,,,,,,,
"['13:00', '19/03']",19/03 13:00,120,10,120,9999,3,29,21,1012,62,,NIL,,,,,,,,
"['14:00', '19/03']",19/03 14:00,120,10,115,9999,3,28,21,1012,66,,NIL,,,,,,,,
"['15:00', '19/03']",19/03 15:00,100,8,90,9999,3,29,21,1012,62,,NIL,,,,,,,,
"['16:00', '19/03']",19/03 16:00,130,11,NIL,9999,3,29,20,1011,58,,NIL,,,,,,,,
"['17:00', '19/03']",19/03 17:00,120,8,105,9999,3,29,21,1011,62,,NIL,,,,,,,,
"['18:00', '19/03']",19/03 18:00,130,10,115,9999,3,29,20,1011,58,,NIL,,,,,,,,
"['19:00', '19/03']",19/03 19:00,130,11,NIL,9999,3,28,19,1010,58,,NIL,,,,,,,,
"['20:00', '19/03']",19/03 20:00,130,10,NIL,9999,3,27,20,1011,66,,NIL,,,,,,,,
"['21:00', '19/03']",19/03 21:00,120,6,100,9999,2,27,20,1011,66,,NIL,,,,,,,,
"['22:00', '19/03']",19/03 22:00,110,6,110,9999,2,27,20,1011,66,,NIL,,,,,,,,
"['23:00', '19/03']",19/03 23:00,110,6,105,9999,3,27,20,1012,66,,NIL,,,,,,,,
"['00:00', '20/03']",20/03 00:00,120,7,NIL,9999,3,27,20,1012,66,,NIL,,,,,,,,
"['01:00', '20/03']",20/03 01:00,130,8,NIL,9999,5,27,20,1013,66,2500,,,,NIL,NIL,,,,
"['02:00', '20/03']",20/03 02:00,130,7,115,9999,3,26,20,1012,70,NIL,,,,NIL,NIL,,,,
"['03:00', '20/03']",20/03 03:00,120,6,NIL,9999,3,26,20,1012,70,NIL,,,,NIL,NIL,,,,
"['04:00', '20/03']",20/03 04:00,120,6,120,9999,3,26,20,1011,70,NIL,,,,NIL,NIL,,,,
"['05:00', '20/03']",20/03 05:00,140,7,NIL,9999,3,26,21,1011,74,NIL,,,,NIL,NIL,,,,
"['06:00', '20/03']",20/03 06:00,130,7,125,9999,3,26,20,1011,70,NIL,,,,NIL,NIL,,,,
"['07:00', '20/03']",20/03 07:00,140,7,NIL,9999,3,26,20,1011,70,NIL,,,,NIL,NIL,,,,
