validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,teto,cobertura,tt,po,qnh,ur,vnt_vrb,pancada,trovoada,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,chuvisco
"['18:00', '10/07']",10/07 18:00,150,13,9999,NIL,2300,5,28,23,1014,74,NIL,,,,,,,
"['19:00', '10/07']",10/07 19:00,150,14,9999,NIL,2200,5,27,22,1014,74,NIL,,,,,,,
"['20:00', '10/07']",10/07 20:00,170,11,9999,NIL,2200,5,27,22,1014,74,NIL,,,,,,,
"['21:00', '10/07']",10/07 21:00,170,12,9999,NIL,NIL,3,26,22,1014,79,NIL,,,,,,,
"['22:00', '10/07']",10/07 22:00,180,8,9999,NIL,2100,5,26,22,1015,79,NIL,,,,,,,
"['23:00', '10/07']",10/07 23:00,170,9,9999,NIL,NIL,3,26,22,1015,79,NIL,,,,,,,
"['00:00', '11/07']",11/07 00:00,210,6,9999,NIL,NIL,3,25,22,1016,83,NIL,,,,,,,
"['01:00', '11/07']",11/07 01:00,210,6,9999,NIL,NIL,3,25,22,1016,83,NIL,,,NIL,,,,
"['02:00', '11/07']",11/07 02:00,210,6,9999,NIL,NIL,3,24,22,1016,89,NIL,,,NIL,,,,
"['03:00', '11/07']",11/07 03:00,210,7,9999,NIL,NIL,2,24,21,1015,83,210,,,NIL,,,,
"['04:00', '11/07']",11/07 04:00,200,8,9999,NIL,NIL,2,24,21,1015,83,NIL,,,NIL,,,,
"['05:00', '11/07']",11/07 05:00,200,7,9999,NIL,NIL,2,23,21,1014,89,NIL,,,NIL,,,,
"['06:00', '11/07']",11/07 06:00,200,8,9999,NIL,NIL,2,23,21,1014,89,NIL,,,NIL,,,,
"['07:00', '11/07']",11/07 07:00,210,6,9999,NIL,NIL,NIL,23,21,1014,89,NIL,,,NIL,,,,
"['08:00', '11/07']",11/07 08:00,210,9,9999,NIL,NIL,NIL,23,21,1015,89,NIL,,,NIL,,,,
"['09:00', '11/07']",11/07 09:00,210,7,9999,NIL,NIL,3,23,21,1014,89,NIL,,,NIL,,,,
"['10:00', '11/07']",11/07 10:00,210,8,9999,NIL,NIL,3,24,21,1015,83,NIL,,,NIL,,,,
"['11:00', '11/07']",11/07 11:00,200,10,9999,NIL,NIL,3,25,21,1015,79,NIL,,,NIL,,,,
"['12:00', '11/07']",11/07 12:00,190,13,9999,NIL,NIL,3,27,21,1016,70,NIL,,,NIL,,,,
"['13:00', '11/07']",11/07 13:00,190,12,9999,NIL,NIL,3,28,22,1016,70,NIL,,,NIL,,,,
