validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['23:00', '13/07']",13/07 23:00,100,1,9999,,,,,21,13,1021,60,,,,,,,,
"['00:00', '14/07']",14/07 00:00,300,2,9999,,,,,19,13,1021,68,,,,,,,,
"['01:00', '14/07']",14/07 01:00,210,1,9999,,,,NIL,18,13,1022,73,,,,,,,,
"['02:00', '14/07']",14/07 02:00,230,2,9999,,,,NIL,18,13,1022,73,,,,,,,,
"['03:00', '14/07']",14/07 03:00,210,2,9999,,,,NIL,17,13,1022,77,,,,,,,,
"['04:00', '14/07']",14/07 04:00,210,1,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['05:00', '14/07']",14/07 05:00,210,2,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['06:00', '14/07']",14/07 06:00,200,2,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['07:00', '14/07']",14/07 07:00,140,1,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['08:00', '14/07']",14/07 08:00,140,1,9999,,,,NIL,15,13,1021,88,,,,,,,,
"['09:00', '14/07']",14/07 09:00,220,2,9999,,,,NIL,12,12,1021,100,,,,,,,,
"['10:00', '14/07']",14/07 10:00,170,1,9999,,,,NIL,14,13,1021,94,,,,,,,,
"['11:00', '14/07']",14/07 11:00,130,2,9999,,,,NIL,15,13,1022,88,,,,,,,,
"['12:00', '14/07']",14/07 12:00,70,4,9999,,,,NIL,19,13,1023,68,,,,,,,,
"['13:00', '14/07']",14/07 13:00,120,2,9999,,,,NIL,21,13,1023,60,,,,,,,,
"['14:00', '14/07']",14/07 14:00,340,4,9999,,,,NIL,24,12,1023,47,,,,,,,,
"['15:00', '14/07']",14/07 15:00,290,3,9999,,,,NIL,25,13,1022,47,,,,,,,,
"['16:00', '14/07']",14/07 16:00,10,4,9999,,,,NIL,26,13,1021,45,,,,,,,,
"['17:00', '14/07']",14/07 17:00,300,5,9999,,,,NIL,27,12,1020,39,,,,,,,,
"['18:00', '14/07']",14/07 18:00,220,4,9999,,,,2,28,12,1019,37,,,,,,,,
"['19:00', '14/07']",14/07 19:00,260,5,9999,,,,2,28,12,1019,37,,,,,,,,
"['20:00', '14/07']",14/07 20:00,360,7,9999,,,,NIL,26,12,1019,42,,,,,,,,
"['21:00', '14/07']",14/07 21:00,360,6,9999,,,,NIL,24,12,1020,47,,,,,,,,
"['22:00', '14/07']",14/07 22:00,350,6,9999,,,,NIL,23,12,1020,50,,,,,,,,
"['23:00', '14/07']",14/07 23:00,290,2,9999,,,,NIL,22,12,1021,53,,,,,,,,
"['00:00', '15/07']",15/07 00:00,90,2,9999,,,,NIL,21,13,1021,60,,,,,,,,
"['01:00', '15/07']",15/07 01:00,0,0,9999,,,NIL,NIL,19,13,1021,68,,,,,,,,
"['02:00', '15/07']",15/07 02:00,160,2,9999,,,NIL,NIL,18,13,1021,73,,,,,,,,
"['03:00', '15/07']",15/07 03:00,0,0,9999,,,NIL,NIL,18,13,1021,73,,,,,,,,
"['04:00', '15/07']",15/07 04:00,150,1,9999,,,NIL,NIL,18,13,1021,73,,,,,,,,
