validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['13:00', '26/08']",26/08 13:00,20,6,,9999,,NIL,31,23,1011,63,,,,,,,,,
"['14:00', '26/08']",26/08 14:00,10,6,,9999,,NIL,32,22,1012,56,,,,,,,,,
"['15:00', '26/08']",26/08 15:00,20,7,,9999,,2,33,22,1011,53,,,,,,,,,
"['16:00', '26/08']",26/08 16:00,330,7,,9999,,3,34,22,1010,50,,,,,,,,,
"['17:00', '26/08']",26/08 17:00,40,8,,9999,,3,35,22,1009,47,,,,,,,,,
"['18:00', '26/08']",26/08 18:00,360,6,,9999,,3,35,22,1008,47,,,,,,,,,
"['19:00', '26/08']",26/08 19:00,350,5,,9999,,3,35,21,1007,44,,,,,,,,,
"['20:00', '26/08']",26/08 20:00,150,3,,9999,,2,32,24,1006,63,,,,,,,,,
"['21:00', '26/08']",26/08 21:00,40,8,,9999,,2,33,23,1006,56,,,,,,,,,
"['22:00', '26/08']",26/08 22:00,300,3,,9999,,2,29,24,1007,74,,,,,,,,,
"['23:00', '26/08']",26/08 23:00,310,4,,9999,,2,27,23,1007,79,,,,,,,,,
"['00:00', '27/08']",27/08 00:00,0,0,,9999,,NIL,27,24,1008,84,,,,,,,,,
"['01:00', '27/08']",27/08 01:00,0,0,NIL,9999,,NIL,27,24,1009,84,,,,,,,,,
"['02:00', '27/08']",27/08 02:00,310,2,NIL,9999,,NIL,26,24,1010,89,,,,,,,,,
"['03:00', '27/08']",27/08 03:00,0,0,NIL,9999,,NIL,26,24,1010,89,,,,,,,,,
"['04:00', '27/08']",27/08 04:00,0,0,NIL,9999,,NIL,26,24,1010,89,,,,,,,,,
"['05:00', '27/08']",27/08 05:00,70,3,NIL,9999,,3,28,24,1009,79,,,,,,,,,
"['06:00', '27/08']",27/08 06:00,0,0,NIL,9999,,NIL,26,24,1009,89,,,,,,,,,
"['07:00', '27/08']",27/08 07:00,330,1,NIL,9999,,NIL,26,24,1009,89,,,,,,,,,
"['08:00', '27/08']",27/08 08:00,40,2,NIL,9999,,NIL,27,24,1008,84,,,,,,,,,
"['09:00', '27/08']",27/08 09:00,360,1,NIL,9999,,NIL,26,24,1009,89,,,,,,,,,
"['10:00', '27/08']",27/08 10:00,60,2,NIL,9999,,NIL,26,23,1010,84,,,,,,,,,
"['11:00', '27/08']",27/08 11:00,20,4,NIL,9999,,NIL,27,24,1010,84,,,,,,,,,
"['12:00', '27/08']",27/08 12:00,20,6,NIL,9999,,NIL,29,24,1011,74,,,,,,,,,
"['13:00', '27/08']",27/08 13:00,20,7,NIL,9999,,NIL,31,24,1011,66,,,,,,,,,
"['14:00', '27/08']",27/08 14:00,10,8,NIL,9999,,NIL,32,23,1011,59,,,,,,,,,
"['15:00', '27/08']",27/08 15:00,30,6,NIL,9999,,2,33,23,1011,56,,,,,,,,,
"['16:00', '27/08']",27/08 16:00,350,6,NIL,9999,,3,34,22,1010,50,,,,,,,,,
"['17:00', '27/08']",27/08 17:00,20,4,NIL,9999,,3,35,22,1009,47,,,,,,,,,
"['18:00', '27/08']",27/08 18:00,80,8,NIL,9999,,3,35,21,1008,44,,,,,,,,,
"['19:00', '27/08']",27/08 19:00,90,5,NIL,9999,,3,35,21,1006,44,,,,,,,,,
"['20:00', '27/08']",27/08 20:00,90,8,80,9999,,2,35,22,1006,47,,,,,,,,,
"['21:00', '27/08']",27/08 21:00,80,8,NIL,9999,,2,34,23,1006,53,,,,,,,,,
"['22:00', '27/08']",27/08 22:00,70,6,NIL,9999,,3,33,23,1007,56,,,,,,,,,
"['23:00', '27/08']",27/08 23:00,0,0,NIL,9999,,3,29,24,1008,74,,,,,,,,,
"['00:00', '28/08']",28/08 00:00,60,2,NIL,9999,,NIL,30,24,1008,70,,,,,,,,,
"['01:00', '28/08']",28/08 01:00,90,10,NIL,9999,8000,5,31,23,1010,63,,,,,,,NIL,,
"['02:00', '28/08']",28/08 02:00,100,7,NIL,9999,8000,5,29,23,1010,70,,,,,,,NIL,,
"['03:00', '28/08']",28/08 03:00,130,3,NIL,9999,NIL,NIL,29,23,1011,70,,,,,,,NIL,,
