validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,chuva,teto,trovoada,nevoa_umida,vnt_vrb,pancada,nevoa_seca,chuvisco,vnt_rajada,nevoeiro
"['06:00', '15/02']",15/02 06:00,170,2,9999,5,23,21,1013,89,,,,10000,,,NIL,,,,,
"['07:00', '15/02']",15/02 07:00,330,3,9999,NIL,22,21,1013,94,,,,NIL,,,NIL,,,,,
"['08:00', '15/02']",15/02 08:00,290,2,9999,NIL,22,21,1013,94,,,,NIL,,,NIL,,,,,
"['09:00', '15/02']",15/02 09:00,30,2,9999,NIL,22,21,1013,94,,,,NIL,,,NIL,,,,,
"['10:00', '15/02']",15/02 10:00,20,3,9999,NIL,23,21,1013,89,,,,NIL,,,NIL,,,,,
"['11:00', '15/02']",15/02 11:00,VRB,4,9999,3,25,22,1013,83,,,,NIL,,,NIL,,,,,
"['12:00', '15/02']",15/02 12:00,340,3,9999,2,26,22,1013,79,,,,NIL,,,160,,,,,
"['13:00', '15/02']",15/02 13:00,VRB,6,9999,2,28,23,1013,74,,,,NIL,,,NIL,,,,,
"['14:00', '15/02']",15/02 14:00,70,5,9999,2,29,22,1012,66,,,,NIL,,,100,,,,,
"['15:00', '15/02']",15/02 15:00,130,8,9999,2,30,23,1011,66,,,,NIL,,,130,,,,,
"['16:00', '15/02']",15/02 16:00,110,12,9999,2,30,23,1011,66,,,,NIL,,,NIL,,,,,
"['17:00', '15/02']",15/02 17:00,130,15,9999,2,29,22,1010,66,,,,NIL,,,NIL,,,,,
"['18:00', '15/02']",15/02 18:00,140,14,9999,2,30,22,1010,62,,,,NIL,,,NIL,,,,,
"['19:00', '15/02']",15/02 19:00,130,14,9999,2,30,22,1010,62,,,,NIL,,,NIL,,,,,
"['20:00', '15/02']",15/02 20:00,150,14,9999,3,29,21,1010,62,,,,NIL,,,NIL,,,,,
"['21:00', '15/02']",15/02 21:00,140,12,9999,3,28,22,1010,70,,,,NIL,,,NIL,,,,,
"['22:00', '15/02']",15/02 22:00,150,10,9999,3,28,23,1011,74,,,,NIL,,,NIL,,,,,
"['23:00', '15/02']",15/02 23:00,120,5,9999,3,28,22,1012,70,,,,NIL,,,NIL,,,,,
"['00:00', '16/02']",16/02 00:00,70,2,9999,3,27,23,1012,79,,,,NIL,,,NIL,,,,,
"['01:00', '16/02']",16/02 01:00,250,8,9999,3,28,23,1012,74,,,NIL,NIL,NIL,NIL,NIL,,,,,
