validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['02:00', '30/11']",30/11 02:00,100,6,NIL,9999,NIL,NIL,NIL,2,24,18,1017,69,NIL,NIL,NIL,,,,,,
"['03:00', '30/11']",30/11 03:00,120,6,NIL,9999,NIL,NIL,NIL,2,23,18,1016,73,NIL,NIL,NIL,,,,,,
"['04:00', '30/11']",30/11 04:00,120,6,NIL,9999,NIL,NIL,NIL,NIL,23,18,1016,73,NIL,NIL,NIL,,,,,,
"['05:00', '30/11']",30/11 05:00,120,5,NIL,9999,NIL,NIL,NIL,3,22,18,1015,78,NIL,NIL,NIL,,,,,,
"['06:00', '30/11']",30/11 06:00,210,8,NIL,9999,NIL,NIL,NIL,2,24,17,1015,65,NIL,NIL,NIL,,,,,,
"['07:00', '30/11']",30/11 07:00,120,8,NIL,9999,NIL,NIL,NIL,2,23,18,1014,73,NIL,NIL,NIL,,,,,,
"['08:00', '30/11']",30/11 08:00,130,9,NIL,9999,NIL,NIL,NIL,2,22,18,1015,78,NIL,NIL,NIL,,,,,,
"['09:00', '30/11']",30/11 09:00,110,5,NIL,9999,NIL,NIL,NIL,2,22,18,1016,78,NIL,NIL,NIL,,,,,,
"['10:00', '30/11']",30/11 10:00,90,5,NIL,9999,NIL,NIL,NIL,2,24,18,1016,69,NIL,NIL,NIL,,,,,,
"['11:00', '30/11']",30/11 11:00,40,5,60,9999,NIL,NIL,NIL,NIL,27,18,1017,58,NIL,NIL,NIL,,,,,,
"['12:00', '30/11']",30/11 12:00,10,9,NIL,9999,NIL,NIL,NIL,NIL,29,16,1017,45,NIL,NIL,NIL,,,,,,
"['13:00', '30/11']",30/11 13:00,340,10,NIL,9999,NIL,NIL,NIL,NIL,30,16,1017,43,NIL,NIL,NIL,,,,,,
"['14:00', '30/11']",30/11 14:00,340,9,NIL,9999,NIL,NIL,NIL,2,32,17,1017,41,NIL,NIL,NIL,,,,,,
