validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,pancada,vnt_rajada,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco
"['22:00', '10/04']",10/04 22:00,30,3,9999,NIL,3,29,25,1008,79,,NIL,,,,,,NIL,,
"['23:00', '10/04']",10/04 23:00,310,5,9999,NIL,3,28,25,1010,84,,NIL,,,,,,NIL,,
"['00:00', '11/04']",11/04 00:00,340,5,9999,NIL,3,27,25,1011,89,,1,,,,,,NIL,,
"['01:00', '11/04']",11/04 01:00,330,3,9999,NIL,3,26,25,1012,94,,1,NIL,,NIL,NIL,NIL,,,
"['02:00', '11/04']",11/04 02:00,330,3,9999,NIL,3,26,25,1012,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['03:00', '11/04']",11/04 03:00,320,4,9999,NIL,3,25,24,1012,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['04:00', '11/04']",11/04 04:00,360,4,9999,NIL,3,25,24,1012,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['05:00', '11/04']",11/04 05:00,340,3,9999,10000,5,25,24,1011,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['06:00', '11/04']",11/04 06:00,0,0,9999,NIL,2,25,24,1011,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['07:00', '11/04']",11/04 07:00,0,0,9999,NIL,2,25,24,1010,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['08:00', '11/04']",11/04 08:00,0,0,9999,NIL,2,25,23,1010,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['09:00', '11/04']",11/04 09:00,0,0,9999,NIL,3,25,24,1011,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['10:00', '11/04']",11/04 10:00,0,0,9999,10000,5,24,24,1012,100,,NIL,NIL,,NIL,NIL,NIL,,,
"['11:00', '11/04']",11/04 11:00,0,0,9999,10000,5,25,24,1013,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['12:00', '11/04']",11/04 12:00,310,2,9999,10000,5,26,24,1013,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['13:00', '11/04']",11/04 13:00,350,5,9999,10000,5,27,24,1015,84,,NIL,NIL,,NIL,NIL,NIL,,,
"['14:00', '11/04']",11/04 14:00,310,4,9999,1000,5,27,25,1015,89,,1,NIL,,NIL,1000,225,,,
"['14:45', '11/04']",11/04 14:45,20,10,1500,700,5,24,23,1015,94,,1,NIL,,24,NIL,NIL,,,
"['15:00', '11/04']",11/04 15:00,30,14,1500,600,5,23,23,1015,100,,1,NIL,,25,NIL,NIL,,,
"['15:10', '11/04']",11/04 15:10,40,10,1500,600,5,23,23,1015,100,,1,1,,NIL,NIL,NIL,,,
"['16:00', '11/04']",11/04 16:00,10,7,3000,600,5,23,23,1014,100,,1,1,,NIL,NIL,NIL,,,
"['17:00', '11/04']",11/04 17:00,360,6,9999,1500,8,24,23,1013,94,,1,NIL,,NIL,NIL,NIL,,,
"['17:25', '11/04']",11/04 17:25,10,4,9999,400,5,24,24,1013,100,,1,NIL,,NIL,NIL,NIL,,,
"['18:00', '11/04']",11/04 18:00,40,3,9999,500,5,24,24,1013,100,,1,NIL,,NIL,NIL,NIL,,,
"['19:00', '11/04']",11/04 19:00,20,4,9999,1700,5,25,24,1011,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['19:08', '11/04']",11/04 19:08,20,4,9999,800,5,26,24,1011,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['20:00', '11/04']",11/04 20:00,30,5,9999,1000,5,26,24,1010,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['21:00', '11/04']",11/04 21:00,70,4,9999,10000,5,26,24,1010,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['22:00', '11/04']",11/04 22:00,40,5,9999,10000,5,25,23,1010,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['23:00', '11/04']",11/04 23:00,360,3,9999,10000,5,25,23,1011,89,,NIL,NIL,,NIL,NIL,NIL,,,
"['00:00', '12/04']",12/04 00:00,300,2,9999,NIL,NIL,24,23,1012,94,,NIL,NIL,,NIL,NIL,NIL,,,
"['01:00', '12/04']",12/04 01:00,330,2,9999,NIL,NIL,24,23,1012,94,NIL,,NIL,,NIL,,,,,
"['02:00', '12/04']",12/04 02:00,0,0,9999,NIL,2,24,23,1013,94,NIL,,NIL,,NIL,,,,,
"['03:00', '12/04']",12/04 03:00,360,2,9999,NIL,2,24,23,1013,94,NIL,,NIL,,NIL,,,,,
"['04:00', '12/04']",12/04 04:00,150,2,9999,NIL,2,24,23,1013,94,NIL,,NIL,,NIL,,,,,
"['05:00', '12/04']",12/04 05:00,20,2,9999,NIL,2,24,23,1012,94,NIL,,NIL,,NIL,,,,,
"['06:00', '12/04']",12/04 06:00,0,0,9999,NIL,2,24,23,1012,94,NIL,,NIL,,NIL,,,,,
"['07:00', '12/04']",12/04 07:00,330,1,9999,NIL,2,23,23,1012,100,NIL,,NIL,,NIL,,,,,
"['08:00', '12/04']",12/04 08:00,270,1,9999,NIL,3,23,23,1012,100,NIL,,NIL,,NIL,,,,,
"['09:00', '12/04']",12/04 09:00,0,0,9999,NIL,3,23,23,1013,100,NIL,,NIL,,NIL,,,,,
"['10:00', '12/04']",12/04 10:00,0,0,9999,10000,5,23,23,1013,100,NIL,,NIL,,NIL,,,,,
"['11:00', '12/04']",12/04 11:00,0,0,9999,10000,5,24,23,1014,94,NIL,,NIL,,NIL,,,,,
"['12:00', '12/04']",12/04 12:00,140,3,9999,10000,5,26,24,1015,89,NIL,,NIL,,NIL,,,,,
"['13:00', '12/04']",12/04 13:00,150,2,9999,10000,5,27,24,1015,84,NIL,,NIL,,NIL,,,,,
"['14:00', '12/04']",12/04 14:00,180,6,9999,NIL,3,28,24,1015,79,NIL,,NIL,,NIL,,,,,
"['15:00', '12/04']",12/04 15:00,180,5,9999,NIL,3,29,24,1015,74,NIL,,NIL,,NIL,,,,,
"['16:00', '12/04']",12/04 16:00,220,5,9999,NIL,3,30,24,1014,70,NIL,,NIL,,NIL,,,,,
"['17:00', '12/04']",12/04 17:00,190,5,9999,NIL,3,31,24,1012,66,NIL,,NIL,,NIL,,,,,
"['18:00', '12/04']",12/04 18:00,160,5,9999,NIL,3,31,24,1011,66,NIL,,NIL,,NIL,,,,,
"['19:00', '12/04']",12/04 19:00,130,3,9999,NIL,3,32,24,1010,63,NIL,,NIL,,NIL,,,,,
"['20:00', '12/04']",12/04 20:00,90,4,9999,NIL,2,32,22,1010,56,NIL,,NIL,,NIL,,,,,
"['21:00', '12/04']",12/04 21:00,360,15,9999,NIL,3,27,23,1011,79,180,,1,,27,,,,,
"['22:00', '12/04']",12/04 22:00,320,7,9999,NIL,3,24,23,1012,94,NIL,,1,,NIL,,,,,
"['23:00', '12/04']",12/04 23:00,340,4,9999,10000,5,24,23,1013,94,NIL,,NIL,,NIL,,,,,
"['00:00', '13/04']",13/04 00:00,360,4,9999,10000,5,25,23,1013,89,NIL,,NIL,,NIL,,,,,
"['01:00', '13/04']",13/04 01:00,330,4,9999,NIL,NIL,25,23,1014,89,,NIL,NIL,,,NIL,NIL,,,
"['02:00', '13/04']",13/04 02:00,330,3,9999,NIL,NIL,24,23,1014,94,,NIL,NIL,,,NIL,NIL,,,
"['03:00', '13/04']",13/04 03:00,310,3,9999,NIL,NIL,24,23,1014,94,,NIL,NIL,,,NIL,NIL,,,
"['04:00', '13/04']",13/04 04:00,300,3,9999,NIL,NIL,24,23,1014,94,,NIL,NIL,,,NIL,NIL,,,
"['05:00', '13/04']",13/04 05:00,320,3,9999,NIL,3,24,23,1013,94,,NIL,NIL,,,NIL,NIL,,,
"['06:00', '13/04']",13/04 06:00,300,2,9999,300,5,24,23,1013,94,,NIL,NIL,,,NIL,NIL,,,
"['06:13', '13/04']",13/04 06:13,290,3,9999,10000,5,24,23,1012,94,,NIL,NIL,,,NIL,NIL,,,
"['07:00', '13/04']",13/04 07:00,340,2,9999,10000,5,24,23,1012,94,,NIL,NIL,,,NIL,NIL,,,
"['08:00', '13/04']",13/04 08:00,0,0,9999,10000,5,24,23,1012,94,,NIL,NIL,,,NIL,NIL,,,
"['09:00', '13/04']",13/04 09:00,0,0,9999,10000,5,24,23,1012,94,,NIL,NIL,,,NIL,NIL,,,
"['10:00', '13/04']",13/04 10:00,310,1,9999,10000,5,24,23,1013,94,,NIL,NIL,,,NIL,NIL,,,
"['11:00', '13/04']",13/04 11:00,0,0,9999,10000,5,24,24,1014,100,,NIL,NIL,,,NIL,NIL,,,
"['12:00', '13/04']",13/04 12:00,300,3,9999,8000,5,26,24,1014,89,,NIL,NIL,,,NIL,NIL,,,
"['13:00', '13/04']",13/04 13:00,350,5,9999,NIL,NIL,28,23,1015,74,,NIL,NIL,,,NIL,NIL,,,
"['14:00', '13/04']",13/04 14:00,340,6,9999,10000,5,29,24,1015,74,,NIL,NIL,,,NIL,NIL,,,
"['15:00', '13/04']",13/04 15:00,290,3,9999,10000,5,28,24,1015,79,,NIL,NIL,,,NIL,NIL,,,
"['16:00', '13/04']",13/04 16:00,280,4,9999,10000,5,30,24,1013,70,,NIL,NIL,,,NIL,NIL,,,
"['17:00', '13/04']",13/04 17:00,270,4,8000,10000,5,25,24,1012,94,,1,NIL,,,NIL,NIL,,,
"['17:12', '13/04']",13/04 17:12,90,6,2000,2000,5,26,24,1012,89,,1,NIL,,,NIL,NIL,,,
"['18:00', '13/04']",13/04 18:00,330,6,4000,1200,5,25,24,1012,94,,1,1,,,800,270,,,
"['18:13', '13/04']",13/04 18:13,20,7,1000,1200,5,24,24,1011,100,,1,1,,,NIL,NIL,,,
"['18:41', '13/04']",13/04 18:41,340,7,3000,800,5,24,24,1011,100,,1,1,,,NIL,NIL,,,
"['19:00', '13/04']",13/04 19:00,310,5,5000,800,5,24,24,1011,100,,1,1,,,NIL,NIL,,,
"['19:36', '13/04']",13/04 19:36,320,6,9999,10000,5,24,24,1011,100,,1,1,,,NIL,NIL,,,
"['20:00', '13/04']",13/04 20:00,330,5,9999,10000,5,24,24,1011,100,,NIL,NIL,,,NIL,NIL,,,
"['21:00', '13/04']",13/04 21:00,340,6,9999,8000,5,25,23,1011,89,,NIL,NIL,,,NIL,NIL,,,
"['22:00', '13/04']",13/04 22:00,350,7,9999,8000,5,25,24,1011,94,,NIL,NIL,,,NIL,NIL,,,
"['23:00', '13/04']",13/04 23:00,350,6,9999,9000,5,25,23,1012,89,,NIL,NIL,,,NIL,NIL,,,
"['00:00', '14/04']",14/04 00:00,350,3,9999,9000,5,25,23,1013,89,,NIL,NIL,,,NIL,NIL,,,
"['01:00', '14/04']",14/04 01:00,360,4,9999,NIL,3,24,23,1013,94,,NIL,,,,,,,,
"['02:00', '14/04']",14/04 02:00,30,3,9999,9000,5,24,23,1014,94,,NIL,,,,,,,,
"['03:00', '14/04']",14/04 03:00,30,2,9999,10000,5,24,23,1014,94,,NIL,,,,,,,,
"['04:00', '14/04']",14/04 04:00,60,2,9999,10000,5,24,23,1013,94,,NIL,,,,,,,,
"['05:00', '14/04']",14/04 05:00,140,3,9999,2000,5,24,23,1013,94,,1,,,,,,,,
