validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,trovoada,nevoa_umida,fumaca,vnt_rajada,vnt_vrb,chuvisco,pancada,nevoeiro
"['23:00', '28/07']",28/07 23:00,30,5,9999,,,,NIL,3,28,24,1012,79,,,,,,,,
"['00:00', '29/07']",29/07 00:00,50,8,9999,,,,NIL,NIL,28,24,1013,79,,,,,,,,
"['01:00', '29/07']",29/07 01:00,50,8,9999,,,,,NIL,27,24,1014,84,,,,,,,,
"['02:00', '29/07']",29/07 02:00,70,9,9999,,,,,NIL,26,23,1015,84,,,,,,,,
"['03:00', '29/07']",29/07 03:00,70,9,9999,,,,,NIL,26,23,1015,84,,,,,,,,
"['04:00', '29/07']",29/07 04:00,70,8,9999,,,,,NIL,26,23,1014,84,,,,,,,,
"['05:00', '29/07']",29/07 05:00,70,8,9999,,,,,NIL,25,23,1014,89,,,,,,,,
"['06:00', '29/07']",29/07 06:00,60,7,9999,,,,,NIL,25,23,1014,89,,,,,,,,
"['07:00', '29/07']",29/07 07:00,70,9,9999,,,,,NIL,25,23,1014,89,,,,,,,,
"['08:00', '29/07']",29/07 08:00,70,7,9999,,,,,NIL,25,23,1014,89,,,,,,,,
"['09:00', '29/07']",29/07 09:00,120,3,9999,,,,,NIL,24,23,1013,94,,,,,,,,
"['10:00', '29/07']",29/07 10:00,110,4,9999,,,,,NIL,25,23,1014,89,,,,,,,,
"['11:00', '29/07']",29/07 11:00,110,4,9999,,,,,NIL,26,23,1014,84,,,,,,,,
"['12:00', '29/07']",29/07 12:00,100,8,9999,,,,,NIL,28,22,1014,70,,,,,,,,
"['13:00', '29/07']",29/07 13:00,90,5,9999,,,,,NIL,30,22,1014,62,,,,,,,,
"['14:00', '29/07']",29/07 14:00,140,5,9999,,,,,NIL,31,21,1014,55,,,,,,,,
"['15:00', '29/07']",29/07 15:00,250,6,9999,,,,,2,31,22,1013,59,,,,,,,,
"['16:00', '29/07']",29/07 16:00,240,4,9999,,,,,3,31,22,1013,59,,,,,,,,
"['17:00', '29/07']",29/07 17:00,320,5,9999,,,,,3,31,22,1012,59,,,,,,,,
"['18:00', '29/07']",29/07 18:00,320,5,9999,,,,,3,31,23,1011,63,,,,,,,,
"['19:00', '29/07']",29/07 19:00,350,6,9999,,,,,2,31,23,1010,63,,,,,,,,
"['20:00', '29/07']",29/07 20:00,350,8,9999,,,,,2,30,23,1011,66,,,,,,,,
"['21:00', '29/07']",29/07 21:00,10,6,9999,,,,,NIL,31,23,1011,63,,,,,,,,
"['22:00', '29/07']",29/07 22:00,20,5,9999,,,,,NIL,29,23,1012,70,,,,,,,,
"['23:00', '29/07']",29/07 23:00,40,6,9999,,,,,NIL,28,24,1012,79,,,,,,,,
"['00:00', '30/07']",30/07 00:00,50,6,9999,,,,,NIL,28,24,1013,79,,,,,,,,
"['01:00', '30/07']",30/07 01:00,60,7,9999,,,,NIL,NIL,27,24,1014,84,,,,,NIL,,,
"['02:00', '30/07']",30/07 02:00,70,6,9999,,,,NIL,NIL,26,24,1013,89,,,,,NIL,,,
"['03:00', '30/07']",30/07 03:00,70,6,9999,,,,NIL,NIL,26,24,1013,89,,,,,NIL,,,
"['04:00', '30/07']",30/07 04:00,70,5,9999,,,,NIL,NIL,26,24,1012,89,,,,,NIL,,,
"['05:00', '30/07']",30/07 05:00,70,5,9999,,,,NIL,NIL,25,24,1012,94,,,,,NIL,,,
"['06:00', '30/07']",30/07 06:00,80,4,9999,,,,NIL,NIL,25,23,1012,89,,,,,NIL,,,
"['07:00', '30/07']",30/07 07:00,90,6,9999,,,,NIL,NIL,25,23,1012,89,,,,,NIL,,,
"['08:00', '30/07']",30/07 08:00,90,4,9999,,,,NIL,NIL,25,23,1012,89,,,,,NIL,,,
"['09:00', '30/07']",30/07 09:00,90,5,9999,,,,NIL,NIL,25,23,1012,89,,,,,NIL,,,
"['10:00', '30/07']",30/07 10:00,110,3,9999,,,,NIL,NIL,25,24,1013,94,,,,,NIL,,,
"['11:00', '30/07']",30/07 11:00,90,3,9999,,,,NIL,NIL,27,24,1013,84,,,,,100,,,
"['12:00', '30/07']",30/07 12:00,60,5,9999,,,,NIL,NIL,28,24,1013,79,,,,,NIL,,,
"['13:00', '30/07']",30/07 13:00,100,3,9999,,,,10000,5,30,24,1013,70,,,,,NIL,,,
"['14:00', '30/07']",30/07 14:00,200,5,9999,,,,NIL,NIL,30,24,1013,70,,,,,180,,,
"['15:00', '30/07']",30/07 15:00,280,6,9999,,,,NIL,NIL,31,24,1012,66,,,,,290,,,
"['16:00', '30/07']",30/07 16:00,250,6,9999,,,,10000,5,31,23,1011,63,,,,,NIL,,,
"['17:00', '30/07']",30/07 17:00,280,5,9999,,,,NIL,3,32,22,1010,56,,,,,NIL,,,
"['18:00', '30/07']",30/07 18:00,270,4,9999,,,,NIL,3,32,22,1009,56,,,,,265,,,
"['19:00', '30/07']",30/07 19:00,150,5,9999,,,,NIL,3,33,21,1009,49,,,,,NIL,,,
"['20:00', '30/07']",30/07 20:00,190,5,9999,,,,NIL,3,31,19,1009,49,,,,,185,,,
"['21:00', '30/07']",30/07 21:00,150,8,9999,,,,NIL,3,30,21,1010,59,,,,,NIL,,,
"['22:00', '30/07']",30/07 22:00,70,2,9999,,,,NIL,3,29,22,1011,66,,,,,NIL,,,
"['23:00', '30/07']",30/07 23:00,150,3,9999,,,,7600,5,29,22,1011,66,,,,,NIL,,,
"['00:00', '31/07']",31/07 00:00,70,10,9999,,,,NIL,3,28,22,1012,70,,,,,NIL,,,
"['01:00', '31/07']",31/07 01:00,60,8,9999,,,,,2,27,22,1013,74,,,,,,,,
"['02:00', '31/07']",31/07 02:00,60,6,9999,,,,,NIL,26,23,1013,84,,,,,,,,
"['03:00', '31/07']",31/07 03:00,70,7,9999,,,,,NIL,26,23,1013,84,,,,,,,,
"['04:00', '31/07']",31/07 04:00,70,7,9999,,,,,NIL,26,23,1013,84,,,,,,,,
"['05:00', '31/07']",31/07 05:00,70,7,9999,,,,,NIL,25,23,1012,89,,,,,,,,
"['06:00', '31/07']",31/07 06:00,70,7,9999,,,,,NIL,25,23,1011,89,,,,,,,,
"['07:00', '31/07']",31/07 07:00,30,3,9999,,,,,NIL,25,23,1011,89,,,,,,,,
"['08:00', '31/07']",31/07 08:00,0,0,9999,,,,,NIL,25,23,1011,89,,,,,,,,
"['09:00', '31/07']",31/07 09:00,0,0,9999,,,,,NIL,25,23,1012,89,,,,,,,,
"['10:00', '31/07']",31/07 10:00,0,0,9999,,,,,NIL,26,23,1012,84,,,,,,,,
"['11:00', '31/07']",31/07 11:00,130,3,9999,,,,,NIL,27,23,1013,79,,,,,,,,
"['12:00', '31/07']",31/07 12:00,100,5,9999,,,,,NIL,30,23,1013,66,,,,,,,,
"['13:00', '31/07']",31/07 13:00,130,2,9999,,,,,NIL,31,23,1013,63,,,,,,,,
"['14:00', '31/07']",31/07 14:00,180,5,9999,,,,,2,32,23,1012,59,,,,,,,,
"['15:00', '31/07']",31/07 15:00,150,7,9999,,,,,2,32,22,1012,56,,,,,,,,
"['16:00', '31/07']",31/07 16:00,130,8,9999,,,,,3,33,23,1011,56,,,,,,,,
"['17:00', '31/07']",31/07 17:00,130,8,9999,,,,,3,33,22,1011,53,,,,,,,,
"['18:00', '31/07']",31/07 18:00,150,14,9999,,,,,3,33,22,1010,53,,,,,,,,
"['19:00', '31/07']",31/07 19:00,130,11,9999,,,,,3,32,22,1010,56,,,,,,,,
"['20:00', '31/07']",31/07 20:00,150,9,9999,,,,,3,32,22,1010,56,,,,,,,,
"['21:00', '31/07']",31/07 21:00,130,6,9999,,,,,3,31,22,1011,59,,,,,,,,
"['22:00', '31/07']",31/07 22:00,120,4,9999,,,,,3,31,22,1011,59,,,,,,,,
"['23:00', '31/07']",31/07 23:00,50,8,9999,,,,,3,28,24,1013,79,,,,,,,,
"['00:00', '01/08']",01/08 00:00,60,10,9999,,,,,3,27,24,1013,84,,,,,,,,
"['01:00', '01/08']",01/08 01:00,80,10,9999,,,,,NIL,27,24,1014,84,,,,,,,,
