validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco,pancada,vnt_vrb,fumaca
"['13:00', '26/07']",26/07 13:00,60,7,,9999,,,,2,19,10,1025,56,,,,,,,,
"['14:00', '26/07']",26/07 14:00,40,7,,9999,,,,2,21,10,1024,49,,,,,,,,
"['15:00', '26/07']",26/07 15:00,350,5,,9999,,,,2,23,09,1023,41,,,,,,,,
"['16:00', '26/07']",26/07 16:00,20,5,,9999,,,,2,23,08,1022,38,,,,,,,,
"['17:00', '26/07']",26/07 17:00,50,5,,9999,,,,2,25,08,1021,34,,,,,,,,
"['18:00', '26/07']",26/07 18:00,60,6,,9999,,,,2,25,09,1020,36,,,,,,,,
"['19:00', '26/07']",26/07 19:00,30,7,,9999,,,,NIL,24,08,1020,36,,,,,,,,
"['20:00', '26/07']",26/07 20:00,40,7,,9999,,,,NIL,23,09,1020,41,,,,,,,,
"['21:00', '26/07']",26/07 21:00,40,8,,9999,,,,NIL,22,10,1020,46,,,,,,,,
"['22:00', '26/07']",26/07 22:00,50,7,,9999,,,,NIL,20,10,1021,53,,,,,,,,
"['23:00', '26/07']",26/07 23:00,40,8,,9999,,,,NIL,20,10,1021,53,,,,,,,,
"['00:00', '27/07']",27/07 00:00,30,5,,9999,,,,NIL,19,10,1021,56,,,,,,,,
"['01:00', '27/07']",27/07 01:00,70,3,,9999,,,,NIL,19,10,1022,56,,,,,,,NIL,
"['02:00', '27/07']",27/07 02:00,180,1,,9999,,,,NIL,17,10,1022,63,,,,,,,NIL,
"['03:00', '27/07']",27/07 03:00,170,1,,9999,,,,NIL,16,10,1021,68,,,,,,,NIL,
"['04:00', '27/07']",27/07 04:00,0,0,,9999,,,,NIL,16,10,1022,68,,,,,,,NIL,
"['05:00', '27/07']",27/07 05:00,80,3,,9999,,,,NIL,16,11,1021,72,,,,,,,NIL,
"['06:00', '27/07']",27/07 06:00,140,2,,9999,,,,NIL,14,10,1021,77,,,,,,,NIL,
"['07:00', '27/07']",27/07 07:00,140,1,,9999,,,,NIL,13,10,1021,82,,,,,,,NIL,
"['08:00', '27/07']",27/07 08:00,140,2,,9999,,,,NIL,13,10,1021,82,,,,,,,NIL,
"['09:00', '27/07']",27/07 09:00,110,3,,9999,,,,NIL,13,10,1021,82,,,,,,,NIL,
"['10:00', '27/07']",27/07 10:00,140,2,,9999,,,,NIL,12,10,1021,88,,,,,,,NIL,
"['11:00', '27/07']",27/07 11:00,170,3,,9999,,,,NIL,13,10,1021,82,,,,,,,NIL,
"['12:00', '27/07']",27/07 12:00,180,2,,9999,,,,NIL,16,12,1022,77,,,,,,,NIL,
"['13:00', '27/07']",27/07 13:00,340,8,,9999,,,,NIL,21,12,1022,56,,,,,,,NIL,
"['14:00', '27/07']",27/07 14:00,360,7,,9999,,,,NIL,24,11,1021,44,,,,,,,NIL,
"['15:00', '27/07']",27/07 15:00,310,7,,9999,,,,3,25,10,1020,39,,,,,,,NIL,
"['16:00', '27/07']",27/07 16:00,290,8,,9999,,,,NIL,25,08,1020,34,,,,,,,NIL,
"['17:00', '27/07']",27/07 17:00,330,8,,9999,,,,NIL,26,09,1018,34,,,,,,,115,
"['18:00', '27/07']",27/07 18:00,300,6,,9999,,,,NIL,27,08,1018,30,,,,,,,NIL,
"['19:00', '27/07']",27/07 19:00,280,5,,9999,,,,NIL,26,08,1017,32,,,,,,,NIL,
"['20:00', '27/07']",27/07 20:00,250,6,,9999,,,,NIL,25,08,1018,34,,,,,,,NIL,
"['21:00', '27/07']",27/07 21:00,310,5,,9999,,,,NIL,23,07,1018,36,,,,,,,NIL,
"['22:00', '27/07']",27/07 22:00,330,5,,9999,,,,NIL,23,06,1018,33,,,,,,,NIL,
"['23:00', '27/07']",27/07 23:00,330,5,,9999,,,,NIL,22,06,1018,35,,,,,,,NIL,
"['00:00', '28/07']",28/07 00:00,360,6,,9999,,,,NIL,21,06,1018,38,,,,,,,NIL,
"['01:00', '28/07']",28/07 01:00,340,2,,9999,,,,,18,07,1019,49,,,,,,,NIL,
"['02:00', '28/07']",28/07 02:00,160,3,,9999,,,,,17,08,1019,55,,,,,,,NIL,
"['03:00', '28/07']",28/07 03:00,0,0,,9999,,,,,16,08,1019,59,,,,,,,NIL,
"['04:00', '28/07']",28/07 04:00,320,3,,9999,,,,,15,08,1018,63,,,,,,,NIL,
"['05:00', '28/07']",28/07 05:00,140,3,,9999,,,,,14,08,1018,67,,,,,,,NIL,
"['06:00', '28/07']",28/07 06:00,120,3,,9999,,,,,13,08,1017,72,,,,,,,NIL,
"['07:00', '28/07']",28/07 07:00,90,2,,9999,,,,,13,08,1017,72,,,,,,,NIL,
"['08:00', '28/07']",28/07 08:00,160,2,,9999,,,,,12,08,1017,76,,,,,,,NIL,
"['09:00', '28/07']",28/07 09:00,160,2,,9999,,,,,11,08,1017,82,,,,,,,NIL,
"['10:00', '28/07']",28/07 10:00,120,1,,9999,,,,,12,08,1017,76,,,,,,,NIL,
