validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,nevoeiro,vis_setor,vis_setor_dir,nevoa_seca,chuvisco
"['02:00', '04/03']",04/03 02:00,VRB,2,NIL,9999,,,,NIL,26,23,1012,84,,,,,,,
"['08:50', '04/03']",04/03 08:50,340,4,NIL,9999,,,,NIL,25,23,1012,89,,,,,,,
"['09:00', '04/03']",04/03 09:00,340,4,NIL,9999,,,,NIL,25,23,1012,89,,,,,,,
"['10:00', '04/03']",04/03 10:00,360,3,NIL,9999,,,,3,26,24,1012,89,,,,,,,
"['11:00', '04/03']",04/03 11:00,340,3,150,9999,,,,2,27,23,1013,79,,,,,,,
"['12:00', '04/03']",04/03 12:00,10,5,NIL,9999,,,,2,28,24,1013,79,,,,,,,
"['13:00', '04/03']",04/03 13:00,360,4,NIL,9999,,,,NIL,30,23,1012,66,,,,,,,
"['14:00', '04/03']",04/03 14:00,20,4,NIL,9999,,,,NIL,32,22,1012,56,,,,,,,
"['15:00', '04/03']",04/03 15:00,360,5,NIL,9999,,,,2,34,22,1011,50,,,,,,,
"['16:00', '04/03']",04/03 16:00,110,4,NIL,9999,,,,2,33,22,1010,53,,,,,,,
"['17:00', '04/03']",04/03 17:00,140,5,NIL,9999,,,,2,33,23,1010,56,,,,,,,
"['18:00', '04/03']",04/03 18:00,170,5,NIL,9999,,,,2,34,23,1009,53,,,,,,,
"['19:00', '04/03']",04/03 19:00,190,10,NIL,9999,,,,2,33,21,1008,49,,,,,,,
"['20:00', '04/03']",04/03 20:00,190,9,NIL,9999,,,,2,32,21,1008,52,,,,,,,
"['21:00', '04/03']",04/03 21:00,180,10,NIL,9999,,,,2,31,21,1008,55,,,,,,,
"['22:00', '04/03']",04/03 22:00,180,7,NIL,9999,,,,NIL,30,21,1008,59,,,,,,,
"['23:00', '04/03']",04/03 23:00,170,5,NIL,9999,,,,NIL,28,22,1008,70,,,,,,,
"['00:00', '05/03']",05/03 00:00,VRB,2,NIL,9999,,,,NIL,29,21,1009,62,,,,,,,
"['01:00', '05/03']",05/03 01:00,190,2,NIL,9999,NIL,NIL,NIL,NIL,30,22,1009,62,,NIL,,,,,
"['02:00', '05/03']",05/03 02:00,350,4,NIL,9999,NIL,NIL,NIL,NIL,28,25,1009,84,,NIL,,,,,
"['08:50', '05/03']",05/03 08:50,110,3,NIL,9999,NIL,NIL,NIL,NIL,25,23,1007,89,,NIL,,,,,
"['09:00', '05/03']",05/03 09:00,110,1,NIL,9999,NIL,NIL,NIL,NIL,25,23,1007,89,,NIL,,,,,
"['10:00', '05/03']",05/03 10:00,30,6,NIL,9999,NIL,NIL,NIL,NIL,26,24,1007,89,,NIL,,,,,
"['11:00', '05/03']",05/03 11:00,360,5,NIL,9999,NIL,NIL,NIL,3,27,24,1008,84,,NIL,,,,,
"['12:00', '05/03']",05/03 12:00,340,6,330,9999,NIL,NIL,10000,5,28,23,1008,74,,NIL,,,,,
"['13:00', '05/03']",05/03 13:00,310,5,305,9999,NIL,NIL,10000,5,29,23,1007,70,,NIL,,,,,
"['14:00', '05/03']",05/03 14:00,350,6,NIL,9999,NIL,NIL,10000,5,31,23,1007,63,,NIL,,,,,
"['15:00', '05/03']",05/03 15:00,40,6,NIL,9999,NIL,NIL,NIL,3,33,24,1006,59,,NIL,,,,,
"['16:00', '05/03']",05/03 16:00,340,8,160,9999,NIL,NIL,NIL,3,35,21,1005,44,,NIL,,,,,
"['17:00', '05/03']",05/03 17:00,340,11,NIL,9999,NIL,NIL,NIL,3,36,21,1004,42,,NIL,,,,,
"['18:00', '05/03']",05/03 18:00,VRB,5,NIL,9999,NIL,NIL,10000,5,35,23,1003,50,,NIL,,,,,
"['19:00', '05/03']",05/03 19:00,160,11,NIL,9999,NIL,NIL,10000,5,29,22,1003,66,,NIL,,,,,
"['20:00', '05/03']",05/03 20:00,190,11,NIL,9999,NIL,NIL,10000,5,29,22,1003,66,,NIL,,,,,
"['20:20', '05/03']",05/03 20:20,300,16,NIL,9999,1,NIL,10000,5,30,22,1005,62,,NIL,,,,,
"['20:30', '05/03']",05/03 20:30,290,14,280,9999,1,1,10000,5,28,20,1005,62,,25,,,,,
"['21:00', '05/03']",05/03 21:00,310,6,305,9999,1,1,10000,5,27,21,1004,70,,NIL,,,,,
"['22:00', '05/03']",05/03 22:00,360,5,170,9999,NIL,NIL,10000,5,26,24,1004,89,,NIL,,,,,
"['23:00', '05/03']",05/03 23:00,350,11,NIL,9999,NIL,NIL,10000,5,27,24,1005,84,,NIL,,,,,
"['00:00', '06/03']",06/03 00:00,20,10,NIL,9999,NIL,NIL,10000,5,26,24,1006,89,,NIL,,,,,
"['01:00', '06/03']",06/03 01:00,20,5,,9999,NIL,,10000,5,27,24,1006,84,NIL,,,,,,
"['02:00', '06/03']",06/03 02:00,320,4,,9999,1,,10000,5,27,24,1007,84,NIL,,,,,,
"['08:50', '06/03']",06/03 08:50,20,5,,9999,NIL,,10000,5,27,25,1005,89,NIL,,,,,,
"['09:00', '06/03']",06/03 09:00,20,4,,9999,NIL,,10000,5,27,25,1005,89,NIL,,,,,,
"['10:00', '06/03']",06/03 10:00,300,6,,9999,NIL,,10000,5,29,21,1006,62,NIL,,,,,,
"['11:00', '06/03']",06/03 11:00,280,4,,9999,NIL,,10000,5,29,21,1007,62,NIL,,,,,,
"['12:00', '06/03']",06/03 12:00,300,6,,9999,NIL,,10000,5,30,21,1008,59,NIL,,,,,,
"['13:00', '06/03']",06/03 13:00,300,7,,9999,NIL,,10000,5,30,21,1008,59,NIL,,,,,,
"['14:00', '06/03']",06/03 14:00,310,6,,9999,NIL,,10000,5,31,21,1008,55,NIL,,,,,,
"['15:00', '06/03']",06/03 15:00,280,8,,9999,NIL,,NIL,3,33,22,1007,53,NIL,,,,,,
"['16:00', '06/03']",06/03 16:00,130,6,,9999,NIL,,10000,5,30,23,1007,66,NIL,,,,,,
"['17:00', '06/03']",06/03 17:00,130,7,,9999,NIL,,10000,5,30,22,1007,62,NIL,,,,,,
"['18:00', '06/03']",06/03 18:00,190,13,,9999,NIL,,10000,5,30,22,1006,62,NIL,,,,,,
"['19:00', '06/03']",06/03 19:00,190,17,,9999,NIL,,10000,5,29,22,1006,66,NIL,,,,,,
"['20:00', '06/03']",06/03 20:00,190,19,,9999,NIL,,4000,5,28,22,1007,70,NIL,,,,,,
"['21:00', '06/03']",06/03 21:00,190,14,,9999,NIL,,3000,5,27,23,1007,79,NIL,,,,,,
"['22:00', '06/03']",06/03 22:00,200,10,,9999,NIL,,4000,5,27,22,1009,74,NIL,,,,,,
"['23:00', '06/03']",06/03 23:00,190,9,,9000,1,,3500,8,26,23,1010,84,NIL,,,,,,
"['00:00', '07/03']",07/03 00:00,170,10,,9999,NIL,,3000,8,24,23,1010,94,NIL,,,,,,
"['00:40', '07/03']",07/03 00:40,230,10,,3000,1,,3000,8,23,23,1011,100,1,,,,,,
"['01:00', '07/03']",07/03 01:00,280,5,275,3000,1,1,700,8,23,23,1011,100,1,,,,,,
"['01:30', '07/03']",07/03 01:30,300,4,NIL,5000,1,1,4000,8,23,22,1011,94,1,,,,,,
"['02:00', '07/03']",07/03 02:00,20,2,NIL,5000,1,1,8000,8,22,22,1011,100,1,,,,,,
"['08:50', '07/03']",07/03 08:50,350,3,NIL,9999,NIL,NIL,10000,5,23,22,1009,94,NIL,,,,,,
"['09:00', '07/03']",07/03 09:00,340,4,NIL,9999,NIL,NIL,10000,5,23,22,1009,94,NIL,,,,,,
"['10:00', '07/03']",07/03 10:00,340,3,NIL,9999,NIL,NIL,10000,5,24,22,1010,89,NIL,,,,,,
"['11:00', '07/03']",07/03 11:00,30,4,NIL,9999,1,NIL,9000,5,24,23,1011,94,NIL,,,,,,
"['11:36', '07/03']",07/03 11:36,330,3,320,9999,1,NIL,1000,8,24,23,1012,94,NIL,,,,,,
"['12:00', '07/03']",07/03 12:00,360,4,NIL,9999,1,NIL,1000,8,24,23,1012,94,NIL,,,,,,
"['13:00', '07/03']",07/03 13:00,10,5,NIL,9000,1,NIL,1000,8,24,23,1012,94,NIL,,,,,,
"['14:00', '07/03']",07/03 14:00,30,7,NIL,8000,1,NIL,1000,8,24,23,1012,94,NIL,,,,,,
"['15:00', '07/03']",07/03 15:00,30,4,200,9000,1,NIL,1000,5,26,24,1012,89,NIL,,,,,,
