validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['01:00', '12/08']",12/08 01:00,90,4,NIL,9999,NIL,NIL,08,05,1028,81,,,,,,,,,,
"['02:00', '12/08']",12/08 02:00,90,1,NIL,9999,NIL,NIL,06,04,1028,87,,,,,,,,,,
"['03:00', '12/08']",12/08 03:00,60,3,60,9999,NIL,NIL,07,04,1028,81,,,,,,,,,,
"['04:00', '12/08']",12/08 04:00,90,2,NIL,9999,NIL,NIL,05,04,1028,93,,,,,,,,,,
"['05:00', '12/08']",12/08 05:00,70,5,NIL,9999,NIL,2,07,05,1028,87,,,,,,,,,,
"['06:00', '12/08']",12/08 06:00,70,3,NIL,9999,NIL,3,06,05,1028,93,,,,,,,,,,
"['07:00', '12/08']",12/08 07:00,0,0,NIL,9999,NIL,3,06,05,1027,93,,,,,,,,,,
"['08:00', '12/08']",12/08 08:00,60,3,NIL,9999,NIL,2,05,04,1027,93,,,,,,,,,,
"['09:00', '12/08']",12/08 09:00,VRB,2,NIL,9000,NIL,NIL,04,03,1027,93,,,,,,,,,,
"['10:00', '12/08']",12/08 10:00,290,1,NIL,9999,NIL,NIL,04,03,1028,93,,,,,,,,,,
"['11:00', '12/08']",12/08 11:00,300,2,NIL,9999,NIL,NIL,07,07,1028,100,,,,,,,,,,
"['12:00', '12/08']",12/08 12:00,VRB,2,NIL,9999,NIL,NIL,09,07,1029,87,,,,,,,,,,
"['13:00', '12/08']",12/08 13:00,300,4,315,9999,3500,5,10,07,1029,82,,,,,,,,,,
"['14:00', '12/08']",12/08 14:00,80,3,245,9999,2000,5,11,07,1029,76,,,,,,,,,,
"['15:00', '12/08']",12/08 15:00,90,4,90,9999,1900,5,13,08,1029,72,,,,,,,,,,
"['16:00', '12/08']",12/08 16:00,140,7,140,9999,3000,8,13,08,1028,72,,,,,,,,,,
"['17:00', '12/08']",12/08 17:00,110,6,NIL,9999,3000,5,14,08,1027,67,,,,,,,,,,
"['18:00', '12/08']",12/08 18:00,160,10,NIL,9999,3300,5,14,08,1027,67,,,,,,,,,,
"['19:00', '12/08']",12/08 19:00,160,9,NIL,9999,3000,5,14,08,1026,67,,,,,,,,,,
"['20:00', '12/08']",12/08 20:00,130,11,NIL,9999,3300,5,14,08,1027,67,,,,,,,,,,
"['21:00', '12/08']",12/08 21:00,150,9,155,9999,3500,5,13,09,1027,77,,,,,,,,,,
"['22:00', '12/08']",12/08 22:00,140,7,NIL,9999,2300,5,12,09,1027,82,,,,,,,,,,
"['23:00', '12/08']",12/08 23:00,120,6,NIL,9999,3300,5,12,09,1028,82,,,,,,,,,,
"['00:00', '13/08']",13/08 00:00,110,5,NIL,9999,5000,5,11,09,1028,87,,,,,,,,,,
"['01:00', '13/08']",13/08 01:00,100,3,NIL,9999,NIL,3,11,09,1028,87,NIL,,,,,,,,,
"['02:00', '13/08']",13/08 02:00,VRB,1,NIL,9999,NIL,3,09,09,1028,100,NIL,,,,,,,,,
"['03:00', '13/08']",13/08 03:00,VRB,2,NIL,9999,7000,5,09,09,1028,100,NIL,,,,,,,,,
"['04:00', '13/08']",13/08 04:00,340,3,320,9000,7000,5,09,09,1028,100,NIL,,,,,,,,,
"['05:00', '13/08']",13/08 05:00,160,2,NIL,9000,7000,5,10,09,1027,93,NIL,,,,,,,,,
"['06:00', '13/08']",13/08 06:00,VRB,1,NIL,9000,NIL,NIL,09,09,1027,100,NIL,,,,,,,,,
"['07:00', '13/08']",13/08 07:00,0,0,NIL,8000,NIL,NIL,09,09,1026,100,NIL,,,,,,,,,
"['08:00', '13/08']",13/08 08:00,VRB,1,NIL,9999,NIL,NIL,10,10,1026,100,NIL,,,,,,,,,
"['09:00', '13/08']",13/08 09:00,60,4,NIL,9000,NIL,NIL,10,10,1026,100,NIL,,,,,,,,,
"['10:00', '13/08']",13/08 10:00,70,4,NIL,9000,NIL,NIL,10,09,1026,93,NIL,,,,,,,,,
"['11:00', '13/08']",13/08 11:00,120,7,NIL,9999,9000,5,13,12,1026,94,NIL,,,,,,,,,
"['12:00', '13/08']",13/08 12:00,110,9,NIL,9999,7000,5,14,12,1026,88,NIL,,,,,,,,,
"['13:00', '13/08']",13/08 13:00,100,14,NIL,9999,7000,5,16,12,1027,77,NIL,,,,,,,,,
"['13:38', '13/08']",13/08 13:38,100,17,90,9999,9000,5,17,12,1027,72,27,,,,,,,,,
"['14:00', '13/08']",13/08 14:00,100,18,90,9999,8000,5,17,12,1027,72,28,,,,,,,,,
"['15:00', '13/08']",13/08 15:00,110,15,120,9999,3000,5,18,12,1026,68,26,,,,,,,,,
"['16:00', '13/08']",13/08 16:00,100,18,90,9999,3000,5,18,12,1025,68,31,,,,,,,,,
"['17:00', '13/08']",13/08 17:00,110,21,NIL,9999,3000,5,19,12,1024,64,NIL,,,,,,,,,
"['18:00', '13/08']",13/08 18:00,100,19,NIL,9999,NIL,3,19,13,1024,68,NIL,,,,,,,,,
"['19:00', '13/08']",13/08 19:00,110,20,NIL,9999,7000,5,18,12,1024,68,NIL,,,,,,,,,
"['20:00', '13/08']",13/08 20:00,100,21,NIL,9999,7000,5,17,12,1024,72,33,,,,,,,,,
"['21:00', '13/08']",13/08 21:00,100,18,NIL,9999,NIL,3,16,13,1024,82,NIL,,,,,,,,,
"['22:00', '13/08']",13/08 22:00,100,21,NIL,9000,8000,5,15,13,1024,88,NIL,,,,,,,,,
"['22:43', '13/08']",13/08 22:43,100,16,NIL,8000,1100,5,15,13,1024,88,NIL,,,,,,,,,
"['23:00', '13/08']",13/08 23:00,100,16,NIL,8000,1100,5,15,14,1024,94,NIL,,,,,,,,,
"['00:00', '14/08']",14/08 00:00,100,15,NIL,8000,1100,8,15,14,1024,94,NIL,,,,,,,,,
"['01:00', '14/08']",14/08 01:00,100,12,NIL,9999,1100,5,15,13,1024,88,,,,,,,,,,
"['02:00', '14/08']",14/08 02:00,110,10,NIL,9999,9000,5,14,13,1024,94,,,,,,,,,,
"['03:00', '14/08']",14/08 03:00,100,8,NIL,9999,10000,5,15,13,1024,88,,,,,,,,,,
"['04:00', '14/08']",14/08 04:00,100,10,NIL,9999,7000,5,14,13,1023,94,,,,,,,,,,
"['05:00', '14/08']",14/08 05:00,100,9,NIL,9999,8000,5,14,13,1023,94,,,,,,,,,,
"['06:00', '14/08']",14/08 06:00,100,7,NIL,9999,NIL,NIL,14,13,1022,94,,,,,,,,,,
"['07:00', '14/08']",14/08 07:00,100,6,NIL,9999,NIL,NIL,14,13,1022,94,,,,,,,,,,
"['08:00', '14/08']",14/08 08:00,110,7,NIL,9999,NIL,NIL,13,13,1021,100,,,,,,,,,,
"['09:00', '14/08']",14/08 09:00,110,6,NIL,9999,NIL,NIL,13,13,1021,100,,,,,,,,,,
"['10:00', '14/08']",14/08 10:00,110,6,NIL,9999,8000,5,14,13,1022,94,,,,,,,,,,
"['11:00', '14/08']",14/08 11:00,100,6,NIL,9999,8000,5,15,13,1022,88,,,,,,,,,,
"['12:00', '14/08']",14/08 12:00,110,6,NIL,9999,NIL,NIL,17,13,1022,77,,,,,,,,,,
"['13:00', '14/08']",14/08 13:00,110,5,115,9999,NIL,NIL,18,13,1022,73,,,,,,,,,,
"['14:00', '14/08']",14/08 14:00,110,5,115,9999,NIL,NIL,20,13,1022,64,,,,,,,,,,
"['15:00', '14/08']",14/08 15:00,80,5,80,9999,NIL,3,22,13,1021,57,,,,,,,,,,
"['16:00', '14/08']",14/08 16:00,70,2,NIL,9999,3000,5,21,13,1020,60,,,,,,,,,,
"['17:00', '14/08']",14/08 17:00,260,4,260,9999,4000,5,22,13,1019,57,,,,,,,,,,
"['18:00', '14/08']",14/08 18:00,VRB,3,NIL,9999,7000,5,22,13,1019,57,,,,,,,,,,
"['19:00', '14/08']",14/08 19:00,230,4,230,9999,NIL,3,22,14,1018,60,,,,,,,,,,
"['20:00', '14/08']",14/08 20:00,120,4,NIL,9999,4300,5,21,14,1019,64,,,,,,,,,,
"['21:00', '14/08']",14/08 21:00,120,7,NIL,9999,2500,5,20,15,1019,73,,,,,,,,,,
"['22:00', '14/08']",14/08 22:00,110,7,NIL,9999,NIL,2,18,15,1019,83,,,,,,,,,,
"['23:00', '14/08']",14/08 23:00,110,6,NIL,9999,NIL,NIL,16,15,1019,94,,,,,,,,,,
"['00:00', '15/08']",15/08 00:00,100,5,NIL,9999,NIL,2,15,14,1019,94,,,,,,,,,,
"['01:00', '15/08']",15/08 01:00,110,5,NIL,9999,NIL,2,15,14,1019,94,,,NIL,,,,,NIL,,
"['02:00', '15/08']",15/08 02:00,80,4,NIL,7000,NIL,2,14,13,1019,94,,,NIL,,,,,NIL,,
"['03:00', '15/08']",15/08 03:00,0,0,NIL,9000,4500,5,14,14,1019,100,,,NIL,,,,,NIL,,
"['04:00', '15/08']",15/08 04:00,VRB,2,NIL,7000,4000,5,14,13,1019,94,,,NIL,,,,,NIL,,
"['05:00', '15/08']",15/08 05:00,0,0,NIL,7000,4000,5,14,13,1019,94,,,NIL,,,,,NIL,,
"['06:00', '15/08']",15/08 06:00,30,3,NIL,7000,4000,5,14,14,1018,100,,,NIL,,,,,NIL,,
"['07:00', '15/08']",15/08 07:00,VRB,2,NIL,6000,7000,5,13,13,1018,100,,,NIL,,,,,NIL,,
"['08:00', '15/08']",15/08 08:00,0,0,NIL,5000,NIL,3,13,13,1017,100,,,1,,,,,1,,
"['08:16', '15/08']",15/08 08:16,VRB,2,NIL,2000,NIL,3,13,13,1017,100,,,1,,,,,1,,
"['08:23', '15/08']",15/08 08:23,40,3,NIL,600,NIL,3,13,13,1017,100,,,NIL,,,,,1,,
"['09:00', '15/08']",15/08 09:00,0,0,NIL,400,NIL,NIL,12,12,1018,100,,,NIL,,,,,1,,
"['09:17', '15/08']",15/08 09:17,10,4,215,800,NIL,3,13,13,1018,100,,,NIL,,,,,1,,
"['10:00', '15/08']",15/08 10:00,VRB,2,NIL,800,NIL,NIL,13,13,1018,100,,,NIL,,,,,1,,
"['10:09', '15/08']",15/08 10:09,110,4,NIL,800,NIL,NIL,13,13,1018,100,,,NIL,,,,,1,,
"['10:24', '15/08']",15/08 10:24,60,2,NIL,500,NIL,NIL,13,13,1018,100,,,NIL,,,,,1,,
"['10:39', '15/08']",15/08 10:39,VRB,2,NIL,450,NIL,NIL,13,13,1019,100,,,NIL,,,,,1,,
"['11:00', '15/08']",15/08 11:00,VRB,2,NIL,400,NIL,NIL,13,13,1019,100,,,NIL,,,,,1,,
"['11:35', '15/08']",15/08 11:35,VRB,2,NIL,400,NIL,NIL,14,14,1019,100,,,NIL,,,,,1,,
"['12:00', '15/08']",15/08 12:00,0,0,NIL,900,200,8,14,14,1019,100,,,NIL,,,,,1,,
"['12:16', '15/08']",15/08 12:16,VRB,2,NIL,4000,300,8,14,14,1019,100,,,1,,,,,NIL,,
"['13:00', '15/08']",15/08 13:00,80,4,NIL,4000,500,5,15,15,1019,100,,,1,,,,,NIL,,
"['14:00', '15/08']",15/08 14:00,0,0,NIL,6000,700,5,17,16,1019,94,,,NIL,,,,,NIL,,
"['15:00', '15/08']",15/08 15:00,VRB,2,NIL,9000,5000,5,19,16,1018,83,,,NIL,,,,,NIL,,
"['16:00', '15/08']",15/08 16:00,220,4,230,9999,2400,5,20,15,1018,73,,,NIL,,,,,NIL,,
"['17:00', '15/08']",15/08 17:00,180,7,185,9999,NIL,3,20,15,1017,73,,,NIL,,,,,NIL,,
"['18:00', '15/08']",15/08 18:00,180,8,NIL,9999,NIL,3,19,15,1017,78,,,NIL,,,,,NIL,,
"['19:00', '15/08']",15/08 19:00,170,8,NIL,9999,NIL,3,19,15,1017,78,,,NIL,,,,,NIL,,
"['20:00', '15/08']",15/08 20:00,170,7,NIL,9999,NIL,3,18,14,1017,77,,,NIL,,,,,NIL,,
"['21:00', '15/08']",15/08 21:00,140,6,140,9999,NIL,3,16,14,1018,88,,,NIL,,,,,NIL,,
"['22:00', '15/08']",15/08 22:00,130,7,NIL,9999,NIL,3,15,14,1018,94,,,NIL,,,,,NIL,,
"['22:11', '15/08']",15/08 22:11,130,8,NIL,9999,1100,5,15,14,1018,94,,,NIL,,,,,NIL,,
"['23:00', '15/08']",15/08 23:00,130,9,NIL,9999,900,5,15,14,1018,94,,,NIL,,,,,NIL,,
"['00:00', '16/08']",16/08 00:00,120,9,NIL,8000,900,8,15,13,1018,88,,,NIL,,,,,NIL,,
"['01:00', '16/08']",16/08 01:00,130,4,NIL,8000,900,8,15,13,1018,88,,,NIL,,,,,,NIL,
"['02:00', '16/08']",16/08 02:00,110,6,NIL,8000,900,8,15,14,1018,94,,,NIL,,,,,,NIL,
"['03:00', '16/08']",16/08 03:00,120,5,NIL,8000,700,8,14,13,1018,94,,,NIL,,,,,,NIL,
"['04:00', '16/08']",16/08 04:00,120,5,NIL,5000,500,8,14,13,1017,94,,,1,,,,,,NIL,
"['05:00', '16/08']",16/08 05:00,90,9,NIL,4000,400,8,14,13,1017,94,,,1,,,,,,NIL,
"['06:00', '16/08']",16/08 06:00,100,4,NIL,3000,300,8,13,13,1016,100,,,1,,,,,,NIL,
"['07:00', '16/08']",16/08 07:00,120,3,120,3000,300,8,13,13,1016,100,,,1,,,,,,NIL,
"['08:00', '16/08']",16/08 08:00,70,2,NIL,3000,400,8,13,13,1016,100,,,1,,,,,,NIL,
"['09:00', '16/08']",16/08 09:00,170,3,NIL,4000,400,8,13,13,1016,100,,,1,,,,,,NIL,
"['10:00', '16/08']",16/08 10:00,60,3,65,3000,300,8,14,14,1017,100,,,1,,,,,,NIL,
"['11:00', '16/08']",16/08 11:00,VRB,1,NIL,4000,400,8,13,13,1017,100,,,1,,,,,,1,
"['12:00', '16/08']",16/08 12:00,VRB,1,NIL,5000,400,8,14,14,1018,100,,,1,,,,,,NIL,
"['12:42', '16/08']",16/08 12:42,330,4,NIL,4000,400,8,14,14,1018,100,,,1,,,,,,NIL,
"['13:00', '16/08']",16/08 13:00,VRB,2,NIL,3500,400,8,14,14,1018,100,,,1,,,,,,NIL,
"['14:00', '16/08']",16/08 14:00,140,3,140,4000,1300,8,16,15,1017,94,,,1,,,,,,NIL,
"['15:00', '16/08']",16/08 15:00,VRB,2,NIL,5000,1400,8,17,14,1017,83,,,1,,,,,,NIL,
"['16:00', '16/08']",16/08 16:00,VRB,2,NIL,7000,1600,8,18,14,1016,77,,,NIL,,,,,,NIL,
"['17:00', '16/08']",16/08 17:00,VRB,3,NIL,9999,1800,5,19,14,1015,73,,,NIL,,,,,,NIL,
"['18:00', '16/08']",16/08 18:00,250,6,250,9999,2000,5,19,15,1014,78,,,NIL,,,,,,NIL,
"['19:00', '16/08']",16/08 19:00,250,5,250,9999,2000,5,19,15,1014,78,,,NIL,,,,,,NIL,
"['20:00', '16/08']",16/08 20:00,110,7,NIL,9999,1900,8,18,15,1014,83,,,NIL,,,,,,NIL,
"['20:42', '16/08']",16/08 20:42,90,6,90,9999,1400,8,17,15,1014,88,,,NIL,,,,,,NIL,
"['21:00', '16/08']",16/08 21:00,70,4,NIL,9000,1400,8,17,15,1014,88,,,NIL,,,,,,NIL,
"['22:00', '16/08']",16/08 22:00,70,5,NIL,9000,1300,8,17,15,1014,88,,,NIL,,,,,,NIL,
"['23:00', '16/08']",16/08 23:00,110,5,120,9000,1100,8,17,15,1015,88,,,NIL,,,,,,NIL,
"['00:00', '17/08']",17/08 00:00,VRB,2,NIL,8000,1100,8,17,15,1015,88,,,NIL,,,,,,NIL,
"['01:00', '17/08']",17/08 01:00,110,6,NIL,8000,800,8,17,16,1015,94,,,NIL,,,,,NIL,,
"['02:00', '17/08']",17/08 02:00,110,5,NIL,7000,700,8,16,15,1015,94,,,NIL,,,,,NIL,,
"['03:00', '17/08']",17/08 03:00,90,3,70,5000,500,8,16,16,1014,100,,,1,,,,,NIL,,
"['04:00', '17/08']",17/08 04:00,100,3,NIL,5000,400,8,16,16,1014,100,,,1,,,,,NIL,,
"['05:00', '17/08']",17/08 05:00,VRB,2,NIL,4500,400,8,16,16,1014,100,,,1,,,,,NIL,,
"['06:00', '17/08']",17/08 06:00,70,2,NIL,4000,500,8,16,16,1014,100,,,1,,,,,NIL,,
"['07:00', '17/08']",17/08 07:00,90,4,NIL,3500,300,8,16,15,1013,94,,,1,,,,,NIL,,
"['07:43', '17/08']",17/08 07:43,VRB,2,NIL,2000,300,8,15,15,1013,100,,,1,,,,,NIL,,
"['08:00', '17/08']",17/08 08:00,VRB,2,NIL,2000,200,8,15,15,1013,100,,,1,,,,,NIL,,
"['09:00', '17/08']",17/08 09:00,40,3,NIL,1500,200,8,15,15,1014,100,,,1,,,,,1,,
"['10:00', '17/08']",17/08 10:00,30,3,215,1000,200,8,15,15,1015,100,,,1,,,,,1,,
"['11:00', '17/08']",17/08 11:00,VRB,1,NIL,1000,2000,8,15,15,1015,100,,,1,,,,,NIL,,
"['12:00', '17/08']",17/08 12:00,90,4,NIL,1000,200,8,15,15,1015,100,,,1,,,,,NIL,,
"['13:00', '17/08']",17/08 13:00,100,4,105,2000,400,5,16,16,1015,100,,,1,,,,,NIL,,
"['14:00', '17/08']",17/08 14:00,VRB,2,NIL,4000,NIL,3,19,17,1015,88,,,1,,,,,NIL,,
"['14:19', '17/08']",17/08 14:19,VRB,1,NIL,5000,NIL,3,20,17,1015,83,,,1,,,,,NIL,,
"['15:00', '17/08']",17/08 15:00,180,2,NIL,7000,NIL,2,22,17,1014,73,,,NIL,,,,,NIL,,
"['16:00', '17/08']",17/08 16:00,VRB,3,NIL,8000,NIL,2,23,17,1014,69,,,NIL,,,,,NIL,,
"['17:00', '17/08']",17/08 17:00,260,4,260,8000,NIL,NIL,25,18,1013,65,,,NIL,,,,,NIL,,
"['18:00', '17/08']",17/08 18:00,260,4,265,9000,NIL,NIL,26,18,1013,61,,,NIL,,,,,NIL,,
"['19:00', '17/08']",17/08 19:00,VRB,2,NIL,8000,NIL,NIL,26,18,1012,61,,,NIL,,,,,NIL,,
"['20:00', '17/08']",17/08 20:00,VRB,1,NIL,9000,NIL,NIL,26,18,1012,61,,,NIL,,,,,NIL,,
"['21:00', '17/08']",17/08 21:00,VRB,2,NIL,9000,NIL,NIL,24,19,1013,74,,,NIL,,,,,NIL,,
"['22:00', '17/08']",17/08 22:00,110,4,NIL,8000,NIL,NIL,23,19,1013,78,,,NIL,,,,,NIL,,
"['23:00', '17/08']",17/08 23:00,110,4,NIL,8000,NIL,NIL,22,20,1013,88,,,NIL,,,,,NIL,,
"['00:00', '18/08']",18/08 00:00,120,5,NIL,8000,NIL,NIL,21,19,1013,88,,,NIL,,,,,NIL,,
"['01:00', '18/08']",18/08 01:00,100,3,NIL,6000,NIL,NIL,20,19,1014,94,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '18/08']",18/08 02:00,300,4,NIL,6000,NIL,NIL,19,18,1014,94,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '18/08']",18/08 03:00,VRB,2,NIL,8000,NIL,NIL,18,17,1014,94,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '18/08']",18/08 04:00,210,1,NIL,5000,NIL,NIL,17,16,1014,94,NIL,NIL,1,NIL,,,,,,
"['05:00', '18/08']",18/08 05:00,VRB,2,NIL,4000,NIL,NIL,17,17,1013,100,NIL,NIL,1,NIL,,,,,,
"['06:00', '18/08']",18/08 06:00,VRB,1,NIL,4000,NIL,NIL,17,17,1012,100,NIL,NIL,1,NIL,,,,,,
"['07:00', '18/08']",18/08 07:00,260,4,250,4000,10000,5,17,17,1012,100,NIL,NIL,1,NIL,,,,,,
"['08:00', '18/08']",18/08 08:00,240,10,240,4000,10000,5,17,16,1013,94,NIL,NIL,1,NIL,,,,,,
"['09:00', '18/08']",18/08 09:00,90,9,115,4000,10000,5,17,16,1013,94,NIL,1,NIL,1,,,,,,
"['10:00', '18/08']",18/08 10:00,180,12,185,4000,10000,5,17,16,1016,94,NIL,1,NIL,1,,,,,,
"['10:27', '18/08']",18/08 10:27,140,10,155,3000,900,8,18,17,1018,94,NIL,1,NIL,1,,,,,,
"['11:00', '18/08']",18/08 11:00,110,18,NIL,4000,1000,8,17,16,1016,94,NIL,1,NIL,1,,,,,,
"['12:00', '18/08']",18/08 12:00,70,11,NIL,4000,800,8,17,17,1019,100,NIL,1,NIL,1,,,,,,
"['12:15', '18/08']",18/08 12:15,130,8,NIL,4000,500,8,17,17,1019,100,NIL,1,1,NIL,,,,,,
"['13:00', '18/08']",18/08 13:00,80,25,NIL,3500,500,8,17,17,1016,100,NIL,1,1,NIL,,,,,,
"['13:17', '18/08']",18/08 13:17,90,18,115,4000,500,8,17,17,1018,100,28,1,NIL,1,,,,,,
"['14:00', '18/08']",18/08 14:00,70,16,80,4500,800,8,18,17,1017,94,NIL,1,NIL,1,,,,,,
"['15:00', '18/08']",18/08 15:00,110,11,NIL,7000,900,8,18,18,1017,100,NIL,1,NIL,NIL,,,,,,
"['16:00', '18/08']",18/08 16:00,100,15,NIL,8000,900,8,19,18,1016,94,NIL,NIL,NIL,NIL,,,,,,
"['16:32', '18/08']",18/08 16:32,80,18,NIL,8000,900,8,19,18,1015,94,NIL,1,NIL,1,,,,,,
"['17:00', '18/08']",18/08 17:00,100,8,100,5000,900,8,19,18,1015,94,NIL,1,1,1,,,,,,
"['17:34', '18/08']",18/08 17:34,80,19,NIL,9999,900,8,19,18,1014,94,NIL,1,NIL,1,,,,,,
"['18:00', '18/08']",18/08 18:00,80,16,NIL,9999,10000,5,20,19,1014,94,NIL,1,NIL,1,,,,,,
"['19:00', '18/08']",18/08 19:00,80,20,NIL,9999,10000,5,21,18,1013,83,NIL,NIL,NIL,1,,,,,,
"['20:00', '18/08']",18/08 20:00,70,13,NIL,9999,10000,5,21,18,1013,83,NIL,NIL,NIL,1,,,,,,
"['21:00', '18/08']",18/08 21:00,90,12,NIL,9999,NIL,3,20,17,1013,83,NIL,NIL,NIL,NIL,,,,,,
"['22:00', '18/08']",18/08 22:00,90,9,NIL,9999,NIL,2,19,17,1012,88,NIL,NIL,NIL,NIL,,,,,,
"['23:00', '18/08']",18/08 23:00,100,8,NIL,9999,NIL,2,19,17,1012,88,NIL,NIL,NIL,NIL,,,,,,
"['00:00', '19/08']",19/08 00:00,100,6,NIL,9999,NIL,2,19,17,1012,88,NIL,NIL,NIL,NIL,,,,,,
"['01:00', '19/08']",19/08 01:00,90,3,NIL,9999,,3,19,17,1012,88,,,,,,,,NIL,,
"['02:00', '19/08']",19/08 02:00,90,3,NIL,9999,,3,18,17,1011,94,,,,,,,,NIL,,
"['03:00', '19/08']",19/08 03:00,70,3,NIL,9999,,NIL,17,16,1011,94,,,,,,,,NIL,,
"['04:00', '19/08']",19/08 04:00,80,3,NIL,9999,,NIL,16,16,1011,100,,,,,,,,NIL,,
"['05:00', '19/08']",19/08 05:00,70,3,NIL,9999,,NIL,16,16,1010,100,,,,,,,,NIL,,
"['06:00', '19/08']",19/08 06:00,80,3,NIL,9999,,NIL,15,15,1010,100,,,,,,,,NIL,,
"['07:00', '19/08']",19/08 07:00,80,2,NIL,9999,,NIL,15,15,1010,100,,,,,,,,NIL,,
"['08:00', '19/08']",19/08 08:00,0,0,NIL,9000,,NIL,14,14,1010,100,,,,,,,,NIL,,
"['09:00', '19/08']",19/08 09:00,VRB,1,NIL,9000,,NIL,15,15,1010,100,,,,,,,,NIL,,
"['10:00', '19/08']",19/08 10:00,90,3,NIL,9000,,NIL,14,14,1010,100,,,,,,,,NIL,,
"['11:00', '19/08']",19/08 11:00,0,0,NIL,9000,,NIL,16,16,1010,100,,,,,,,,1,,
"['12:00', '19/08']",19/08 12:00,0,0,NIL,9999,,NIL,21,20,1010,94,,,,,,,,NIL,,
"['13:00', '19/08']",19/08 13:00,340,5,150,9999,,NIL,26,18,1010,61,,,,,,,,NIL,,
"['14:00', '19/08']",19/08 14:00,340,8,NIL,9999,,NIL,29,17,1010,48,,,,,,,,NIL,,
"['15:00', '19/08']",19/08 15:00,350,13,NIL,9999,,NIL,31,16,1008,40,,,,,,,,NIL,,
"['16:00', '19/08']",19/08 16:00,340,16,NIL,9999,,NIL,33,15,1007,34,,,,,,,,NIL,,
"['17:00', '19/08']",19/08 17:00,340,14,NIL,9999,,NIL,34,14,1006,30,,,,,,,,NIL,,
"['18:00', '19/08']",19/08 18:00,350,11,NIL,9999,,NIL,35,15,1005,30,,,,,,,,NIL,,
"['19:00', '19/08']",19/08 19:00,330,12,NIL,9999,,NIL,35,15,1005,30,,,,,,,,NIL,,
"['20:00', '19/08']",19/08 20:00,350,9,NIL,9999,,NIL,34,14,1005,30,,,,,,,,NIL,,
"['21:00', '19/08']",19/08 21:00,10,4,NIL,9999,,NIL,33,15,1005,34,,,,,,,,NIL,,
"['22:00', '19/08']",19/08 22:00,50,4,NIL,9999,,NIL,27,18,1006,58,,,,,,,,NIL,,
"['23:00', '19/08']",19/08 23:00,130,3,NIL,9999,,NIL,25,17,1006,61,,,,,,,,NIL,,
"['00:00', '20/08']",20/08 00:00,100,3,NIL,9000,,NIL,24,18,1007,69,,,,,,,,NIL,,
"['01:00', '20/08']",20/08 01:00,VRB,2,NIL,9000,NIL,NIL,22,18,1007,78,NIL,NIL,,,,,,,,
"['02:00', '20/08']",20/08 02:00,260,4,270,9999,NIL,NIL,22,18,1007,78,NIL,NIL,,,,,,,,
"['03:00', '20/08']",20/08 03:00,110,2,NIL,9999,NIL,NIL,21,18,1006,83,NIL,NIL,,,,,,,,
"['04:00', '20/08']",20/08 04:00,100,3,105,9999,NIL,NIL,21,18,1006,83,NIL,NIL,,,,,,,,
"['05:00', '20/08']",20/08 05:00,360,6,NIL,9999,NIL,NIL,27,14,1006,45,NIL,NIL,,,,,,,,
"['06:00', '20/08']",20/08 06:00,200,5,NIL,9999,NIL,2,22,16,1006,69,NIL,NIL,,,,,,,,
"['07:00', '20/08']",20/08 07:00,180,11,NIL,9999,NIL,3,21,17,1006,78,NIL,NIL,,,,,,,,
"['08:00', '20/08']",20/08 08:00,160,5,160,9999,NIL,2,19,16,1007,83,NIL,NIL,,,,,,,,
"['09:00', '20/08']",20/08 09:00,180,7,160,9999,NIL,2,18,16,1008,88,NIL,NIL,,,,,,,,
"['10:00', '20/08']",20/08 10:00,190,12,190,6000,1300,5,18,16,1012,88,NIL,NIL,,,,,,,,
"['10:13', '20/08']",20/08 10:13,190,17,NIL,6000,1100,5,18,16,1012,88,27,NIL,,,,,,,,
"['11:00', '20/08']",20/08 11:00,190,16,NIL,9000,1300,5,17,15,1013,88,28,NIL,,,,,,,,
"['11:25', '20/08']",20/08 11:25,180,14,NIL,9999,NIL,2,18,15,1014,83,24,NIL,,,,,,,,
"['12:00', '20/08']",20/08 12:00,100,9,130,9999,NIL,2,18,15,1015,83,NIL,NIL,,,,,,,,
"['13:00', '20/08']",20/08 13:00,70,12,NIL,9999,NIL,2,19,15,1015,78,NIL,NIL,,,,,,,,
"['14:00', '20/08']",20/08 14:00,90,10,NIL,9999,NIL,2,19,15,1016,78,NIL,NIL,,,,,,,,
"['15:00', '20/08']",20/08 15:00,100,7,NIL,9999,7000,5,20,15,1015,73,NIL,NIL,,,,,,,,
"['16:00', '20/08']",20/08 16:00,80,10,NIL,9999,10000,5,21,15,1014,69,NIL,NIL,,,,,,,,
"['17:00', '20/08']",20/08 17:00,80,10,NIL,9999,10000,5,22,15,1013,65,NIL,NIL,,,,,,,,
"['18:00', '20/08']",20/08 18:00,90,10,NIL,9999,10000,5,22,15,1013,65,NIL,NIL,,,,,,,,
