validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['04:00', '19/02']",19/02 04:00,VRB,1,NIL,9999,NIL,2,23,18,1009,73,,,,,,,,,,
"['05:00', '19/02']",19/02 05:00,330,5,NIL,9999,NIL,NIL,22,22,1009,100,,,,,,,,,,
"['06:00', '19/02']",19/02 06:00,310,3,NIL,9999,NIL,NIL,21,21,1009,100,,,,,,,,,,
"['07:00', '19/02']",19/02 07:00,280,4,NIL,9999,NIL,NIL,20,20,1009,100,,,,,,,,,,
"['08:00', '19/02']",19/02 08:00,280,3,NIL,9999,NIL,NIL,20,20,1009,100,,,,,,,,,,
"['09:00', '19/02']",19/02 09:00,290,3,295,9999,NIL,NIL,20,20,1009,100,,,,,,,,,,
"['10:00', '19/02']",19/02 10:00,280,6,NIL,9999,NIL,NIL,20,20,1011,100,,,,,,,,,,
"['11:00', '19/02']",19/02 11:00,260,7,NIL,9999,NIL,NIL,22,21,1011,94,,,,,,,,,,
"['12:00', '19/02']",19/02 12:00,290,8,NIL,9999,NIL,NIL,23,19,1012,78,,,,,,,,,,
"['13:00', '19/02']",19/02 13:00,290,7,300,9999,NIL,NIL,25,19,1011,69,,,,,,,,,,
"['14:00', '19/02']",19/02 14:00,290,9,290,9999,NIL,3,27,19,1011,62,,,,,,,,,,
"['15:00', '19/02']",19/02 15:00,280,9,285,9999,3500,5,28,17,1011,51,,,,,,,,,,
"['16:00', '19/02']",19/02 16:00,270,11,280,9999,4500,5,29,18,1011,52,,,,,,,,,,
"['17:00', '19/02']",19/02 17:00,300,10,295,9999,4500,5,29,16,1010,45,,,,,,,,,,
"['18:00', '19/02']",19/02 18:00,290,10,290,9999,NIL,3,30,17,1010,46,,,,,,,,,,
"['19:00', '19/02']",19/02 19:00,320,7,310,9999,9000,5,25,18,1010,65,,,,,,,,,,
"['20:00', '19/02']",19/02 20:00,VRB,2,NIL,9999,NIL,3,30,16,1010,43,,,,,,,,,,
"['21:00', '19/02']",19/02 21:00,280,6,NIL,9999,NIL,NIL,29,17,1010,48,,,,,,,,,,
"['22:00', '19/02']",19/02 22:00,190,6,195,9999,NIL,3,28,19,1011,58,,,,,,,,,,
"['00:00', '20/02']",20/02 00:00,90,5,NIL,9999,NIL,NIL,24,20,1012,78,,,,,,,,,,
"['01:00', '20/02']",20/02 01:00,70,6,NIL,9999,NIL,NIL,24,20,1013,78,,,,NIL,,,,,,
"['02:00', '20/02']",20/02 02:00,80,3,NIL,9999,NIL,NIL,23,21,1013,89,,,,NIL,,,,,,
"['03:00', '20/02']",20/02 03:00,120,2,NIL,9999,NIL,NIL,21,21,1013,100,,,,NIL,,,,,,
"['04:00', '20/02']",20/02 04:00,VRB,2,NIL,9999,NIL,NIL,21,21,1012,100,,,,NIL,,,,,,
"['05:00', '20/02']",20/02 05:00,VRB,2,NIL,9999,NIL,NIL,21,21,1012,100,,,,NIL,,,,,,
"['06:00', '20/02']",20/02 06:00,290,3,NIL,9999,NIL,NIL,21,21,1013,100,,,,NIL,,,,,,
"['07:00', '20/02']",20/02 07:00,290,4,NIL,9999,NIL,NIL,20,20,1013,100,,,,NIL,,,,,,
"['08:00', '20/02']",20/02 08:00,VRB,2,NIL,9999,NIL,NIL,20,20,1012,100,,,,NIL,,,,,,
"['09:00', '20/02']",20/02 09:00,VRB,1,NIL,9999,NIL,NIL,19,19,1014,100,,,,NIL,,,,,,
"['10:00', '20/02']",20/02 10:00,VRB,1,NIL,9999,NIL,NIL,21,20,1015,94,,,,NIL,,,,,,
"['11:00', '20/02']",20/02 11:00,VRB,1,NIL,9999,NIL,NIL,22,21,1015,94,,,,NIL,,,,,,
"['12:00', '20/02']",20/02 12:00,270,5,NIL,9999,NIL,NIL,24,18,1016,69,,,,NIL,,,,,,
"['13:00', '20/02']",20/02 13:00,300,3,305,9999,NIL,NIL,27,19,1016,62,,,,NIL,,,,,,
"['14:00', '20/02']",20/02 14:00,300,4,130,9999,NIL,NIL,28,20,1016,62,,,,NIL,,,,,,
"['15:00', '20/02']",20/02 15:00,VRB,4,NIL,9999,NIL,3,30,20,1015,55,,,,NIL,,,,,,
"['16:00', '20/02']",20/02 16:00,240,7,240,9999,4000,5,30,20,1014,55,,,,NIL,,,,,,
"['16:35', '20/02']",20/02 16:35,130,14,135,9999,NIL,3,27,17,1014,54,,,,1,,,,,,
"['17:00', '20/02']",20/02 17:00,130,7,140,9999,NIL,3,30,14,1014,38,,,,1,,,,,,
"['18:00', '20/02']",20/02 18:00,170,13,NIL,9999,NIL,3,28,16,1014,48,,,,NIL,,,,,,
