validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vnt_vrb,nevoa_umida,chuvisco,pancada,nevoeiro
"['15:00', '07/06']",07/06 15:00,320,5,9999,,,NIL,,3500,5,31,24,1011,66,,,,,,
"['16:00', '07/06']",07/06 16:00,330,6,9999,,,NIL,,2500,5,30,24,1010,70,,,,,,
"['17:00', '07/06']",07/06 17:00,340,8,9999,,,NIL,,3000,5,30,24,1009,70,,,,,,
"['18:00', '07/06']",07/06 18:00,340,7,9999,,,NIL,,3300,5,31,24,1008,66,,,,,,
"['19:00', '07/06']",07/06 19:00,360,10,9999,,,NIL,,3000,5,30,26,1008,79,,,,,,
"['20:00', '07/06']",07/06 20:00,30,8,5000,,,1,,1700,5,27,25,1008,89,,,,,,
"['21:00', '07/06']",07/06 21:00,120,3,9999,,,NIL,,3000,5,26,24,1009,89,,,,,,
"['22:00', '07/06']",07/06 22:00,70,4,9999,,,NIL,,4000,5,26,24,1009,89,,,,,,
"['23:00', '07/06']",07/06 23:00,70,4,9999,,,NIL,,NIL,3,26,24,1010,89,,,,,,
"['00:00', '08/06']",08/06 00:00,50,4,9999,,,NIL,,NIL,3,26,24,1011,89,,,,,,
"['01:00', '08/06']",08/06 01:00,60,6,9999,NIL,NIL,NIL,NIL,NIL,3,26,24,1011,89,,NIL,,,,
"['02:00', '08/06']",08/06 02:00,50,4,9999,NIL,NIL,NIL,NIL,NIL,3,26,24,1012,89,,NIL,,,,
"['03:00', '08/06']",08/06 03:00,80,5,9999,NIL,NIL,NIL,NIL,NIL,NIL,26,24,1012,89,,NIL,,,,
"['04:00', '08/06']",08/06 04:00,70,4,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1011,94,,NIL,,,,
"['05:00', '08/06']",08/06 05:00,80,6,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1010,94,,NIL,,,,
"['06:00', '08/06']",08/06 06:00,110,6,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1011,94,,NIL,,,,
"['07:00', '08/06']",08/06 07:00,120,6,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1010,94,,NIL,,,,
"['08:00', '08/06']",08/06 08:00,130,3,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,23,1010,89,,NIL,,,,
"['09:00', '08/06']",08/06 09:00,80,2,9999,NIL,NIL,NIL,NIL,NIL,3,25,23,1010,89,,NIL,,,,
"['10:00', '08/06']",08/06 10:00,120,3,9999,NIL,NIL,NIL,NIL,7000,5,25,24,1011,94,,NIL,,,,
"['11:00', '08/06']",08/06 11:00,110,5,9999,NIL,NIL,NIL,NIL,7000,5,27,24,1012,84,,NIL,,,,
