validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuvisco,chuva,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoeiro,nevoa_seca
"['09:00', '21/01']",21/01 09:00,110,7,NIL,9999,,,,,,500,8,19,18,1019,94,,,,,
"['10:00', '21/01']",21/01 10:00,110,8,NIL,9999,,,,,,300,8,19,18,1020,94,,,,,
"['11:00', '21/01']",21/01 11:00,110,6,NIL,9999,,,,,,800,8,19,18,1020,94,,,,,
"['12:00', '21/01']",21/01 12:00,120,7,NIL,9999,,,,,,1000,8,19,18,1020,94,,,,,
"['13:00', '21/01']",21/01 13:00,90,6,NIL,9999,,,,,,1400,8,20,17,1021,83,,,,,
"['14:00', '21/01']",21/01 14:00,90,8,NIL,9999,,,,,,2000,5,23,17,1021,69,,,,,
"['15:00', '21/01']",21/01 15:00,90,8,NIL,9999,,,,,,2000,8,22,17,1021,73,,,,,
"['16:00', '21/01']",21/01 16:00,110,8,NIL,9999,,,,,,2500,5,22,18,1021,78,,,,,
"['17:00', '21/01']",21/01 17:00,110,8,NIL,9999,,,,,,2500,5,23,18,1020,73,,,,,
"['18:00', '21/01']",21/01 18:00,100,7,NIL,9999,,,,,,2500,5,23,18,1020,73,,,,,
"['19:00', '21/01']",21/01 19:00,120,9,120,9999,,,,,,4000,5,23,18,1020,73,,,,,
"['20:00', '21/01']",21/01 20:00,140,14,NIL,9999,,,,,,1100,8,21,18,1020,83,,,,,
"['21:00', '21/01']",21/01 21:00,140,11,NIL,9999,,,,,,900,8,20,18,1020,88,,,,,
"['22:00', '21/01']",21/01 22:00,140,11,NIL,9999,,,,,,700,8,19,18,1021,94,,,,,
"['23:00', '21/01']",21/01 23:00,130,9,120,9999,,,,,,800,8,19,18,1021,94,,,,,
"['00:00', '22/01']",22/01 00:00,120,9,NIL,9999,,,,,,600,8,18,18,1022,100,,,,,
"['01:00', '22/01']",22/01 01:00,130,10,NIL,9999,,,NIL,NIL,,500,8,18,18,1022,100,,,,,
"['02:00', '22/01']",22/01 02:00,120,8,NIL,9999,,,NIL,NIL,,900,8,18,18,1022,100,,,,,
"['03:00', '22/01']",22/01 03:00,120,8,NIL,9999,,,NIL,NIL,,800,8,18,18,1022,100,,,,,
"['04:00', '22/01']",22/01 04:00,110,5,NIL,9999,,,NIL,NIL,,800,8,18,17,1022,94,,,,,
"['05:00', '22/01']",22/01 05:00,110,8,NIL,9999,,,NIL,NIL,,900,5,18,17,1139,94,,,,,
"['06:00', '22/01']",22/01 06:00,120,6,NIL,9999,,,NIL,NIL,,600,8,18,18,1021,100,,,,,
"['07:00', '22/01']",22/01 07:00,110,8,NIL,9999,,,NIL,NIL,,900,5,17,17,1021,100,,,,,
"['08:00', '22/01']",22/01 08:00,120,7,NIL,9999,,,NIL,NIL,,900,5,17,17,1021,100,,,,,
"['09:00', '22/01']",22/01 09:00,120,3,NIL,5000,,,1,NIL,,400,8,18,18,1022,100,,,,,
"['10:00', '22/01']",22/01 10:00,100,4,NIL,9999,,,NIL,NIL,,700,8,18,18,1022,100,,,,,
