vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,vnt_vel_mean,vnt_vel_top3_mean,tt_top3_mean,po_top3_mean,qnh_top3_mean,ur_top3_mean,chuva_count,week,year,Aeroporto_
13.857142857142858,23.46590909090909,20.28409090909091,1010.6022727272727,82.67045454545455,160,,1,,2000,7.704545454545454,16.333333333333332,27.333333333333332,23.0,1016.6666666666666,94.0,16.0,44,2020,SBRJ
12.714285714285714,21.8625,17.9,1015.4625,78.7,160,,1,,8000,7.0125,16.666666666666668,25.0,21.333333333333332,1019.0,94.0,3.0,45,2020,SBRJ
11.285714285714286,25.012345679012345,23.037037037037038,1011.6913580246913,89.22222222222223,140,,1,,10000,6.382716049382716,15.0,27.666666666666668,24.0,1016.0,100.0,3.0,46,2020,SBRJ
12.428571428571429,24.1375,21.05,1010.675,83.5875,160,,1,,4000,7.2375,14.333333333333334,30.0,24.0,1017.0,100.0,8.0,47,2020,SBRJ
12.0,26.166666666666668,21.192307692307693,1016.7820512820513,74.51282051282051,160,,,,9000,6.897435897435898,13.666666666666666,29.0,23.0,1021.0,87.33333333333333,0.0,48,2020,SBRJ
15.142857142857142,26.40963855421687,23.132530120481928,1011.7831325301205,83.27710843373494,150,,1,,1200,8.265060240963855,19.0,31.666666666666668,25.333333333333332,1015.6666666666666,100.0,8.0,49,2020,SBRJ
12.428571428571429,24.865853658536587,23.134146341463413,1012.2317073170732,90.35365853658537,140,,1,1,10000,6.170731707317073,16.333333333333332,27.666666666666668,24.0,1015.0,100.0,16.0,50,2020,SBRJ
14.428571428571429,27.390243902439025,24.304878048780488,1009.4634146341464,83.86585365853658,150,,,,10000,7.780487804878049,16.666666666666668,30.666666666666668,26.0,1013.0,100.0,0.0,51,2020,SBRJ
11.142857142857142,24.85185185185185,22.790123456790123,1012.0246913580247,88.81481481481481,330,,1,1,1000,6.135802469135802,16.333333333333332,31.0,25.333333333333332,1014.6666666666666,98.0,23.0,52,2020,SBRJ
9.666666666666666,26.514285714285716,24.02857142857143,1011.3428571428572,86.6,350,,,,10000,6.171428571428572,10.0,29.333333333333332,25.0,1014.0,94.0,0.0,53,2020,SBRJ
13.2,21.94047619047619,19.38095238095238,1013.9047619047619,86.89285714285714,330,22,1,1,200,6.833333333333333,17.666666666666668,30.0,21.333333333333332,1015.6666666666666,100.0,20.0,1,2020,SBCF
7.571428571428571,25.315217391304348,19.52173913043478,1016.3913043478261,72.93478260869566,330,,1,,4000,4.489130434782608,9.333333333333334,32.0,21.333333333333332,1019.0,100.0,1.0,2,2020,SBCF
9.142857142857142,24.516129032258064,19.677419354838708,1018.3333333333334,76.3225806451613,90,,1,1,3000,5.580645161290323,11.333333333333334,32.333333333333336,22.0,1024.3333333333333,100.0,5.0,3,2020,SBCF
10.285714285714286,21.471698113207548,19.566037735849058,1012.6415094339623,89.84905660377359,10,,1,,300,5.849056603773585,16.0,27.666666666666668,21.666666666666668,1017.0,100.0,37.0,4,2020,SBCF
10.428571428571429,24.602040816326532,20.244897959183675,1018.3163265306123,78.73469387755102,360,,1,1,3000,4.795918367346939,13.0,31.333333333333332,22.0,1021.0,100.0,5.0,5,2020,SBCF
9.571428571428571,22.225490196078432,18.80392156862745,1018.3235294117648,82.7843137254902,50,17,1,1,10000,5.088235294117647,13.0,30.333333333333332,21.0,1021.0,100.0,14.0,6,2020,SBCF
8.428571428571429,22.445544554455445,19.366336633663366,1018.1683168316831,84.32673267326733,160,,1,1,10000,4.445544554455446,11.333333333333334,29.333333333333332,21.0,1021.6666666666666,100.0,15.0,7,2020,SBCF
9.571428571428571,23.45744680851064,18.882978723404257,1017.2553191489362,77.29787234042553,100,,1,1,10000,5.425531914893617,12.0,30.0,20.666666666666668,1020.6666666666666,100.0,5.0,8,2020,SBCF
7.666666666666667,22.315217391304348,20.0,1017.2934782608696,87.68478260869566,100,,1,1,10000,4.076086956521739,8.666666666666666,28.0,21.333333333333332,1020.0,100.0,7.0,9,2020,SBCF
7.857142857142857,20.333333333333332,18.504761904761907,1017.2952380952381,90.18095238095238,140,,1,,2500,5.019047619047619,9.666666666666666,27.333333333333332,20.333333333333332,1019.3333333333334,100.0,26.0,10,2020,SBCF
8.714285714285714,23.12087912087912,18.0,1019.021978021978,74.56043956043956,110,,,,3500,5.945054945054945,10.666666666666666,28.666666666666668,19.666666666666668,1021.0,98.0,0.0,11,2020,SBCF
7.428571428571429,22.71875,18.6875,1016.4270833333334,80.59375,150,,1,1,400,4.104166666666667,10.333333333333334,30.333333333333332,21.666666666666668,1020.0,100.0,15.0,12,2020,SBCF
9.142857142857142,21.175824175824175,16.13186813186813,1019.3626373626373,74.43956043956044,110,,,,3000,5.8791208791208796,12.333333333333334,29.0,18.333333333333332,1022.0,96.0,0.0,13,2020,SBCF
7.714285714285714,23.703296703296704,19.12087912087912,1016.9010989010989,77.61538461538461,150,,1,1,3000,4.34065934065934,12.333333333333334,29.666666666666668,21.0,1020.0,100.0,1.0,14,2020,SBCF
8.571428571428571,22.582417582417584,19.12087912087912,1017.3956043956044,82.13186813186813,120,,1,1,3000,5.175824175824176,12.0,28.0,21.0,1021.0,100.0,1.0,15,2020,SBCF
8.571428571428571,20.967032967032967,17.505494505494507,1020.1428571428571,81.72527472527473,110,,,,10000,5.648351648351649,11.333333333333334,26.333333333333332,19.333333333333332,1024.0,100.0,0.0,16,2020,SBCF
9.0,20.560439560439562,15.340659340659341,1020.8131868131868,74.20879120879121,120,,,,10000,5.868131868131868,12.333333333333334,26.0,17.0,1024.3333333333333,98.0,0.0,17,2020,SBCF
8.0,19.318681318681318,13.065934065934066,1022.021978021978,70.81318681318682,110,,,,4000,4.527472527472527,11.333333333333334,27.0,16.0,1026.0,100.0,0.0,18,2020,SBCF
9.0,18.402173913043477,13.967391304347826,1020.8260869565217,77.57608695652173,100,,1,,4000,5.478260869565218,11.333333333333334,26.666666666666668,19.0,1027.0,100.0,3.0,19,2020,SBCF
7.285714285714286,18.789473684210527,15.052631578947368,1020.5473684210526,81.46315789473684,140,,1,1,4000,4.368421052631579,8.333333333333334,25.333333333333332,19.0,1025.6666666666667,100.0,11.0,20,2020,SBCF
9.142857142857142,19.172043010752688,15.258064516129032,1022.7956989247311,80.02150537634408,100,,1,,4000,5.67741935483871,13.0,25.666666666666668,19.666666666666668,1026.6666666666667,100.0,3.0,21,2020,SBCF
7.285714285714286,15.815217391304348,10.391304347826088,1020.4021739130435,74.20652173913044,130,,1,,3000,3.967391304347826,8.333333333333334,23.333333333333332,17.333333333333332,1024.0,100.0,2.0,22,2020,SBCF
7.571428571428571,18.365591397849464,13.591397849462366,1022.1827956989247,76.87096774193549,100,,,,3000,4.086021505376344,9.666666666666666,26.333333333333332,16.666666666666668,1026.0,100.0,0.0,23,2020,SBCF
6.857142857142857,20.076923076923077,13.857142857142858,1021.2087912087912,71.82417582417582,140,,,,4000,3.21978021978022,12.333333333333334,27.666666666666668,16.333333333333332,1024.3333333333333,100.0,0.0,24,2020,SBCF
