vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,week,year,Aeroporto_
9.5,24.97530864197531,21.11111111111111,1010.4197530864197,79.82716049382717,100,,1,1,2000,9,2020,SBRF
11.428571428571429,26.857142857142858,20.978021978021978,1011.9230769230769,70.86813186813187,140,,1,,6000,10,2020,SBRF
11.285714285714286,27.303370786516854,20.584269662921347,1011.7865168539325,67.29213483146067,100,,,,2000,11,2020,SBRF
10.714285714285714,26.47252747252747,20.274725274725274,1011.5604395604396,69.5934065934066,130,,1,,2300,12,2020,SBRF
10.428571428571429,25.945054945054945,21.274725274725274,1011.8681318681319,76.49450549450549,130,,1,,1800,13,2020,SBRF
10.0,26.86813186813187,21.46153846153846,1010.8901098901099,73.07692307692308,80,,1,,2000,14,2020,SBRF
13.571428571428571,26.03125,21.15625,1011.84375,75.47916666666667,150,20,1,,1500,15,2020,SBRF
11.428571428571429,24.519607843137255,21.333333333333332,1012.0490196078431,83.06862745098039,200,,1,1,1500,16,2020,SBRF
9.285714285714286,26.195652173913043,21.57608695652174,1011.6086956521739,76.67391304347827,140,,1,,2000,17,2020,SBRF
12.285714285714286,25.79787234042553,21.159574468085108,1011.936170212766,76.2872340425532,150,28,1,,2000,18,2020,SBRF
12.285714285714286,24.729166666666668,21.0625,1013.5520833333334,80.82291666666667,150,P99,1,1,2000,19,2020,SBRF
13.142857142857142,24.736842105263158,20.842105263157894,1012.9263157894737,80.02105263157895,150,,1,,1000,20,2020,SBRF
10.285714285714286,25.923076923076923,19.967032967032967,1013.5934065934066,70.56043956043956,120,,1,,2000,21,2020,SBRF
12.428571428571429,25.074468085106382,20.351063829787233,1013.8105263157895,75.09473684210526,140,25,1,,5000,22,2020,SBRF
12.142857142857142,25.087912087912088,20.0989010989011,1013.4835164835165,74.68131868131869,150,,1,,5000,23,2020,SBRF
13.857142857142858,24.157894736842106,19.926315789473684,1013.4947368421052,78.03157894736842,150,,1,,2000,24,2020,SBRF
11.571428571428571,23.70212765957447,20.24468085106383,1015.5744680851063,81.80851063829788,200,,1,,1500,25,2020,SBRF
14.714285714285714,23.552083333333332,19.229166666666668,1014.75,77.65625,210,,1,,6000,26,2020,SBRF
11.857142857142858,23.791666666666668,19.96875,1016.3020833333334,79.9375,160,,1,,1800,27,2020,SBRF
13.571428571428571,24.78021978021978,19.692307692307693,1015.3516483516484,74.02197802197803,150,,1,,2000,28,2020,SBRF
13.142857142857142,23.536082474226806,20.144329896907216,1015.4536082474227,81.84536082474227,150,,1,,2000,29,2020,SBRF
14.857142857142858,24.358695652173914,19.108695652173914,1017.0326086956521,73.16304347826087,140,25,1,,5000,30,2020,SBRF
14.571428571428571,24.333333333333332,20.114583333333332,1016.5625,78.36458333333333,190,30,1,,1700,31,2020,SBRF
14.857142857142858,24.322916666666668,21.052083333333332,1017.7291666666666,83.04166666666667,170,,1,,2500,32,2020,SBRF
14.857142857142858,23.621052631578948,20.42105263157895,1015.8210526315789,83.13684210526316,190,18,1,,1500,33,2020,SBRF
14.714285714285714,23.97826086956522,19.23913043478261,1015.1413043478261,75.3586956521739,140,23,1,,5000,34,2020,SBRF
12.714285714285714,25.373626373626372,19.46153846153846,1014.3296703296703,70.32967032967034,120,,1,,5000,35,2020,SBRF
11.285714285714286,25.02173913043478,19.23913043478261,1015.054347826087,70.82608695652173,120,,1,,2300,36,2020,SBRF
13.0,25.494505494505493,19.252747252747252,1015.2637362637363,69.14285714285714,130,,1,,6000,37,2020,SBRF
13.714285714285714,26.065934065934066,19.307692307692307,1015.0989010989011,67.06593406593407,140,,,,2000,38,2020,SBRF
12.428571428571429,26.130434782608695,20.195652173913043,1014.8804347826087,70.3695652173913,140,,1,,6000,39,2020,SBRF
13.285714285714286,27.184782608695652,22.195652173913043,1013.195652173913,74.70652173913044,120,,1,,5000,40,2020,SBRF
11.428571428571429,27.571428571428573,21.98901098901099,1012.5164835164835,71.95604395604396,130,,1,,5000,41,2020,SBRF
11.571428571428571,27.967741935483872,22.032258064516128,1013.236559139785,70.54838709677419,120,22,1,,2000,42,2020,SBRF
10.714285714285714,28.50537634408602,22.526881720430108,1012.9677419354839,70.49462365591398,60,,1,,2000,43,2020,SBRF
12.285714285714286,27.274725274725274,21.593406593406595,1013.8131868131868,71.84615384615384,140,22,1,,2300,44,2020,SBRF
10.142857142857142,28.87912087912088,22.45054945054945,1011.3516483516484,68.92307692307692,50,,,,2000,45,2020,SBRF
10.714285714285714,28.63736263736264,22.516483516483518,1011.8681318681319,69.93406593406593,120,19,1,,2000,46,2020,SBRF
12.0,28.65934065934066,21.923076923076923,1011.6043956043956,67.34065934065934,140,,1,,5000,47,2020,SBRF
10.0,29.13186813186813,22.857142857142858,1011.2967032967033,69.24175824175825,60,20,,,2000,48,2020,SBRF
10.142857142857142,29.043478260869566,22.83695652173913,1011.2391304347826,69.6086956521739,70,22,1,,2200,49,2020,SBRF
10.142857142857142,28.456521739130434,22.554347826086957,1010.7282608695652,70.8695652173913,90,,1,,5000,50,2020,SBRF
10.714285714285714,28.373626373626372,22.824175824175825,1011.1648351648352,72.38461538461539,90,,1,,7000,51,2020,SBRF
9.857142857142858,28.34065934065934,23.747252747252748,1010.6703296703297,76.67032967032966,60,,1,,6000,52,2020,SBRF
11.333333333333334,28.512820512820515,22.076923076923077,1012.3589743589744,68.48717948717949,140,,,,2000,53,2020,SBRF
12.0,25.761194029850746,21.567164179104477,1011.6417910447761,78.5223880597015,130,,1,1,10000,1,2020,SBGL
12.428571428571429,28.655555555555555,22.833333333333332,1009.8555555555556,72.28888888888889,140,,1,1,1100,2,2020,SBGL
12.142857142857142,29.022727272727273,20.602272727272727,1010.8977272727273,62.89772727272727,70,,,,1500,3,2020,SBGL
11.857142857142858,27.977777777777778,20.333333333333332,1014.1111111111111,65.08888888888889,130,,,,,4,2020,SBGL
11.571428571428571,30.813186813186814,19.626373626373628,1010.2637362637363,54.879120879120876,60,,,,7000,5,2020,SBGL
11.142857142857142,25.315217391304348,20.358695652173914,1010.3804347826087,76.25,20,26,1,1,10000,6,2020,SBGL
11.857142857142858,26.41111111111111,21.68888888888889,1010.4111111111112,76.81111111111112,120,,,1,10000,7,2020,SBGL
13.714285714285714,26.57777777777778,22.38888888888889,1010.2777777777778,79.0111111111111,130,,1,,10000,8,2020,SBGL
10.5,26.405405405405407,22.054054054054053,1012.2702702702703,78.62162162162163,120,,,,10000,9,2020,SBGL
10.142857142857142,27.711111111111112,21.066666666666666,1010.7444444444444,70.32222222222222,70,,1,1,10000,10,2020,SBGL
11.714285714285714,27.01098901098901,22.285714285714285,1011.4835164835165,76.6923076923077,130,,1,,10000,11,2020,SBGL
11.0,27.75,21.804347826086957,1013.0217391304348,72.53260869565217,130,,1,1,9000,12,2020,SBGL
12.142857142857142,28.3,22.7,1013.0444444444445,73.36666666666666,30,,,,4000,13,2020,SBGL
14.142857142857142,25.537634408602152,19.483870967741936,1012.8602150537635,71.72043010752688,300,,1,1,5000,14,2020,SBGL
10.0,25.032967032967033,18.615384615384617,1016.7362637362637,71.21978021978022,360,,,,4000,15,2020,SBGL
10.142857142857142,23.91578947368421,19.189473684210526,1015.3368421052631,76.8,30,,1,,5000,16,2020,SBGL
11.857142857142858,23.326315789473686,19.105263157894736,1013.4,78.58947368421053,290,,1,,2000,17,2020,SBGL
8.714285714285714,22.42391304347826,18.82608695652174,1018.7065217391304,81.1304347826087,120,,1,,5000,18,2020,SBGL
