"week","airport_code","mean_occurrence","mean_abundance","Total_Voos","index","moving_avg_occurrence","moving_avg_abundance","moving_avg_Total_Voos","moving_avg_index","Col_Total","vnt_vel_max_mean","tt_mean","po_mean","qnh_mean","ur_mean","vnt_dir_mode","vnt_rajada_mode","chuva_mode","trovoada_mode","teto_mode","vnt_vel_mean","chuva_count"
6,"SBSV",0.4477906,2.162836,733,0.001903429,0.4608875,0.02208386,0.2717481,0.0027659,1,11.28571,28.25,24.8913,1013.533,82.15217,33,0,1,0,6000,6.728261,2
7,"SBBE",0.4847697,3.305315,304,0.001306039,0.4253262,0.0195042,0.2818282,0.002337948,1,12.14286,26.25,24.11538,1011.615,88.60577,30,35,1,1,10000,5.615385,18
7,"SBBR",0.3925819,1.706455,1578,0.002834434,0.4262279,0.01541908,0.286454,0.001882587,1,9.142857,24.27083,19.32292,1018.719,75.61458,34,0,1,1,10000,4.336842,5
7,"SBCF",0.5184078,1.923945,1321,0.003532656,0.4167904,0.01488542,0.1987711,0.001233195,1,8.428571,22.44554,19.36634,1018.168,84.32673,9,0,1,1,10000,4.445545,15
7,"SBCT",0.3055452,1.100017,879,0.0007921327,0.4215766,0.01501978,0.1436758,0.0009097533,2,8.571429,19.52632,16.01053,1019.074,83.14737,4,0,1,0,800,5.589474,2
7,"SBCY",0.4883765,1.622242,371,0.000788095,0.4342701,0.02247037,0.1625932,0.001586619,2,10.57143,27.82609,22.58696,1012.38,74.8587,23,0,1,1,10000,6.119565,4
7,"SBEG",0.354832,1.486588,308,0.0004356106,0.3942354,0.02187845,0.3849075,0.003319927,1,7.571429,25.9901,23.0396,1012.129,85.0297,27,19,1,1,10000,4.237624,26
7,"SBFZ",0.5375525,1.979303,523,0.001492001,0.3836646,0.02186891,0.4698288,0.003942016,0,12,28.06522,23.66304,1011.435,77.86957,33,0,1,0,2000,7.032609,11
7,"SBGL",0.3563193,4.169659,1153,0.004593074,0.3519118,0.01964496,0.5030378,0.003477647,0,10.71429,24.98913,21.43478,1013.25,81.53261,16,0,1,0,2500,6.032609,20
7,"SBGR",0.3282376,1.378372,3591,0.004356168,0.3594375,0.01258111,0.4868821,0.002201739,1,9.142857,21.11429,18.97143,1017.267,89.30476,1,19,1,1,700,4.228571,30
7,"SBKP",0.3125487,1.482655,1538,0.001910946,0.3694315,0.02343567,0.3470726,0.003004912,1,12.14286,22.69149,17.58511,1015.947,74.8617,6,21,1,0,3000,8.648936,18
7,"SBPA",0.4105416,1.063036,1004,0.001174824,0.3632032,0.02336815,0.4326153,0.003671773,0,10.85714,25.3956,18.0989,1014.275,67.04396,33,19,1,0,4000,5.318681,1
7,"SBRF",0.3864219,1.259353,919,0.00119911,0.3751466,0.02566658,0.4168048,0.0040133,0,10.85714,29,23.3956,1012.022,72.2967,4,0,1,0,10000,7.241758,4
7,"SBRJ",0.3682138,5.850453,1566,0.009045147,0.3952295,0.02870805,0.3706159,0.004205107,2,12.42857,24.18812,22.07921,1013,88.46535,10,0,1,1,1000,6.019802,33
7,"SBSP",0.2876357,1.454834,2777,0.003115777,0.3995515,0.01848811,0.3584645,0.00264796,0,12.14286,20.2029,17.1087,1017.935,83.8913,8,0,1,1,500,6.514493,48
7,"SBSV",0.4583148,2.009991,775,0.001914229,0.455435,0.0194974,0.2411627,0.002141476,0,11.71429,28.76087,25.46739,1013.424,82.46739,33,0,1,0,7000,7.73913,2
8,"SBBE",0.4667536,2.512439,250,0.0007860632,0.4163149,0.01745748,0.2375725,0.001726632,0,8.428571,25.76636,23.80374,1010.785,89.58879,4,0,1,1,10000,4.794393,29
8,"SBBR",0.3855018,1.639838,1390,0.002356006,0.4188858,0.01548984,0.2410246,0.001563881,1,11.71429,24.39583,19.40625,1018.104,75.1875,34,0,1,1,10000,5.4375,8
8,"SBCF",0.5111698,1.870662,1078,0.002763844,0.4112842,0.01498682,0.1645954,0.00101454,0,9.571429,23.45745,18.88298,1017.255,77.29787,3,0,1,1,10000,5.425532,5
8,"SBCT",0.3018344,1.169545,723,0.0006843183,0.4215656,0.01475041,0.1262082,0.0007847962,0,10.57143,21.53608,18.1134,1016.845,83.81443,30,0,1,0,400,5.597938,5
8,"SBCY",0.4770372,1.701768,300,0.0006529922,0.4340333,0.02098781,0.1469898,0.00133899,0,8.714286,27.1875,22.84375,1011.365,78.58333,22,0,1,1,10000,5.208333,26
8,"SBEG",0.3550953,1.432595,283,0.0003860015,0.3964948,0.02030899,0.3458299,0.002784764,0,8.428571,27.34783,23.22826,1011,79.45652,1,0,1,1,10000,4.706522,2
8,"SBFZ",0.5522956,1.773261,522,0.001370721,0.3833786,0.02038614,0.4153549,0.003246252,2,11.71429,26.97917,23.45833,1010.677,81.69792,32,20,1,1,10000,7.020833,16
8,"SBGL",0.3517052,3.739352,1024,0.00361085,0.3484818,0.01890501,0.4392433,0.002893757,2,10.85714,27.78261,21.76087,1011.348,72.09783,29,0,1,0,10000,5.195652,1
8,"SBGR",0.3268833,1.422097,3180,0.003963541,0.396907,0.01394409,0.4264015,0.002359923,2,9.142857,22.62857,20.01905,1016.371,86.99048,1,0,1,0,3000,4.12381,10
8,"SBKP",0.3026303,1.464379,1290,0.001532815,0.4057567,0.022734,0.3037835,0.002802242,1,12.71429,24.07921,18.92079,1015.297,74.65347,25,27,1,1,7000,7.148515,18
8,"SBPA",0.4127082,1.163036,868,0.001117095,0.4016582,0.02286538,0.3885667,0.003568623,0,9.714286,24.51087,17.26087,1012.728,67.38043,34,18,1,0,4000,5.815217,4
8,"SBRF",0.545406,1.695455,838,0.002077708,0.4157876,0.02476375,0.3809721,0.003922665,0,9.428571,28.5914,23.55914,1011.172,74.7957,4,0,1,0,6000,6.107527,6
8,"SBRJ",0.3622823,5.043537,1404,0.006878341,0.3949941,0.02582747,0.3435515,0.003504809,0,11.71429,27.1383,22.84043,1011.191,78.57447,25,0,1,0,7000,5.212766,4
